time,screen,pixel_x,pixel_y,pupil
5268517,familiarity_rating_screen_1,1274.7,943.7,1697.0
5268518,familiarity_rating_screen_1,1275.2,943.6,1697.0
5268519,familiarity_rating_screen_1,1275.1,943.6,1697.0
5268520,familiarity_rating_screen_1,1275.1,943.6,1696.0
5268521,familiarity_rating_screen_1,1275.2,943.7,1696.0
5268522,familiarity_rating_screen_1,1275.2,943.9,1696.0
5268523,familiarity_rating_screen_1,1275.3,944.1,1697.0
5268524,familiarity_rating_screen_1,1275.4,944.2,1697.0
5268525,familiarity_rating_screen_1,1275.5,944.3,1697.0
5268526,familiarity_rating_screen_1,1275.4,944.4,1696.0
5268527,familiarity_rating_screen_1,1275.2,944.4,1695.0
5268528,familiarity_rating_screen_1,1274.9,944.2,1693.0
5268529,familiarity_rating_screen_1,1274.6,944.0,1692.0
5268530,familiarity_rating_screen_1,1274.4,944.1,1692.0
5268531,familiarity_rating_screen_1,1274.3,944.5,1693.0
5268532,familiarity_rating_screen_1,1274.4,944.8,1693.0
5268533,familiarity_rating_screen_1,1274.4,944.8,1694.0
5268534,familiarity_rating_screen_1,1274.5,944.5,1695.0
5268535,familiarity_rating_screen_1,1274.5,944.2,1695.0
5268536,familiarity_rating_screen_1,1274.4,944.0,1695.0
5268537,familiarity_rating_screen_1,1274.2,944.0,1695.0
5268538,familiarity_rating_screen_1,1274.2,944.0,1695.0
5268539,familiarity_rating_screen_1,1273.9,944.0,1694.0
5268540,familiarity_rating_screen_1,1273.5,944.0,1694.0
5268541,familiarity_rating_screen_1,1273.5,944.0,1693.0
5268542,familiarity_rating_screen_1,1273.9,943.9,1693.0
5268543,familiarity_rating_screen_1,1274.3,944.0,1694.0
5268544,familiarity_rating_screen_1,1274.5,944.0,1693.0
5268545,familiarity_rating_screen_1,1274.6,944.1,1691.0
5268546,familiarity_rating_screen_1,1274.8,944.3,1691.0
5268547,familiarity_rating_screen_1,1274.9,944.4,1692.0
5268548,familiarity_rating_screen_1,1274.8,944.2,1692.0
5268549,familiarity_rating_screen_1,1274.8,943.9,1690.0
5268550,familiarity_rating_screen_1,1274.8,943.8,1688.0
5268551,familiarity_rating_screen_1,1274.7,943.6,1687.0
5268552,familiarity_rating_screen_1,1274.7,943.6,1687.0
5268553,familiarity_rating_screen_1,1274.6,943.6,1688.0
5268554,familiarity_rating_screen_1,1274.5,943.6,1691.0
5268555,familiarity_rating_screen_1,1274.3,944.1,1694.0
5268556,familiarity_rating_screen_1,1274.1,944.6,1695.0
5268557,familiarity_rating_screen_1,1274.0,945.0,1693.0
5268558,familiarity_rating_screen_1,1273.8,944.9,1691.0
5268559,familiarity_rating_screen_1,1273.8,944.8,1691.0
5268560,familiarity_rating_screen_1,1273.8,944.8,1692.0
5268561,familiarity_rating_screen_1,1273.8,944.8,1691.0
5268562,familiarity_rating_screen_1,1273.8,944.8,1690.0
5268563,familiarity_rating_screen_1,1273.8,944.4,1689.0
5268564,familiarity_rating_screen_1,1273.8,944.1,1689.0
5268565,familiarity_rating_screen_1,1273.8,944.0,1689.0
5268566,familiarity_rating_screen_1,1273.9,944.3,1689.0
5268567,familiarity_rating_screen_1,1273.8,944.6,1689.0
5268568,familiarity_rating_screen_1,1273.6,944.4,1688.0
5268569,familiarity_rating_screen_1,1273.3,944.3,1688.0
5268570,familiarity_rating_screen_1,1273.1,944.3,1687.0
5268571,familiarity_rating_screen_1,1273.0,944.4,1687.0
5268572,familiarity_rating_screen_1,1273.0,944.1,1687.0
5268573,familiarity_rating_screen_1,1273.1,943.7,1687.0
5268574,familiarity_rating_screen_1,1273.3,943.5,1687.0
5268575,familiarity_rating_screen_1,1273.3,943.7,1687.0
5268576,familiarity_rating_screen_1,1273.2,943.9,1688.0
5268577,familiarity_rating_screen_1,1273.0,943.9,1687.0
5268578,familiarity_rating_screen_1,1272.8,943.7,1687.0
5268579,familiarity_rating_screen_1,1272.7,943.6,1686.0
5268580,familiarity_rating_screen_1,1272.6,943.8,1686.0
5268581,familiarity_rating_screen_1,1272.5,944.0,1687.0
5268582,familiarity_rating_screen_1,1272.5,943.9,1688.0
5268583,familiarity_rating_screen_1,1272.4,943.5,1690.0
5268584,familiarity_rating_screen_1,1272.2,943.2,1690.0
5268585,familiarity_rating_screen_1,1272.3,943.3,1689.0
5268586,familiarity_rating_screen_1,1272.4,943.6,1688.0
5268587,familiarity_rating_screen_1,1272.6,944.1,1686.0
5268588,familiarity_rating_screen_1,1272.7,944.3,1687.0
5268589,familiarity_rating_screen_1,1272.6,944.0,1687.0
5268590,familiarity_rating_screen_1,1272.3,943.5,1687.0
5268591,familiarity_rating_screen_1,1272.0,943.3,1687.0
5268592,familiarity_rating_screen_1,1272.1,943.5,1686.0
5268593,familiarity_rating_screen_1,1272.4,943.7,1686.0
5268594,familiarity_rating_screen_1,1272.4,943.7,1686.0
5268595,familiarity_rating_screen_1,1272.1,943.6,1687.0
5268596,familiarity_rating_screen_1,1271.8,943.5,1687.0
5268597,familiarity_rating_screen_1,1271.8,943.5,1687.0
5268598,familiarity_rating_screen_1,1271.4,943.4,1686.0
5268599,familiarity_rating_screen_1,1270.9,943.3,1684.0
5268600,familiarity_rating_screen_1,1270.6,943.2,1682.0
5268601,familiarity_rating_screen_1,1270.7,943.1,1682.0
5268602,familiarity_rating_screen_1,1270.9,943.0,1682.0
5268603,familiarity_rating_screen_1,1271.1,943.1,1681.0
5268604,familiarity_rating_screen_1,1271.2,943.3,1679.0
5268605,familiarity_rating_screen_1,1271.0,943.4,1679.0
5268606,familiarity_rating_screen_1,1270.7,943.4,1680.0
5268607,familiarity_rating_screen_1,1270.4,943.5,1681.0
5268608,familiarity_rating_screen_1,1270.3,943.5,1682.0
5268609,familiarity_rating_screen_1,1270.4,943.6,1682.0
5268610,familiarity_rating_screen_1,1270.5,943.6,1683.0
5268611,familiarity_rating_screen_1,1270.5,943.6,1683.0
5268612,familiarity_rating_screen_1,1270.8,943.5,1682.0
5268613,familiarity_rating_screen_1,1271.1,943.5,1682.0
5268614,familiarity_rating_screen_1,1271.2,943.1,1682.0
5268615,familiarity_rating_screen_1,1271.0,942.8,1682.0
5268616,familiarity_rating_screen_1,1270.7,942.5,1682.0
5268617,familiarity_rating_screen_1,1270.7,942.4,1681.0
5268618,familiarity_rating_screen_1,1270.6,942.3,1681.0
5268619,familiarity_rating_screen_1,1270.2,942.2,1679.0
5268620,familiarity_rating_screen_1,1269.9,942.5,1678.0
5268621,familiarity_rating_screen_1,1270.1,942.8,1678.0
5268622,familiarity_rating_screen_1,1270.6,943.1,1680.0
5268623,familiarity_rating_screen_1,1271.1,943.0,1682.0
5268624,familiarity_rating_screen_1,1270.9,943.0,1682.0
5268625,familiarity_rating_screen_1,1270.7,943.0,1682.0
5268626,familiarity_rating_screen_1,1270.6,943.1,1682.0
5268627,familiarity_rating_screen_1,1270.4,942.8,1682.0
5268628,familiarity_rating_screen_1,1270.1,942.4,1681.0
5268629,familiarity_rating_screen_1,1269.8,942.1,1680.0
5268630,familiarity_rating_screen_1,1269.7,942.1,1680.0
5268631,familiarity_rating_screen_1,1269.7,942.1,1680.0
5268632,familiarity_rating_screen_1,1270.0,942.1,1680.0
5268633,familiarity_rating_screen_1,1270.2,942.1,1681.0
5268634,familiarity_rating_screen_1,1270.4,942.0,1681.0
5268635,familiarity_rating_screen_1,1270.4,941.7,1681.0
5268636,familiarity_rating_screen_1,1270.2,941.4,1681.0
5268637,familiarity_rating_screen_1,1270.1,941.1,1681.0
5268638,familiarity_rating_screen_1,1270.2,940.9,1680.0
5268639,familiarity_rating_screen_1,1270.3,940.8,1679.0
5268640,familiarity_rating_screen_1,1270.4,940.8,1679.0
5268641,familiarity_rating_screen_1,1270.7,940.7,1679.0
5268642,familiarity_rating_screen_1,1270.9,941.2,1679.0
5268643,familiarity_rating_screen_1,1271.0,941.7,1680.0
5268644,familiarity_rating_screen_1,1270.7,942.0,1680.0
5268645,familiarity_rating_screen_1,1270.5,941.8,1681.0
5268646,familiarity_rating_screen_1,1270.3,941.6,1681.0
5268647,familiarity_rating_screen_1,1270.3,941.4,1680.0
5268648,familiarity_rating_screen_1,1270.7,941.2,1679.0
5268649,familiarity_rating_screen_1,1271.3,941.1,1678.0
5268650,familiarity_rating_screen_1,1271.9,940.5,1678.0
5268651,familiarity_rating_screen_1,1272.0,940.0,1677.0
5268652,familiarity_rating_screen_1,1271.7,939.5,1676.0
5268653,familiarity_rating_screen_1,1271.5,939.5,1676.0
5268654,familiarity_rating_screen_1,1271.5,939.5,1677.0
5268655,familiarity_rating_screen_1,1271.5,939.7,1678.0
5268656,familiarity_rating_screen_1,1271.5,939.9,1678.0
5268657,familiarity_rating_screen_1,1271.5,940.1,1678.0
5268658,familiarity_rating_screen_1,1271.4,940.3,1677.0
5268659,familiarity_rating_screen_1,1271.3,940.3,1677.0
5268660,familiarity_rating_screen_1,1271.3,940.3,1676.0
5268661,familiarity_rating_screen_1,1271.3,940.4,1677.0
5268662,familiarity_rating_screen_1,1271.3,940.6,1678.0
5268663,familiarity_rating_screen_1,1271.3,940.8,1679.0
5268664,familiarity_rating_screen_1,1271.2,940.7,1679.0
5268665,familiarity_rating_screen_1,1271.1,940.7,1680.0
