time,screen,pixel_x,pixel_y,pupil
14154082,stimulus_PopSci_MultiplEYE_1_question_1132,1285.4,940.7,1097.0
14154083,stimulus_PopSci_MultiplEYE_1_question_1132,1285.4,940.7,1099.0
14154084,stimulus_PopSci_MultiplEYE_1_question_1132,1285.3,940.8,1101.0
14154085,stimulus_PopSci_MultiplEYE_1_question_1132,1285.3,940.6,1102.0
14154086,stimulus_PopSci_MultiplEYE_1_question_1132,1285.5,940.3,1103.0
14154087,stimulus_PopSci_MultiplEYE_1_question_1132,1285.7,940.1,1102.0
14154088,stimulus_PopSci_MultiplEYE_1_question_1132,1286.0,939.7,1102.0
14154089,stimulus_PopSci_MultiplEYE_1_question_1132,1286.2,939.0,1102.0
14154090,stimulus_PopSci_MultiplEYE_1_question_1132,1286.3,938.5,1102.0
14154091,stimulus_PopSci_MultiplEYE_1_question_1132,1286.2,938.4,1101.0
14154092,stimulus_PopSci_MultiplEYE_1_question_1132,1286.0,938.5,1101.0
14154093,stimulus_PopSci_MultiplEYE_1_question_1132,1285.8,938.6,1101.0
14154094,stimulus_PopSci_MultiplEYE_1_question_1132,1285.8,938.6,1100.0
14154095,stimulus_PopSci_MultiplEYE_1_question_1132,1285.5,938.7,1102.0
14154096,stimulus_PopSci_MultiplEYE_1_question_1132,1285.2,938.8,1103.0
14154097,stimulus_PopSci_MultiplEYE_1_question_1132,1285.0,938.8,1104.0
14154098,stimulus_PopSci_MultiplEYE_1_question_1132,1285.0,938.4,1103.0
14154099,stimulus_PopSci_MultiplEYE_1_question_1132,1285.3,938.0,1103.0
14154100,stimulus_PopSci_MultiplEYE_1_question_1132,1285.6,937.8,1102.0
14154101,stimulus_PopSci_MultiplEYE_1_question_1132,1285.8,938.1,1102.0
14154102,stimulus_PopSci_MultiplEYE_1_question_1132,1285.7,938.5,1102.0
14154103,stimulus_PopSci_MultiplEYE_1_question_1132,1285.2,938.7,1102.0
14154104,stimulus_PopSci_MultiplEYE_1_question_1132,1284.8,938.9,1102.0
14154105,stimulus_PopSci_MultiplEYE_1_question_1132,1284.4,939.6,1103.0
14154106,stimulus_PopSci_MultiplEYE_1_question_1132,1284.3,940.3,1103.0
14154107,stimulus_PopSci_MultiplEYE_1_question_1132,1284.3,940.9,1104.0
14154108,stimulus_PopSci_MultiplEYE_1_question_1132,1284.2,941.0,1105.0
14154109,stimulus_PopSci_MultiplEYE_1_question_1132,1284.2,941.0,1106.0
14154110,stimulus_PopSci_MultiplEYE_1_question_1132,1284.2,941.0,1106.0
