time,screen,pixel_x,pixel_y,pupil
11419916,stimulus_Lit_BrokenApril_9_page_4,52.7,94.7,1172.0
11419917,stimulus_Lit_BrokenApril_9_page_4,52.8,94.8,1171.0
11419918,stimulus_Lit_BrokenApril_9_page_4,53.0,94.8,1171.0
11419919,stimulus_Lit_BrokenApril_9_page_4,53.1,94.6,1171.0
11419920,stimulus_Lit_BrokenApril_9_page_4,53.0,94.4,1171.0
11419921,stimulus_Lit_BrokenApril_9_page_4,53.0,94.4,1170.0
11419922,stimulus_Lit_BrokenApril_9_page_4,53.0,94.2,1169.0
11419923,stimulus_Lit_BrokenApril_9_page_4,53.0,94.1,1169.0
11419924,stimulus_Lit_BrokenApril_9_page_4,53.0,93.9,1169.0
11419925,stimulus_Lit_BrokenApril_9_page_4,53.0,94.0,1169.0
11419926,stimulus_Lit_BrokenApril_9_page_4,52.9,94.1,1169.0
11419927,stimulus_Lit_BrokenApril_9_page_4,52.8,94.3,1169.0
11419928,stimulus_Lit_BrokenApril_9_page_4,52.8,94.3,1168.0
11419929,stimulus_Lit_BrokenApril_9_page_4,52.7,94.2,1168.0
11419930,stimulus_Lit_BrokenApril_9_page_4,52.8,94.2,1168.0
11419931,stimulus_Lit_BrokenApril_9_page_4,52.9,94.0,1168.0
11419932,stimulus_Lit_BrokenApril_9_page_4,53.0,93.9,1167.0
11419933,stimulus_Lit_BrokenApril_9_page_4,52.8,93.8,1167.0
11419934,stimulus_Lit_BrokenApril_9_page_4,52.6,94.0,1167.0
11419935,stimulus_Lit_BrokenApril_9_page_4,52.4,94.2,1166.0
11419936,stimulus_Lit_BrokenApril_9_page_4,52.4,94.4,1166.0
11419937,stimulus_Lit_BrokenApril_9_page_4,52.5,94.4,1165.0
11419938,stimulus_Lit_BrokenApril_9_page_4,52.7,94.4,1165.0
11419939,stimulus_Lit_BrokenApril_9_page_4,53.0,94.3,1165.0
11419940,stimulus_Lit_BrokenApril_9_page_4,53.2,94.1,1165.0
11419941,stimulus_Lit_BrokenApril_9_page_4,53.2,94.0,1164.0
11419942,stimulus_Lit_BrokenApril_9_page_4,53.3,94.1,1164.0
11419943,stimulus_Lit_BrokenApril_9_page_4,53.4,94.0,1164.0
11419944,stimulus_Lit_BrokenApril_9_page_4,53.5,93.8,1163.0
11419945,stimulus_Lit_BrokenApril_9_page_4,53.3,93.5,1163.0
11419946,stimulus_Lit_BrokenApril_9_page_4,53.1,93.4,1163.0
11419947,stimulus_Lit_BrokenApril_9_page_4,52.9,93.3,1163.0
11419948,stimulus_Lit_BrokenApril_9_page_4,53.0,93.3,1164.0
11419949,stimulus_Lit_BrokenApril_9_page_4,53.3,93.4,1164.0
11419950,stimulus_Lit_BrokenApril_9_page_4,53.6,93.6,1164.0
11419951,stimulus_Lit_BrokenApril_9_page_4,53.8,93.8,1163.0
11419952,stimulus_Lit_BrokenApril_9_page_4,53.7,94.0,1162.0
11419953,stimulus_Lit_BrokenApril_9_page_4,53.5,93.9,1161.0
11419954,stimulus_Lit_BrokenApril_9_page_4,53.3,93.9,1161.0
11419955,stimulus_Lit_BrokenApril_9_page_4,53.1,93.9,1160.0
11419956,stimulus_Lit_BrokenApril_9_page_4,53.1,94.0,1160.0
11419957,stimulus_Lit_BrokenApril_9_page_4,53.1,94.0,1159.0
11419958,stimulus_Lit_BrokenApril_9_page_4,52.9,93.9,1159.0
11419959,stimulus_Lit_BrokenApril_9_page_4,52.8,93.9,1160.0
11419960,stimulus_Lit_BrokenApril_9_page_4,52.8,93.9,1160.0
11419961,stimulus_Lit_BrokenApril_9_page_4,52.8,93.7,1159.0
11419962,stimulus_Lit_BrokenApril_9_page_4,52.9,93.5,1159.0
11419963,stimulus_Lit_BrokenApril_9_page_4,52.9,93.3,1159.0
11419964,stimulus_Lit_BrokenApril_9_page_4,53.0,93.0,1160.0
11419965,stimulus_Lit_BrokenApril_9_page_4,53.0,92.8,1161.0
11419966,stimulus_Lit_BrokenApril_9_page_4,53.0,92.5,1160.0
11419967,stimulus_Lit_BrokenApril_9_page_4,53.0,92.5,1159.0
11419968,stimulus_Lit_BrokenApril_9_page_4,53.0,92.7,1158.0
11419969,stimulus_Lit_BrokenApril_9_page_4,53.0,93.0,1158.0
11419970,stimulus_Lit_BrokenApril_9_page_4,52.9,93.2,1158.0
11419971,stimulus_Lit_BrokenApril_9_page_4,53.0,93.1,1157.0
11419972,stimulus_Lit_BrokenApril_9_page_4,53.1,93.1,1156.0
11419973,stimulus_Lit_BrokenApril_9_page_4,53.2,93.2,1156.0
11419974,stimulus_Lit_BrokenApril_9_page_4,53.3,93.3,1156.0
11419975,stimulus_Lit_BrokenApril_9_page_4,53.2,93.3,1155.0
11419976,stimulus_Lit_BrokenApril_9_page_4,53.2,93.3,1155.0
11419977,stimulus_Lit_BrokenApril_9_page_4,53.3,93.2,1155.0
11419978,stimulus_Lit_BrokenApril_9_page_4,53.3,93.2,1156.0
11419979,stimulus_Lit_BrokenApril_9_page_4,53.4,93.2,1156.0
11419980,stimulus_Lit_BrokenApril_9_page_4,53.4,93.2,1156.0
11419981,stimulus_Lit_BrokenApril_9_page_4,53.5,93.2,1156.0
11419982,stimulus_Lit_BrokenApril_9_page_4,53.5,93.2,1156.0
11419983,stimulus_Lit_BrokenApril_9_page_4,53.4,93.1,1156.0
11419984,stimulus_Lit_BrokenApril_9_page_4,53.3,93.0,1155.0
11419985,stimulus_Lit_BrokenApril_9_page_4,53.2,92.9,1154.0
11419986,stimulus_Lit_BrokenApril_9_page_4,53.2,92.8,1153.0
11419987,stimulus_Lit_BrokenApril_9_page_4,53.3,92.8,1153.0
11419988,stimulus_Lit_BrokenApril_9_page_4,53.4,92.9,1154.0
11419989,stimulus_Lit_BrokenApril_9_page_4,53.5,93.0,1154.0
11419990,stimulus_Lit_BrokenApril_9_page_4,53.6,93.1,1153.0
11419991,stimulus_Lit_BrokenApril_9_page_4,53.8,93.0,1153.0
11419992,stimulus_Lit_BrokenApril_9_page_4,53.8,92.9,1154.0
11419993,stimulus_Lit_BrokenApril_9_page_4,53.7,92.7,1154.0
11419994,stimulus_Lit_BrokenApril_9_page_4,53.7,92.2,1153.0
11419995,stimulus_Lit_BrokenApril_9_page_4,54.0,91.9,1153.0
11419996,stimulus_Lit_BrokenApril_9_page_4,54.3,91.8,1152.0
11419997,stimulus_Lit_BrokenApril_9_page_4,54.5,91.9,1152.0
11419998,stimulus_Lit_BrokenApril_9_page_4,54.5,91.9,1151.0
11419999,stimulus_Lit_BrokenApril_9_page_4,54.6,91.9,1151.0
11420000,stimulus_Lit_BrokenApril_9_page_4,54.8,91.9,1150.0
11420001,stimulus_Lit_BrokenApril_9_page_4,55.0,91.9,1149.0
11420002,stimulus_Lit_BrokenApril_9_page_4,55.0,91.8,1149.0
11420003,stimulus_Lit_BrokenApril_9_page_4,55.0,91.7,1148.0
11420004,stimulus_Lit_BrokenApril_9_page_4,54.8,91.7,1148.0
11420005,stimulus_Lit_BrokenApril_9_page_4,54.6,91.6,1148.0
11420006,stimulus_Lit_BrokenApril_9_page_4,54.4,91.5,1147.0
11420007,stimulus_Lit_BrokenApril_9_page_4,54.6,91.4,1147.0
11420008,stimulus_Lit_BrokenApril_9_page_4,54.7,91.2,1147.0
11420009,stimulus_Lit_BrokenApril_9_page_4,54.9,91.0,1147.0
11420010,stimulus_Lit_BrokenApril_9_page_4,54.9,90.9,1148.0
11420011,stimulus_Lit_BrokenApril_9_page_4,54.8,90.9,1148.0
11420012,stimulus_Lit_BrokenApril_9_page_4,54.9,91.0,1147.0
11420013,stimulus_Lit_BrokenApril_9_page_4,55.1,91.0,1147.0
11420014,stimulus_Lit_BrokenApril_9_page_4,55.3,91.0,1146.0
11420015,stimulus_Lit_BrokenApril_9_page_4,55.4,91.1,1146.0
11420016,stimulus_Lit_BrokenApril_9_page_4,55.1,91.2,1145.0
11420017,stimulus_Lit_BrokenApril_9_page_4,54.8,91.2,1144.0
11420018,stimulus_Lit_BrokenApril_9_page_4,54.6,91.2,1144.0
11420019,stimulus_Lit_BrokenApril_9_page_4,54.5,91.2,1143.0
11420020,stimulus_Lit_BrokenApril_9_page_4,54.5,91.0,1142.0
11420021,stimulus_Lit_BrokenApril_9_page_4,54.5,90.9,1141.0
11420022,stimulus_Lit_BrokenApril_9_page_4,54.6,90.8,1141.0
11420023,stimulus_Lit_BrokenApril_9_page_4,54.7,90.3,1141.0
11420024,stimulus_Lit_BrokenApril_9_page_4,54.8,89.8,1141.0
11420025,stimulus_Lit_BrokenApril_9_page_4,54.9,89.4,1141.0
11420026,stimulus_Lit_BrokenApril_9_page_4,54.9,89.5,1140.0
11420027,stimulus_Lit_BrokenApril_9_page_4,54.8,89.7,1140.0
11420028,stimulus_Lit_BrokenApril_9_page_4,54.7,89.9,1139.0
11420029,stimulus_Lit_BrokenApril_9_page_4,54.6,89.8,1138.0
11420030,stimulus_Lit_BrokenApril_9_page_4,54.8,89.8,1138.0
11420031,stimulus_Lit_BrokenApril_9_page_4,55.0,89.5,1137.0
11420032,stimulus_Lit_BrokenApril_9_page_4,55.3,89.2,1137.0
11420033,stimulus_Lit_BrokenApril_9_page_4,55.4,88.9,1137.0
11420034,stimulus_Lit_BrokenApril_9_page_4,55.4,88.8,1136.0
11420035,stimulus_Lit_BrokenApril_9_page_4,55.5,88.8,1136.0
11420036,stimulus_Lit_BrokenApril_9_page_4,55.4,88.9,1136.0
11420037,stimulus_Lit_BrokenApril_9_page_4,55.2,89.2,1137.0
11420038,stimulus_Lit_BrokenApril_9_page_4,54.9,89.5,1137.0
11420039,stimulus_Lit_BrokenApril_9_page_4,54.6,89.6,1136.0
11420040,stimulus_Lit_BrokenApril_9_page_4,54.7,89.7,1136.0
11420041,stimulus_Lit_BrokenApril_9_page_4,54.9,89.9,1135.0
11420042,stimulus_Lit_BrokenApril_9_page_4,55.3,90.0,1134.0
11420043,stimulus_Lit_BrokenApril_9_page_4,55.5,90.1,1133.0
11420044,stimulus_Lit_BrokenApril_9_page_4,55.8,90.1,1132.0
11420045,stimulus_Lit_BrokenApril_9_page_4,55.9,90.0,1133.0
11420046,stimulus_Lit_BrokenApril_9_page_4,56.1,89.9,1133.0
11420047,stimulus_Lit_BrokenApril_9_page_4,56.3,89.7,1132.0
11420048,stimulus_Lit_BrokenApril_9_page_4,56.4,89.6,1132.0
11420049,stimulus_Lit_BrokenApril_9_page_4,55.9,89.5,1131.0
11420050,stimulus_Lit_BrokenApril_9_page_4,55.5,89.5,1131.0
11420051,stimulus_Lit_BrokenApril_9_page_4,55.1,89.4,1130.0
11420052,stimulus_Lit_BrokenApril_9_page_4,55.2,89.3,1131.0
11420053,stimulus_Lit_BrokenApril_9_page_4,55.3,89.2,1131.0
