time,screen,pixel_x,pixel_y,pupil
10602730,stimulus_Arg_PISACowsMilk_10_page_11,131.6,107.2,920.0
10602731,stimulus_Arg_PISACowsMilk_10_page_11,132.4,107.8,920.0
10602732,stimulus_Arg_PISACowsMilk_10_page_11,133.8,108.5,920.0
10602733,stimulus_Arg_PISACowsMilk_10_page_11,135.7,109.4,921.0
10602734,stimulus_Arg_PISACowsMilk_10_page_11,138.3,110.5,922.0
10602735,stimulus_Arg_PISACowsMilk_10_page_11,141.7,112.2,924.0
10602736,stimulus_Arg_PISACowsMilk_10_page_11,147.1,115.3,923.0
10602737,stimulus_Arg_PISACowsMilk_10_page_11,153.8,119.0,923.0
10602738,stimulus_Arg_PISACowsMilk_10_page_11,162.0,125.0,923.0
10602739,stimulus_Arg_PISACowsMilk_10_page_11,170.7,132.2,923.0
10602740,stimulus_Arg_PISACowsMilk_10_page_11,182.3,139.0,924.0
10602741,stimulus_Arg_PISACowsMilk_10_page_11,193.7,144.2,925.0
10602742,stimulus_Arg_PISACowsMilk_10_page_11,205.8,149.2,926.0
10602743,stimulus_Arg_PISACowsMilk_10_page_11,215.2,156.1,928.0
10602744,stimulus_Arg_PISACowsMilk_10_page_11,225.3,163.7,930.0
10602745,stimulus_Arg_PISACowsMilk_10_page_11,233.4,169.1,935.0
10602746,stimulus_Arg_PISACowsMilk_10_page_11,241.2,172.8,939.0
10602747,stimulus_Arg_PISACowsMilk_10_page_11,247.2,174.9,943.0
10602748,stimulus_Arg_PISACowsMilk_10_page_11,252.6,177.6,943.0
10602749,stimulus_Arg_PISACowsMilk_10_page_11,256.4,179.5,944.0
10602750,stimulus_Arg_PISACowsMilk_10_page_11,260.0,181.8,944.0
10602751,stimulus_Arg_PISACowsMilk_10_page_11,262.7,184.7,943.0
10602752,stimulus_Arg_PISACowsMilk_10_page_11,265.6,187.9,943.0
10602753,stimulus_Arg_PISACowsMilk_10_page_11,267.6,190.1,943.0
10602754,stimulus_Arg_PISACowsMilk_10_page_11,270.7,191.0,943.0
10602755,stimulus_Arg_PISACowsMilk_10_page_11,274.3,191.0,943.0
10602756,stimulus_Arg_PISACowsMilk_10_page_11,278.3,191.9,943.0
10602757,stimulus_Arg_PISACowsMilk_10_page_11,281.0,193.7,943.0
10602758,stimulus_Arg_PISACowsMilk_10_page_11,283.2,195.5,943.0
10602759,stimulus_Arg_PISACowsMilk_10_page_11,285.0,196.3,942.0
10602760,stimulus_Arg_PISACowsMilk_10_page_11,286.6,197.5,942.0
10602761,stimulus_Arg_PISACowsMilk_10_page_11,287.4,198.9,942.0
10602762,stimulus_Arg_PISACowsMilk_10_page_11,287.1,200.6,942.0
10602763,stimulus_Arg_PISACowsMilk_10_page_11,285.5,201.5,941.0
10602764,stimulus_Arg_PISACowsMilk_10_page_11,283.0,202.0,940.0
10602765,stimulus_Arg_PISACowsMilk_10_page_11,280.3,202.1,939.0
10602766,stimulus_Arg_PISACowsMilk_10_page_11,277.0,201.9,938.0
10602767,stimulus_Arg_PISACowsMilk_10_page_11,273.7,201.0,937.0
10602768,stimulus_Arg_PISACowsMilk_10_page_11,270.4,200.2,936.0
