time,screen,pixel_x,pixel_y,pupil
10722810,stimulus_Arg_PISACowsMilk_10_question_10111,243.7,214.2,1122.0
10722811,stimulus_Arg_PISACowsMilk_10_question_10111,243.5,214.2,1122.0
10722812,stimulus_Arg_PISACowsMilk_10_question_10111,243.5,214.2,1122.0
10722813,stimulus_Arg_PISACowsMilk_10_question_10111,243.7,214.2,1123.0
10722814,stimulus_Arg_PISACowsMilk_10_question_10111,243.9,214.1,1123.0
10722815,stimulus_Arg_PISACowsMilk_10_question_10111,244.0,214.0,1124.0
10722816,stimulus_Arg_PISACowsMilk_10_question_10111,243.9,214.2,1124.0
10722817,stimulus_Arg_PISACowsMilk_10_question_10111,243.9,214.5,1124.0
10722818,stimulus_Arg_PISACowsMilk_10_question_10111,244.0,214.5,1124.0
10722819,stimulus_Arg_PISACowsMilk_10_question_10111,244.0,214.2,1124.0
10722820,stimulus_Arg_PISACowsMilk_10_question_10111,244.0,213.9,1124.0
10722821,stimulus_Arg_PISACowsMilk_10_question_10111,243.9,213.9,1123.0
10722822,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,214.0,1123.0
10722823,stimulus_Arg_PISACowsMilk_10_question_10111,243.7,214.2,1122.0
10722824,stimulus_Arg_PISACowsMilk_10_question_10111,243.6,214.3,1122.0
10722825,stimulus_Arg_PISACowsMilk_10_question_10111,243.5,214.4,1121.0
10722826,stimulus_Arg_PISACowsMilk_10_question_10111,243.6,214.4,1121.0
10722827,stimulus_Arg_PISACowsMilk_10_question_10111,243.5,214.3,1121.0
10722828,stimulus_Arg_PISACowsMilk_10_question_10111,243.4,214.3,1120.0
10722829,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,214.3,1120.0
10722830,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,214.4,1121.0
10722831,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,214.2,1121.0
10722832,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,214.0,1120.0
10722833,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,214.1,1119.0
10722834,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,214.3,1119.0
10722835,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,214.3,1120.0
10722836,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,214.1,1121.0
10722837,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,213.8,1121.0
10722838,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,213.8,1119.0
10722839,stimulus_Arg_PISACowsMilk_10_question_10111,243.4,213.6,1118.0
10722840,stimulus_Arg_PISACowsMilk_10_question_10111,243.5,213.3,1117.0
10722841,stimulus_Arg_PISACowsMilk_10_question_10111,243.6,213.1,1117.0
10722842,stimulus_Arg_PISACowsMilk_10_question_10111,243.7,213.2,1118.0
10722843,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,213.2,1118.0
10722844,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,213.0,1118.0
10722845,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,212.9,1118.0
10722846,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,212.9,1118.0
10722847,stimulus_Arg_PISACowsMilk_10_question_10111,243.4,213.1,1118.0
10722848,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,213.3,1117.0
10722849,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,213.4,1117.0
10722850,stimulus_Arg_PISACowsMilk_10_question_10111,242.8,213.4,1118.0
10722851,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,213.4,1118.0
10722852,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,213.3,1119.0
10722853,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,213.3,1118.0
10722854,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,213.2,1117.0
10722855,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,213.2,1117.0
10722856,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,213.2,1116.0
10722857,stimulus_Arg_PISACowsMilk_10_question_10111,242.8,213.2,1116.0
10722858,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,213.1,1116.0
10722859,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,213.1,1115.0
10722860,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,213.1,1115.0
10722861,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,212.9,1115.0
10722862,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.8,1115.0
10722863,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,212.7,1114.0
10722864,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,212.6,1114.0
10722865,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,212.6,1114.0
10722866,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,212.7,1114.0
10722867,stimulus_Arg_PISACowsMilk_10_question_10111,242.6,212.9,1113.0
10722868,stimulus_Arg_PISACowsMilk_10_question_10111,242.5,213.4,1114.0
10722869,stimulus_Arg_PISACowsMilk_10_question_10111,242.4,213.7,1114.0
10722870,stimulus_Arg_PISACowsMilk_10_question_10111,242.4,213.9,1115.0
10722871,stimulus_Arg_PISACowsMilk_10_question_10111,242.5,213.8,1115.0
10722872,stimulus_Arg_PISACowsMilk_10_question_10111,242.6,213.8,1115.0
10722873,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,213.8,1115.0
10722874,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,213.8,1115.0
10722875,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,213.4,1115.0
10722876,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,213.0,1114.0
10722877,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,212.6,1114.0
10722878,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,212.6,1114.0
10722879,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,212.6,1113.0
10722880,stimulus_Arg_PISACowsMilk_10_question_10111,242.5,212.8,1113.0
10722881,stimulus_Arg_PISACowsMilk_10_question_10111,242.1,212.9,1113.0
10722882,stimulus_Arg_PISACowsMilk_10_question_10111,242.3,213.0,1112.0
10722883,stimulus_Arg_PISACowsMilk_10_question_10111,242.5,212.9,1112.0
10722884,stimulus_Arg_PISACowsMilk_10_question_10111,242.8,212.9,1112.0
10722885,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,212.9,1111.0
10722886,stimulus_Arg_PISACowsMilk_10_question_10111,242.6,212.9,1111.0
10722887,stimulus_Arg_PISACowsMilk_10_question_10111,242.4,212.8,1111.0
10722888,stimulus_Arg_PISACowsMilk_10_question_10111,242.5,212.8,1110.0
10722889,stimulus_Arg_PISACowsMilk_10_question_10111,242.5,212.8,1111.0
10722890,stimulus_Arg_PISACowsMilk_10_question_10111,242.5,212.5,1111.0
10722891,stimulus_Arg_PISACowsMilk_10_question_10111,242.5,212.3,1111.0
10722892,stimulus_Arg_PISACowsMilk_10_question_10111,242.5,212.2,1111.0
10722893,stimulus_Arg_PISACowsMilk_10_question_10111,242.6,212.2,1111.0
10722894,stimulus_Arg_PISACowsMilk_10_question_10111,242.6,212.4,1111.0
10722895,stimulus_Arg_PISACowsMilk_10_question_10111,242.7,212.4,1111.0
10722896,stimulus_Arg_PISACowsMilk_10_question_10111,242.8,212.5,1111.0
10722897,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,212.5,1111.0
10722898,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,212.7,1111.0
10722899,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,213.0,1111.0
10722900,stimulus_Arg_PISACowsMilk_10_question_10111,242.9,213.0,1111.0
10722901,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.7,1111.0
10722902,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,212.4,1110.0
10722903,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,212.4,1110.0
10722904,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.4,1110.0
10722905,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,212.3,1110.0
10722906,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,212.2,1111.0
10722907,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,212.1,1110.0
10722908,stimulus_Arg_PISACowsMilk_10_question_10111,243.4,212.1,1110.0
10722909,stimulus_Arg_PISACowsMilk_10_question_10111,243.4,212.1,1109.0
10722910,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,212.0,1109.0
10722911,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,212.2,1109.0
10722912,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,212.3,1109.0
10722913,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,212.4,1109.0
10722914,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.5,1109.0
10722915,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.5,1109.0
10722916,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.5,1109.0
10722917,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.5,1109.0
10722918,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.5,1108.0
10722919,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.6,1107.0
10722920,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,212.8,1108.0
10722921,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,212.8,1108.0
10722922,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,212.9,1108.0
10722923,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,212.9,1108.0
10722924,stimulus_Arg_PISACowsMilk_10_question_10111,243.0,213.0,1108.0
10722925,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,213.0,1108.0
10722926,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,212.9,1108.0
10722927,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,213.0,1108.0
10722928,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,213.2,1108.0
10722929,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,213.3,1109.0
10722930,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,213.5,1109.0
10722931,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,213.6,1109.0
10722932,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,213.8,1108.0
10722933,stimulus_Arg_PISACowsMilk_10_question_10111,243.6,214.0,1108.0
10722934,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,214.3,1108.0
10722935,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,214.2,1110.0
10722936,stimulus_Arg_PISACowsMilk_10_question_10111,243.9,214.0,1111.0
10722937,stimulus_Arg_PISACowsMilk_10_question_10111,243.9,213.8,1112.0
10722938,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,214.0,1112.0
10722939,stimulus_Arg_PISACowsMilk_10_question_10111,243.7,214.1,1112.0
10722940,stimulus_Arg_PISACowsMilk_10_question_10111,243.5,214.2,1111.0
10722941,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,214.1,1110.0
10722942,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,214.1,1110.0
10722943,stimulus_Arg_PISACowsMilk_10_question_10111,243.4,214.0,1110.0
10722944,stimulus_Arg_PISACowsMilk_10_question_10111,243.6,213.9,1110.0
10722945,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,213.9,1110.0
10722946,stimulus_Arg_PISACowsMilk_10_question_10111,243.9,214.1,1111.0
10722947,stimulus_Arg_PISACowsMilk_10_question_10111,243.9,214.3,1111.0
10722948,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,214.5,1111.0
10722949,stimulus_Arg_PISACowsMilk_10_question_10111,243.8,214.5,1110.0
10722950,stimulus_Arg_PISACowsMilk_10_question_10111,243.7,214.6,1110.0
10722951,stimulus_Arg_PISACowsMilk_10_question_10111,243.7,214.7,1110.0
10722952,stimulus_Arg_PISACowsMilk_10_question_10111,243.4,214.9,1110.0
10722953,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,215.1,1109.0
10722954,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,215.3,1108.0
10722955,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,215.3,1107.0
10722956,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,215.3,1107.0
10722957,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,215.3,1107.0
10722958,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,215.3,1107.0
10722959,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,215.3,1107.0
10722960,stimulus_Arg_PISACowsMilk_10_question_10111,243.2,215.3,1107.0
10722961,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,215.5,1107.0
10722962,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,215.6,1106.0
10722963,stimulus_Arg_PISACowsMilk_10_question_10111,243.1,215.8,1106.0
10722964,stimulus_Arg_PISACowsMilk_10_question_10111,243.3,215.8,1106.0
10722965,stimulus_Arg_PISACowsMilk_10_question_10111,243.5,215.8,1106.0
