time,screen,pixel_x,pixel_y,pupil
6354592,stimulus_Ins_LearningMobility_3_question_3112,1246.0,952.2,2065.0
6354593,stimulus_Ins_LearningMobility_3_question_3112,1246.3,952.3,2071.0
6354594,stimulus_Ins_LearningMobility_3_question_3112,1246.3,952.5,2073.0
6354595,stimulus_Ins_LearningMobility_3_question_3112,1246.6,952.7,2075.0
6354596,stimulus_Ins_LearningMobility_3_question_3112,1247.0,952.8,2076.0
6354597,stimulus_Ins_LearningMobility_3_question_3112,1246.7,952.8,2076.0
6354598,stimulus_Ins_LearningMobility_3_question_3112,1246.3,952.8,2077.0
6354599,stimulus_Ins_LearningMobility_3_question_3112,1246.1,952.8,2077.0
6354600,stimulus_Ins_LearningMobility_3_question_3112,1246.3,952.7,2077.0
6354601,stimulus_Ins_LearningMobility_3_question_3112,1246.3,952.7,2075.0
6354602,stimulus_Ins_LearningMobility_3_question_3112,1245.9,952.4,2073.0
6354603,stimulus_Ins_LearningMobility_3_question_3112,1245.5,952.1,2074.0
6354604,stimulus_Ins_LearningMobility_3_question_3112,1245.7,952.1,2077.0
6354605,stimulus_Ins_LearningMobility_3_question_3112,1246.0,952.6,2078.0
6354606,stimulus_Ins_LearningMobility_3_question_3112,1246.4,953.1,2077.0
6354607,stimulus_Ins_LearningMobility_3_question_3112,1246.4,953.6,2074.0
6354608,stimulus_Ins_LearningMobility_3_question_3112,1246.1,954.0,2071.0
6354609,stimulus_Ins_LearningMobility_3_question_3112,1245.8,954.3,2069.0
6354610,stimulus_Ins_LearningMobility_3_question_3112,1245.5,954.3,2069.0
6354611,stimulus_Ins_LearningMobility_3_question_3112,1245.6,953.9,2069.0
6354612,stimulus_Ins_LearningMobility_3_question_3112,1245.6,953.6,2069.0
6354613,stimulus_Ins_LearningMobility_3_question_3112,1246.4,953.2,2071.0
6354614,stimulus_Ins_LearningMobility_3_question_3112,1247.3,953.0,2074.0
6354615,stimulus_Ins_LearningMobility_3_question_3112,1247.7,952.9,2077.0
6354616,stimulus_Ins_LearningMobility_3_question_3112,1247.2,952.9,2079.0
6354617,stimulus_Ins_LearningMobility_3_question_3112,1246.8,953.0,2079.0
6354618,stimulus_Ins_LearningMobility_3_question_3112,1246.9,953.6,2079.0
6354619,stimulus_Ins_LearningMobility_3_question_3112,1247.0,954.1,2078.0
6354620,stimulus_Ins_LearningMobility_3_question_3112,1247.0,954.5,2078.0
6354621,stimulus_Ins_LearningMobility_3_question_3112,1247.1,954.4,2079.0
6354622,stimulus_Ins_LearningMobility_3_question_3112,1247.1,954.4,2080.0
6354623,stimulus_Ins_LearningMobility_3_question_3112,1247.0,954.2,2081.0
6354624,stimulus_Ins_LearningMobility_3_question_3112,1247.3,954.1,2081.0
6354625,stimulus_Ins_LearningMobility_3_question_3112,1247.8,954.0,2079.0
6354626,stimulus_Ins_LearningMobility_3_question_3112,1248.0,954.1,2077.0
6354627,stimulus_Ins_LearningMobility_3_question_3112,1247.3,954.2,2076.0
6354628,stimulus_Ins_LearningMobility_3_question_3112,1246.6,954.0,2076.0
6354629,stimulus_Ins_LearningMobility_3_question_3112,1246.2,953.8,2074.0
6354630,stimulus_Ins_LearningMobility_3_question_3112,1246.2,953.6,2073.0
6354631,stimulus_Ins_LearningMobility_3_question_3112,1246.1,953.5,2072.0
6354632,stimulus_Ins_LearningMobility_3_question_3112,1245.5,953.5,2071.0
6354633,stimulus_Ins_LearningMobility_3_question_3112,1244.9,953.6,2072.0
6354634,stimulus_Ins_LearningMobility_3_question_3112,1244.4,953.6,2072.0
6354635,stimulus_Ins_LearningMobility_3_question_3112,1244.3,953.3,2073.0
6354636,stimulus_Ins_LearningMobility_3_question_3112,1244.2,953.1,2071.0
6354637,stimulus_Ins_LearningMobility_3_question_3112,1244.1,952.9,2069.0
6354638,stimulus_Ins_LearningMobility_3_question_3112,1244.0,952.7,2068.0
6354639,stimulus_Ins_LearningMobility_3_question_3112,1243.9,952.5,2071.0
6354640,stimulus_Ins_LearningMobility_3_question_3112,1243.8,952.3,2074.0
6354641,stimulus_Ins_LearningMobility_3_question_3112,1243.9,952.5,2075.0
6354642,stimulus_Ins_LearningMobility_3_question_3112,1244.2,952.7,2078.0
6354643,stimulus_Ins_LearningMobility_3_question_3112,1244.3,952.9,2079.0
6354644,stimulus_Ins_LearningMobility_3_question_3112,1244.3,952.7,2081.0
6354645,stimulus_Ins_LearningMobility_3_question_3112,1244.8,952.6,2082.0
6354646,stimulus_Ins_LearningMobility_3_question_3112,1245.3,952.5,2084.0
6354647,stimulus_Ins_LearningMobility_3_question_3112,1245.1,952.4,2086.0
6354648,stimulus_Ins_LearningMobility_3_question_3112,1244.3,952.3,2088.0
6354649,stimulus_Ins_LearningMobility_3_question_3112,1243.4,952.3,2088.0
6354650,stimulus_Ins_LearningMobility_3_question_3112,1243.3,952.2,2088.0
6354651,stimulus_Ins_LearningMobility_3_question_3112,1243.4,952.1,2087.0
6354652,stimulus_Ins_LearningMobility_3_question_3112,1244.0,952.1,2085.0
6354653,stimulus_Ins_LearningMobility_3_question_3112,1244.6,952.1,2085.0
6354654,stimulus_Ins_LearningMobility_3_question_3112,1244.8,952.1,2086.0
6354655,stimulus_Ins_LearningMobility_3_question_3112,1244.8,951.8,2085.0
6354656,stimulus_Ins_LearningMobility_3_question_3112,1244.8,951.6,2083.0
6354657,stimulus_Ins_LearningMobility_3_question_3112,1244.8,951.3,2080.0
6354658,stimulus_Ins_LearningMobility_3_question_3112,1244.9,951.3,2079.0
6354659,stimulus_Ins_LearningMobility_3_question_3112,1245.0,951.3,2076.0
6354660,stimulus_Ins_LearningMobility_3_question_3112,1245.2,950.9,2075.0
6354661,stimulus_Ins_LearningMobility_3_question_3112,1245.6,950.6,2075.0
6354662,stimulus_Ins_LearningMobility_3_question_3112,1246.1,950.2,2077.0
6354663,stimulus_Ins_LearningMobility_3_question_3112,1246.6,950.1,2079.0
6354664,stimulus_Ins_LearningMobility_3_question_3112,1246.6,950.2,2079.0
6354665,stimulus_Ins_LearningMobility_3_question_3112,1246.5,950.4,2078.0
6354666,stimulus_Ins_LearningMobility_3_question_3112,1246.2,950.5,2075.0
6354667,stimulus_Ins_LearningMobility_3_question_3112,1246.0,950.6,2073.0
6354668,stimulus_Ins_LearningMobility_3_question_3112,1245.8,950.7,2070.0
6354669,stimulus_Ins_LearningMobility_3_question_3112,1245.6,950.8,2070.0
6354670,stimulus_Ins_LearningMobility_3_question_3112,1245.8,950.8,2073.0
6354671,stimulus_Ins_LearningMobility_3_question_3112,1246.1,950.8,2075.0
6354672,stimulus_Ins_LearningMobility_3_question_3112,1246.2,950.8,2077.0
6354673,stimulus_Ins_LearningMobility_3_question_3112,1246.1,950.8,2077.0
6354674,stimulus_Ins_LearningMobility_3_question_3112,1245.9,951.0,2077.0
6354675,stimulus_Ins_LearningMobility_3_question_3112,1245.9,951.1,2078.0
6354676,stimulus_Ins_LearningMobility_3_question_3112,1245.8,951.2,2078.0
6354677,stimulus_Ins_LearningMobility_3_question_3112,1245.5,951.3,2076.0
6354678,stimulus_Ins_LearningMobility_3_question_3112,1245.3,951.2,2075.0
6354679,stimulus_Ins_LearningMobility_3_question_3112,1245.1,951.2,2074.0
6354680,stimulus_Ins_LearningMobility_3_question_3112,1245.2,951.2,2074.0
6354681,stimulus_Ins_LearningMobility_3_question_3112,1245.0,951.1,2075.0
6354682,stimulus_Ins_LearningMobility_3_question_3112,1244.7,950.7,2078.0
6354683,stimulus_Ins_LearningMobility_3_question_3112,1244.4,950.1,2081.0
6354684,stimulus_Ins_LearningMobility_3_question_3112,1244.1,949.6,2083.0
6354685,stimulus_Ins_LearningMobility_3_question_3112,1244.2,949.5,2083.0
6354686,stimulus_Ins_LearningMobility_3_question_3112,1244.4,949.8,2084.0
6354687,stimulus_Ins_LearningMobility_3_question_3112,1244.4,950.5,2085.0
6354688,stimulus_Ins_LearningMobility_3_question_3112,1244.3,950.9,2085.0
6354689,stimulus_Ins_LearningMobility_3_question_3112,1244.1,951.4,2085.0
6354690,stimulus_Ins_LearningMobility_3_question_3112,1244.2,951.5,2085.0
6354691,stimulus_Ins_LearningMobility_3_question_3112,1244.2,951.7,2084.0
6354692,stimulus_Ins_LearningMobility_3_question_3112,1244.3,951.6,2084.0
6354693,stimulus_Ins_LearningMobility_3_question_3112,1244.2,951.6,2085.0
6354694,stimulus_Ins_LearningMobility_3_question_3112,1244.2,951.5,2089.0
6354695,stimulus_Ins_LearningMobility_3_question_3112,1244.2,951.5,2093.0
6354696,stimulus_Ins_LearningMobility_3_question_3112,1244.4,951.7,2095.0
6354697,stimulus_Ins_LearningMobility_3_question_3112,1244.4,951.9,2094.0
6354698,stimulus_Ins_LearningMobility_3_question_3112,1244.4,952.1,2089.0
6354699,stimulus_Ins_LearningMobility_3_question_3112,1244.1,951.9,2084.0
6354700,stimulus_Ins_LearningMobility_3_question_3112,1243.7,951.7,2079.0
6354701,stimulus_Ins_LearningMobility_3_question_3112,1243.4,951.4,2079.0
6354702,stimulus_Ins_LearningMobility_3_question_3112,1243.3,951.5,2079.0
6354703,stimulus_Ins_LearningMobility_3_question_3112,1243.3,951.6,2081.0
6354704,stimulus_Ins_LearningMobility_3_question_3112,1243.2,951.8,2085.0
6354705,stimulus_Ins_LearningMobility_3_question_3112,1243.3,951.9,2090.0
6354706,stimulus_Ins_LearningMobility_3_question_3112,1243.3,952.0,2095.0
6354707,stimulus_Ins_LearningMobility_3_question_3112,1243.3,952.4,2093.0
6354708,stimulus_Ins_LearningMobility_3_question_3112,1242.7,952.8,2087.0
6354709,stimulus_Ins_LearningMobility_3_question_3112,1242.1,953.1,2080.0
6354710,stimulus_Ins_LearningMobility_3_question_3112,1242.0,953.2,2078.0
6354711,stimulus_Ins_LearningMobility_3_question_3112,1242.4,953.0,2079.0
6354712,stimulus_Ins_LearningMobility_3_question_3112,1242.7,952.8,2084.0
6354713,stimulus_Ins_LearningMobility_3_question_3112,1243.0,952.5,2088.0
6354714,stimulus_Ins_LearningMobility_3_question_3112,1243.4,952.4,2091.0
6354715,stimulus_Ins_LearningMobility_3_question_3112,1243.9,952.5,2092.0
6354716,stimulus_Ins_LearningMobility_3_question_3112,1244.2,953.1,2092.0
6354717,stimulus_Ins_LearningMobility_3_question_3112,1244.4,953.6,2089.0
6354718,stimulus_Ins_LearningMobility_3_question_3112,1244.2,954.0,2086.0
6354719,stimulus_Ins_LearningMobility_3_question_3112,1243.9,954.0,2083.0
6354720,stimulus_Ins_LearningMobility_3_question_3112,1243.6,953.9,2084.0
6354721,stimulus_Ins_LearningMobility_3_question_3112,1243.6,953.1,2089.0
6354722,stimulus_Ins_LearningMobility_3_question_3112,1243.6,952.3,2092.0
6354723,stimulus_Ins_LearningMobility_3_question_3112,1243.7,952.2,2094.0
6354724,stimulus_Ins_LearningMobility_3_question_3112,1243.9,952.7,2091.0
6354725,stimulus_Ins_LearningMobility_3_question_3112,1244.1,953.2,2088.0
6354726,stimulus_Ins_LearningMobility_3_question_3112,1243.8,953.3,2085.0
6354727,stimulus_Ins_LearningMobility_3_question_3112,1243.5,953.3,2086.0
6354728,stimulus_Ins_LearningMobility_3_question_3112,1243.1,953.4,2084.0
6354729,stimulus_Ins_LearningMobility_3_question_3112,1243.6,953.5,2082.0
6354730,stimulus_Ins_LearningMobility_3_question_3112,1244.1,953.5,2080.0
6354731,stimulus_Ins_LearningMobility_3_question_3112,1244.5,953.5,2080.0
6354732,stimulus_Ins_LearningMobility_3_question_3112,1244.4,953.3,2085.0
6354733,stimulus_Ins_LearningMobility_3_question_3112,1244.2,953.0,2089.0
6354734,stimulus_Ins_LearningMobility_3_question_3112,1244.1,952.7,2091.0
6354735,stimulus_Ins_LearningMobility_3_question_3112,1243.9,952.6,2089.0
6354736,stimulus_Ins_LearningMobility_3_question_3112,1243.6,952.7,2088.0
6354737,stimulus_Ins_LearningMobility_3_question_3112,1243.3,952.7,2088.0
6354738,stimulus_Ins_LearningMobility_3_question_3112,1242.7,952.8,2089.0
6354739,stimulus_Ins_LearningMobility_3_question_3112,1242.2,952.9,2089.0
6354740,stimulus_Ins_LearningMobility_3_question_3112,1242.0,952.9,2088.0
6354741,stimulus_Ins_LearningMobility_3_question_3112,1242.2,952.9,2089.0
6354742,stimulus_Ins_LearningMobility_3_question_3112,1242.7,952.8,2089.0
6354743,stimulus_Ins_LearningMobility_3_question_3112,1243.2,952.9,2093.0
6354744,stimulus_Ins_LearningMobility_3_question_3112,1243.7,952.9,2097.0
6354745,stimulus_Ins_LearningMobility_3_question_3112,1244.0,953.1,2093.0
6354746,stimulus_Ins_LearningMobility_3_question_3112,1244.2,953.3,2087.0
6354747,stimulus_Ins_LearningMobility_3_question_3112,1244.3,953.6,2080.0
6354748,stimulus_Ins_LearningMobility_3_question_3112,1244.3,953.7,2079.0
6354749,stimulus_Ins_LearningMobility_3_question_3112,1244.2,953.7,2081.0
6354750,stimulus_Ins_LearningMobility_3_question_3112,1244.0,953.5,2082.0
