time,screen,pixel_x,pixel_y,pupil
4608633,stimulus_Arg_PISARapaNui_11_page_11,87.4,186.4,2102.0
4608634,stimulus_Arg_PISARapaNui_11_page_11,87.7,186.5,2101.0
4608635,stimulus_Arg_PISARapaNui_11_page_11,88.3,186.4,2101.0
4608636,stimulus_Arg_PISARapaNui_11_page_11,88.8,186.3,2102.0
4608637,stimulus_Arg_PISARapaNui_11_page_11,88.9,186.5,2104.0
4608638,stimulus_Arg_PISARapaNui_11_page_11,88.7,186.8,2104.0
4608639,stimulus_Arg_PISARapaNui_11_page_11,88.5,187.2,2103.0
4608640,stimulus_Arg_PISARapaNui_11_page_11,88.7,187.1,2101.0
4608641,stimulus_Arg_PISARapaNui_11_page_11,89.1,187.0,2099.0
4608642,stimulus_Arg_PISARapaNui_11_page_11,89.5,186.9,2099.0
4608643,stimulus_Arg_PISARapaNui_11_page_11,89.6,187.0,2099.0
4608644,stimulus_Arg_PISARapaNui_11_page_11,89.5,187.1,2098.0
4608645,stimulus_Arg_PISARapaNui_11_page_11,89.2,187.4,2099.0
4608646,stimulus_Arg_PISARapaNui_11_page_11,89.0,187.6,2102.0
4608647,stimulus_Arg_PISARapaNui_11_page_11,88.9,187.8,2105.0
4608648,stimulus_Arg_PISARapaNui_11_page_11,89.0,187.8,2104.0
4608649,stimulus_Arg_PISARapaNui_11_page_11,89.1,187.8,2102.0
4608650,stimulus_Arg_PISARapaNui_11_page_11,89.1,187.8,2099.0
4608651,stimulus_Arg_PISARapaNui_11_page_11,89.2,187.7,2096.0
4608652,stimulus_Arg_PISARapaNui_11_page_11,89.3,187.7,2097.0
4608653,stimulus_Arg_PISARapaNui_11_page_11,89.2,187.7,2099.0
4608654,stimulus_Arg_PISARapaNui_11_page_11,89.0,187.8,2101.0
4608655,stimulus_Arg_PISARapaNui_11_page_11,89.3,187.8,2102.0
4608656,stimulus_Arg_PISARapaNui_11_page_11,89.7,187.8,2102.0
4608657,stimulus_Arg_PISARapaNui_11_page_11,90.1,187.8,2101.0
4608658,stimulus_Arg_PISARapaNui_11_page_11,89.9,187.9,2101.0
4608659,stimulus_Arg_PISARapaNui_11_page_11,89.6,188.2,2100.0
4608660,stimulus_Arg_PISARapaNui_11_page_11,89.4,188.4,2099.0
4608661,stimulus_Arg_PISARapaNui_11_page_11,89.2,188.6,2099.0
4608662,stimulus_Arg_PISARapaNui_11_page_11,89.0,188.9,2098.0
4608663,stimulus_Arg_PISARapaNui_11_page_11,88.8,189.2,2098.0
4608664,stimulus_Arg_PISARapaNui_11_page_11,88.7,189.5,2098.0
4608665,stimulus_Arg_PISARapaNui_11_page_11,88.8,189.6,2098.0
4608666,stimulus_Arg_PISARapaNui_11_page_11,88.8,189.7,2098.0
4608667,stimulus_Arg_PISARapaNui_11_page_11,88.9,189.9,2098.0
4608668,stimulus_Arg_PISARapaNui_11_page_11,89.0,190.1,2098.0
4608669,stimulus_Arg_PISARapaNui_11_page_11,89.0,190.3,2098.0
4608670,stimulus_Arg_PISARapaNui_11_page_11,89.0,190.3,2099.0
4608671,stimulus_Arg_PISARapaNui_11_page_11,89.0,190.3,2099.0
