time,screen,pixel_x,pixel_y,pupil
3021918,stimulus_Lit_BrokenApril_9_question_9131,1289.0,939.0,3147.0
3021919,stimulus_Lit_BrokenApril_9_question_9131,1289.5,939.1,3150.0
3021920,stimulus_Lit_BrokenApril_9_question_9131,1289.5,939.0,3149.0
3021921,stimulus_Lit_BrokenApril_9_question_9131,1289.1,938.8,3147.0
3021922,stimulus_Lit_BrokenApril_9_question_9131,1288.6,938.6,3145.0
3021923,stimulus_Lit_BrokenApril_9_question_9131,1288.2,938.6,3143.0
3021924,stimulus_Lit_BrokenApril_9_question_9131,1288.2,938.5,3144.0
3021925,stimulus_Lit_BrokenApril_9_question_9131,1288.0,938.5,3146.0
3021926,stimulus_Lit_BrokenApril_9_question_9131,1287.9,938.4,3149.0
3021927,stimulus_Lit_BrokenApril_9_question_9131,1288.0,938.3,3150.0
3021928,stimulus_Lit_BrokenApril_9_question_9131,1288.1,938.2,3150.0
3021929,stimulus_Lit_BrokenApril_9_question_9131,1288.3,938.2,3150.0
3021930,stimulus_Lit_BrokenApril_9_question_9131,1288.2,938.1,3149.0
3021931,stimulus_Lit_BrokenApril_9_question_9131,1288.2,937.9,3149.0
3021932,stimulus_Lit_BrokenApril_9_question_9131,1288.2,937.7,3149.0
3021933,stimulus_Lit_BrokenApril_9_question_9131,1288.3,937.6,3145.0
3021934,stimulus_Lit_BrokenApril_9_question_9131,1288.0,937.4,3141.0
3021935,stimulus_Lit_BrokenApril_9_question_9131,1287.6,937.0,3137.0
3021936,stimulus_Lit_BrokenApril_9_question_9131,1287.7,936.5,3141.0
3021937,stimulus_Lit_BrokenApril_9_question_9131,1288.1,936.2,3145.0
3021938,stimulus_Lit_BrokenApril_9_question_9131,1288.3,936.2,3148.0
3021939,stimulus_Lit_BrokenApril_9_question_9131,1288.0,936.1,3146.0
3021940,stimulus_Lit_BrokenApril_9_question_9131,1287.6,936.1,3143.0
3021941,stimulus_Lit_BrokenApril_9_question_9131,1287.4,936.4,3141.0
3021942,stimulus_Lit_BrokenApril_9_question_9131,1287.4,936.8,3141.0
3021943,stimulus_Lit_BrokenApril_9_question_9131,1287.5,937.1,3143.0
3021944,stimulus_Lit_BrokenApril_9_question_9131,1287.7,936.9,3145.0
3021945,stimulus_Lit_BrokenApril_9_question_9131,1288.0,936.8,3147.0
3021946,stimulus_Lit_BrokenApril_9_question_9131,1288.7,936.8,3149.0
3021947,stimulus_Lit_BrokenApril_9_question_9131,1289.2,936.8,3152.0
3021948,stimulus_Lit_BrokenApril_9_question_9131,1289.1,936.4,3155.0
3021949,stimulus_Lit_BrokenApril_9_question_9131,1288.7,936.0,3157.0
3021950,stimulus_Lit_BrokenApril_9_question_9131,1288.2,935.8,3157.0
3021951,stimulus_Lit_BrokenApril_9_question_9131,1288.5,936.3,3154.0
3021952,stimulus_Lit_BrokenApril_9_question_9131,1288.8,937.0,3152.0
3021953,stimulus_Lit_BrokenApril_9_question_9131,1289.3,937.5,3149.0
3021954,stimulus_Lit_BrokenApril_9_question_9131,1289.7,937.5,3150.0
3021955,stimulus_Lit_BrokenApril_9_question_9131,1290.1,937.3,3150.0
3021956,stimulus_Lit_BrokenApril_9_question_9131,1290.2,937.0,3150.0
3021957,stimulus_Lit_BrokenApril_9_question_9131,1290.3,936.9,3153.0
3021958,stimulus_Lit_BrokenApril_9_question_9131,1290.2,936.8,3156.0
3021959,stimulus_Lit_BrokenApril_9_question_9131,1290.1,936.5,3159.0
3021960,stimulus_Lit_BrokenApril_9_question_9131,1290.0,936.3,3160.0
3021961,stimulus_Lit_BrokenApril_9_question_9131,1289.9,936.0,3160.0
3021962,stimulus_Lit_BrokenApril_9_question_9131,1289.8,936.0,3153.0
3021963,stimulus_Lit_BrokenApril_9_question_9131,1289.7,935.9,3146.0
3021964,stimulus_Lit_BrokenApril_9_question_9131,1289.6,935.9,3142.0
3021965,stimulus_Lit_BrokenApril_9_question_9131,1289.6,935.8,3145.0
3021966,stimulus_Lit_BrokenApril_9_question_9131,1289.9,935.8,3151.0
3021967,stimulus_Lit_BrokenApril_9_question_9131,1290.0,935.4,3154.0
3021968,stimulus_Lit_BrokenApril_9_question_9131,1290.1,935.1,3156.0
3021969,stimulus_Lit_BrokenApril_9_question_9131,1290.0,935.1,3155.0
3021970,stimulus_Lit_BrokenApril_9_question_9131,1290.0,935.4,3154.0
3021971,stimulus_Lit_BrokenApril_9_question_9131,1289.7,935.6,3153.0
3021972,stimulus_Lit_BrokenApril_9_question_9131,1289.3,935.6,3152.0
3021973,stimulus_Lit_BrokenApril_9_question_9131,1288.9,935.6,3152.0
3021974,stimulus_Lit_BrokenApril_9_question_9131,1289.0,935.6,3153.0
3021975,stimulus_Lit_BrokenApril_9_question_9131,1289.1,935.8,3155.0
3021976,stimulus_Lit_BrokenApril_9_question_9131,1289.1,935.9,3156.0
3021977,stimulus_Lit_BrokenApril_9_question_9131,1289.1,936.1,3156.0
3021978,stimulus_Lit_BrokenApril_9_question_9131,1289.0,936.2,3157.0
3021979,stimulus_Lit_BrokenApril_9_question_9131,1289.0,936.3,3160.0
3021980,stimulus_Lit_BrokenApril_9_question_9131,1288.8,936.3,3162.0
3021981,stimulus_Lit_BrokenApril_9_question_9131,1288.6,936.5,3161.0
3021982,stimulus_Lit_BrokenApril_9_question_9131,1288.6,936.7,3157.0
3021983,stimulus_Lit_BrokenApril_9_question_9131,1288.8,936.9,3154.0
3021984,stimulus_Lit_BrokenApril_9_question_9131,1289.0,936.9,3156.0
3021985,stimulus_Lit_BrokenApril_9_question_9131,1289.4,936.9,3157.0
3021986,stimulus_Lit_BrokenApril_9_question_9131,1289.9,937.2,3160.0
3021987,stimulus_Lit_BrokenApril_9_question_9131,1290.4,937.5,3161.0
3021988,stimulus_Lit_BrokenApril_9_question_9131,1290.4,937.8,3162.0
3021989,stimulus_Lit_BrokenApril_9_question_9131,1290.4,937.9,3161.0
3021990,stimulus_Lit_BrokenApril_9_question_9131,1290.4,937.7,3160.0
3021991,stimulus_Lit_BrokenApril_9_question_9131,1290.4,937.6,3160.0
3021992,stimulus_Lit_BrokenApril_9_question_9131,1290.4,937.4,3160.0
3021993,stimulus_Lit_BrokenApril_9_question_9131,1290.3,937.4,3160.0
3021994,stimulus_Lit_BrokenApril_9_question_9131,1290.3,937.9,3158.0
3021995,stimulus_Lit_BrokenApril_9_question_9131,1290.4,938.4,3155.0
3021996,stimulus_Lit_BrokenApril_9_question_9131,1290.7,938.6,3156.0
3021997,stimulus_Lit_BrokenApril_9_question_9131,1291.0,938.3,3161.0
3021998,stimulus_Lit_BrokenApril_9_question_9131,1290.9,938.0,3166.0
3021999,stimulus_Lit_BrokenApril_9_question_9131,1290.5,938.0,3165.0
3022000,stimulus_Lit_BrokenApril_9_question_9131,1290.0,938.1,3162.0
3022001,stimulus_Lit_BrokenApril_9_question_9131,1289.7,938.5,3159.0
3022002,stimulus_Lit_BrokenApril_9_question_9131,1289.7,938.9,3159.0
3022003,stimulus_Lit_BrokenApril_9_question_9131,1289.7,939.2,3159.0
3022004,stimulus_Lit_BrokenApril_9_question_9131,1289.6,939.1,3160.0
3022005,stimulus_Lit_BrokenApril_9_question_9131,1289.4,938.9,3160.0
3022006,stimulus_Lit_BrokenApril_9_question_9131,1289.2,938.8,3161.0
3022007,stimulus_Lit_BrokenApril_9_question_9131,1288.8,938.7,3160.0
3022008,stimulus_Lit_BrokenApril_9_question_9131,1288.4,938.6,3159.0
3022009,stimulus_Lit_BrokenApril_9_question_9131,1288.1,938.6,3158.0
