time,screen,pixel_x,pixel_y,pupil
7640281,subject_difficulty_screen,1266.6,898.3,2385.0
7640282,subject_difficulty_screen,1266.6,898.3,2388.0
7640283,subject_difficulty_screen,1266.6,898.0,2390.0
7640284,subject_difficulty_screen,1266.7,897.7,2390.0
7640285,subject_difficulty_screen,1266.8,897.3,2388.0
7640286,subject_difficulty_screen,1266.5,897.1,2389.0
7640287,subject_difficulty_screen,1266.1,897.1,2391.0
7640288,subject_difficulty_screen,1265.3,896.9,2391.0
7640289,subject_difficulty_screen,1265.0,896.7,2389.0
7640290,subject_difficulty_screen,1264.7,896.5,2386.0
7640291,subject_difficulty_screen,1264.7,896.3,2385.0
7640292,subject_difficulty_screen,1264.7,896.1,2384.0
7640293,subject_difficulty_screen,1264.8,896.1,2384.0
7640294,subject_difficulty_screen,1264.9,896.2,2384.0
7640295,subject_difficulty_screen,1265.0,896.4,2385.0
7640296,subject_difficulty_screen,1265.6,896.3,2386.0
7640297,subject_difficulty_screen,1266.1,895.5,2386.0
7640298,subject_difficulty_screen,1266.4,894.8,2387.0
7640299,subject_difficulty_screen,1266.2,894.2,2388.0
7640300,subject_difficulty_screen,1266.0,894.2,2390.0
7640301,subject_difficulty_screen,1265.6,894.3,2391.0
7640302,subject_difficulty_screen,1265.2,894.3,2392.0
7640303,subject_difficulty_screen,1264.8,894.7,2391.0
7640304,subject_difficulty_screen,1264.7,895.1,2386.0
7640305,subject_difficulty_screen,1264.6,895.3,2382.0
7640306,subject_difficulty_screen,1264.4,895.2,2379.0
7640307,subject_difficulty_screen,1264.2,894.5,2379.0
7640308,subject_difficulty_screen,1264.1,894.0,2380.0
7640309,subject_difficulty_screen,1264.0,893.6,2382.0
7640310,subject_difficulty_screen,1264.1,893.9,2383.0
7640311,subject_difficulty_screen,1264.0,894.1,2383.0
7640312,subject_difficulty_screen,1263.7,894.4,2384.0
7640313,subject_difficulty_screen,1263.5,894.4,2386.0
7640314,subject_difficulty_screen,1263.4,894.4,2388.0
7640315,subject_difficulty_screen,1262.8,894.2,2387.0
7640316,subject_difficulty_screen,1262.2,894.0,2385.0
7640317,subject_difficulty_screen,1262.0,894.3,2384.0
7640318,subject_difficulty_screen,1262.4,894.8,2384.0
7640319,subject_difficulty_screen,1263.4,895.2,2386.0
7640320,subject_difficulty_screen,1264.1,895.2,2389.0
7640321,subject_difficulty_screen,1264.7,895.1,2392.0
7640322,subject_difficulty_screen,1264.6,895.2,2391.0
7640323,subject_difficulty_screen,1264.0,894.9,2390.0
7640324,subject_difficulty_screen,1263.4,894.7,2389.0
7640325,subject_difficulty_screen,1262.8,894.4,2388.0
