time,screen,pixel_x,pixel_y,pupil
6860537,stimulus_Lit_MagicMountain_6_page_5,63.5,79.7,2580.0
6860538,stimulus_Lit_MagicMountain_6_page_5,63.8,79.6,2580.0
6860539,stimulus_Lit_MagicMountain_6_page_5,63.9,79.5,2580.0
6860540,stimulus_Lit_MagicMountain_6_page_5,63.9,79.4,2580.0
6860541,stimulus_Lit_MagicMountain_6_page_5,63.8,79.3,2579.0
6860542,stimulus_Lit_MagicMountain_6_page_5,63.9,79.2,2579.0
6860543,stimulus_Lit_MagicMountain_6_page_5,63.9,79.5,2579.0
6860544,stimulus_Lit_MagicMountain_6_page_5,63.8,79.8,2582.0
6860545,stimulus_Lit_MagicMountain_6_page_5,63.6,80.1,2584.0
6860546,stimulus_Lit_MagicMountain_6_page_5,63.4,80.0,2586.0
6860547,stimulus_Lit_MagicMountain_6_page_5,63.3,80.2,2585.0
6860548,stimulus_Lit_MagicMountain_6_page_5,63.3,80.4,2584.0
6860549,stimulus_Lit_MagicMountain_6_page_5,63.3,80.6,2584.0
6860550,stimulus_Lit_MagicMountain_6_page_5,63.5,80.6,2583.0
6860551,stimulus_Lit_MagicMountain_6_page_5,63.7,80.6,2582.0
6860552,stimulus_Lit_MagicMountain_6_page_5,63.9,80.6,2581.0
6860553,stimulus_Lit_MagicMountain_6_page_5,64.1,80.7,2582.0
6860554,stimulus_Lit_MagicMountain_6_page_5,64.2,80.8,2584.0
6860555,stimulus_Lit_MagicMountain_6_page_5,64.1,80.8,2585.0
6860556,stimulus_Lit_MagicMountain_6_page_5,64.0,80.8,2586.0
6860557,stimulus_Lit_MagicMountain_6_page_5,64.1,80.8,2587.0
6860558,stimulus_Lit_MagicMountain_6_page_5,64.2,80.9,2588.0
6860559,stimulus_Lit_MagicMountain_6_page_5,64.3,80.9,2589.0
6860560,stimulus_Lit_MagicMountain_6_page_5,64.2,80.8,2588.0
6860561,stimulus_Lit_MagicMountain_6_page_5,64.2,80.8,2589.0
6860562,stimulus_Lit_MagicMountain_6_page_5,64.1,80.6,2590.0
6860563,stimulus_Lit_MagicMountain_6_page_5,64.2,80.4,2592.0
6860564,stimulus_Lit_MagicMountain_6_page_5,64.5,80.2,2592.0
6860565,stimulus_Lit_MagicMountain_6_page_5,64.7,79.8,2594.0
6860566,stimulus_Lit_MagicMountain_6_page_5,64.8,79.5,2596.0
6860567,stimulus_Lit_MagicMountain_6_page_5,64.6,79.6,2597.0
6860568,stimulus_Lit_MagicMountain_6_page_5,64.3,80.1,2596.0
6860569,stimulus_Lit_MagicMountain_6_page_5,64.3,80.7,2593.0
6860570,stimulus_Lit_MagicMountain_6_page_5,64.3,80.6,2591.0
6860571,stimulus_Lit_MagicMountain_6_page_5,64.4,80.4,2591.0
6860572,stimulus_Lit_MagicMountain_6_page_5,64.5,80.1,2593.0
6860573,stimulus_Lit_MagicMountain_6_page_5,64.5,80.0,2595.0
6860574,stimulus_Lit_MagicMountain_6_page_5,64.6,79.9,2595.0
6860575,stimulus_Lit_MagicMountain_6_page_5,64.7,79.8,2594.0
6860576,stimulus_Lit_MagicMountain_6_page_5,64.8,79.6,2594.0
6860577,stimulus_Lit_MagicMountain_6_page_5,64.9,79.6,2593.0
6860578,stimulus_Lit_MagicMountain_6_page_5,64.9,79.5,2593.0
6860579,stimulus_Lit_MagicMountain_6_page_5,64.9,79.6,2594.0
6860580,stimulus_Lit_MagicMountain_6_page_5,64.9,79.6,2595.0
6860581,stimulus_Lit_MagicMountain_6_page_5,64.8,79.7,2595.0
6860582,stimulus_Lit_MagicMountain_6_page_5,64.7,79.7,2595.0
6860583,stimulus_Lit_MagicMountain_6_page_5,64.6,79.2,2597.0
6860584,stimulus_Lit_MagicMountain_6_page_5,64.7,78.7,2598.0
6860585,stimulus_Lit_MagicMountain_6_page_5,64.7,78.5,2600.0
6860586,stimulus_Lit_MagicMountain_6_page_5,64.7,78.7,2599.0
6860587,stimulus_Lit_MagicMountain_6_page_5,64.7,79.0,2599.0
6860588,stimulus_Lit_MagicMountain_6_page_5,64.7,79.1,2599.0
6860589,stimulus_Lit_MagicMountain_6_page_5,64.7,79.1,2599.0
6860590,stimulus_Lit_MagicMountain_6_page_5,64.7,78.9,2600.0
6860591,stimulus_Lit_MagicMountain_6_page_5,64.6,78.8,2602.0
6860592,stimulus_Lit_MagicMountain_6_page_5,64.4,78.8,2603.0
6860593,stimulus_Lit_MagicMountain_6_page_5,64.5,78.9,2603.0
6860594,stimulus_Lit_MagicMountain_6_page_5,64.6,78.9,2603.0
6860595,stimulus_Lit_MagicMountain_6_page_5,64.9,78.9,2603.0
6860596,stimulus_Lit_MagicMountain_6_page_5,64.9,78.8,2603.0
6860597,stimulus_Lit_MagicMountain_6_page_5,65.0,78.9,2602.0
6860598,stimulus_Lit_MagicMountain_6_page_5,65.0,78.8,2601.0
6860599,stimulus_Lit_MagicMountain_6_page_5,65.1,78.6,2600.0
6860600,stimulus_Lit_MagicMountain_6_page_5,65.1,78.4,2600.0
6860601,stimulus_Lit_MagicMountain_6_page_5,65.2,78.3,2600.0
6860602,stimulus_Lit_MagicMountain_6_page_5,65.2,78.4,2601.0
6860603,stimulus_Lit_MagicMountain_6_page_5,65.2,78.5,2603.0
