time,screen,pixel_x,pixel_y,pupil
6973549,stimulus_Lit_MagicMountain_6_question_6112,1251.6,854.1,2456.0
6973550,stimulus_Lit_MagicMountain_6_question_6112,1251.7,854.3,2454.0
6973551,stimulus_Lit_MagicMountain_6_question_6112,1251.3,854.5,2453.0
6973552,stimulus_Lit_MagicMountain_6_question_6112,1250.4,854.6,2448.0
6973553,stimulus_Lit_MagicMountain_6_question_6112,1249.5,854.6,2444.0
6973554,stimulus_Lit_MagicMountain_6_question_6112,1249.5,854.4,2442.0
6973555,stimulus_Lit_MagicMountain_6_question_6112,1250.0,854.1,2442.0
6973556,stimulus_Lit_MagicMountain_6_question_6112,1250.7,853.9,2449.0
6973557,stimulus_Lit_MagicMountain_6_question_6112,1250.8,853.7,2456.0
6973558,stimulus_Lit_MagicMountain_6_question_6112,1250.8,853.7,2459.0
6973559,stimulus_Lit_MagicMountain_6_question_6112,1250.6,853.7,2456.0
6973560,stimulus_Lit_MagicMountain_6_question_6112,1250.5,853.8,2454.0
6973561,stimulus_Lit_MagicMountain_6_question_6112,1249.8,853.8,2453.0
6973562,stimulus_Lit_MagicMountain_6_question_6112,1249.1,853.8,2453.0
6973563,stimulus_Lit_MagicMountain_6_question_6112,1248.6,853.8,2453.0
6973564,stimulus_Lit_MagicMountain_6_question_6112,1249.0,853.8,2454.0
6973565,stimulus_Lit_MagicMountain_6_question_6112,1249.4,853.8,2457.0
6973566,stimulus_Lit_MagicMountain_6_question_6112,1250.2,854.2,2460.0
6973567,stimulus_Lit_MagicMountain_6_question_6112,1250.7,854.6,2460.0
6973568,stimulus_Lit_MagicMountain_6_question_6112,1251.0,854.2,2460.0
6973569,stimulus_Lit_MagicMountain_6_question_6112,1250.9,853.5,2459.0
6973570,stimulus_Lit_MagicMountain_6_question_6112,1250.8,853.1,2459.0
6973571,stimulus_Lit_MagicMountain_6_question_6112,1250.8,854.0,2460.0
6973572,stimulus_Lit_MagicMountain_6_question_6112,1250.8,854.9,2460.0
6973573,stimulus_Lit_MagicMountain_6_question_6112,1250.7,855.3,2461.0
6973574,stimulus_Lit_MagicMountain_6_question_6112,1250.5,855.1,2462.0
6973575,stimulus_Lit_MagicMountain_6_question_6112,1250.8,854.9,2462.0
6973576,stimulus_Lit_MagicMountain_6_question_6112,1251.2,854.9,2463.0
6973577,stimulus_Lit_MagicMountain_6_question_6112,1251.6,855.0,2465.0
6973578,stimulus_Lit_MagicMountain_6_question_6112,1251.2,855.1,2463.0
6973579,stimulus_Lit_MagicMountain_6_question_6112,1250.9,855.3,2460.0
6973580,stimulus_Lit_MagicMountain_6_question_6112,1250.7,855.2,2457.0
6973581,stimulus_Lit_MagicMountain_6_question_6112,1250.8,855.1,2459.0
6973582,stimulus_Lit_MagicMountain_6_question_6112,1250.9,855.0,2461.0
6973583,stimulus_Lit_MagicMountain_6_question_6112,1250.8,855.0,2463.0
6973584,stimulus_Lit_MagicMountain_6_question_6112,1250.6,855.2,2463.0
6973585,stimulus_Lit_MagicMountain_6_question_6112,1250.5,855.3,2464.0
6973586,stimulus_Lit_MagicMountain_6_question_6112,1250.8,855.3,2466.0
6973587,stimulus_Lit_MagicMountain_6_question_6112,1251.2,855.1,2468.0
6973588,stimulus_Lit_MagicMountain_6_question_6112,1251.6,854.9,2469.0
6973589,stimulus_Lit_MagicMountain_6_question_6112,1251.5,854.8,2471.0
6973590,stimulus_Lit_MagicMountain_6_question_6112,1251.3,854.8,2472.0
6973591,stimulus_Lit_MagicMountain_6_question_6112,1251.0,854.8,2472.0
6973592,stimulus_Lit_MagicMountain_6_question_6112,1250.9,854.7,2473.0
6973593,stimulus_Lit_MagicMountain_6_question_6112,1250.8,854.7,2473.0
6973594,stimulus_Lit_MagicMountain_6_question_6112,1250.7,854.7,2474.0
6973595,stimulus_Lit_MagicMountain_6_question_6112,1251.1,854.7,2477.0
6973596,stimulus_Lit_MagicMountain_6_question_6112,1251.6,854.8,2480.0
6973597,stimulus_Lit_MagicMountain_6_question_6112,1252.2,854.8,2485.0
6973598,stimulus_Lit_MagicMountain_6_question_6112,1252.3,854.8,2486.0
6973599,stimulus_Lit_MagicMountain_6_question_6112,1252.5,854.9,2487.0
6973600,stimulus_Lit_MagicMountain_6_question_6112,1252.6,855.0,2486.0
6973601,stimulus_Lit_MagicMountain_6_question_6112,1252.5,855.1,2485.0
6973602,stimulus_Lit_MagicMountain_6_question_6112,1252.4,855.1,2485.0
6973603,stimulus_Lit_MagicMountain_6_question_6112,1252.2,855.1,2485.0
6973604,stimulus_Lit_MagicMountain_6_question_6112,1251.9,854.6,2485.0
6973605,stimulus_Lit_MagicMountain_6_question_6112,1251.7,854.1,2485.0
6973606,stimulus_Lit_MagicMountain_6_question_6112,1251.9,853.5,2487.0
6973607,stimulus_Lit_MagicMountain_6_question_6112,1252.3,853.5,2491.0
6973608,stimulus_Lit_MagicMountain_6_question_6112,1252.9,853.7,2496.0
6973609,stimulus_Lit_MagicMountain_6_question_6112,1253.3,854.1,2499.0
6973610,stimulus_Lit_MagicMountain_6_question_6112,1253.2,854.5,2496.0
6973611,stimulus_Lit_MagicMountain_6_question_6112,1252.9,854.6,2493.0
6973612,stimulus_Lit_MagicMountain_6_question_6112,1252.3,854.8,2490.0
