time,screen,pixel_x,pixel_y,pupil
8366974,stimulus_Lit_Solaris_8_page_13,109.9,135.6,2221.0
8366975,stimulus_Lit_Solaris_8_page_13,109.8,136.1,2222.0
8366976,stimulus_Lit_Solaris_8_page_13,109.0,137.1,2222.0
8366977,stimulus_Lit_Solaris_8_page_13,107.3,138.2,2222.0
8366978,stimulus_Lit_Solaris_8_page_13,104.8,139.9,2223.0
8366979,stimulus_Lit_Solaris_8_page_13,101.9,141.2,2223.0
8366980,stimulus_Lit_Solaris_8_page_13,98.7,143.0,2222.0
8366981,stimulus_Lit_Solaris_8_page_13,95.4,144.0,2222.0
8366982,stimulus_Lit_Solaris_8_page_13,91.8,145.4,2223.0
8366983,stimulus_Lit_Solaris_8_page_13,87.8,147.0,2225.0
8366984,stimulus_Lit_Solaris_8_page_13,84.0,149.0,2227.0
8366985,stimulus_Lit_Solaris_8_page_13,80.8,150.7,2229.0
8366986,stimulus_Lit_Solaris_8_page_13,78.3,151.7,2230.0
8366987,stimulus_Lit_Solaris_8_page_13,75.8,152.3,2231.0
8366988,stimulus_Lit_Solaris_8_page_13,73.3,152.3,2233.0
8366989,stimulus_Lit_Solaris_8_page_13,70.8,151.9,2234.0
8366990,stimulus_Lit_Solaris_8_page_13,68.5,151.5,2234.0
8366991,stimulus_Lit_Solaris_8_page_13,66.9,151.2,2235.0
8366992,stimulus_Lit_Solaris_8_page_13,65.7,151.4,2235.0
8366993,stimulus_Lit_Solaris_8_page_13,64.8,151.7,2235.0
8366994,stimulus_Lit_Solaris_8_page_13,63.9,152.5,2235.0
8366995,stimulus_Lit_Solaris_8_page_13,63.2,153.4,2235.0
8366996,stimulus_Lit_Solaris_8_page_13,62.6,154.8,2234.0
8366997,stimulus_Lit_Solaris_8_page_13,62.3,156.2,2233.0
8366998,stimulus_Lit_Solaris_8_page_13,62.3,157.8,2233.0
8366999,stimulus_Lit_Solaris_8_page_13,62.3,159.0,2233.0
8367000,stimulus_Lit_Solaris_8_page_13,62.7,159.7,2233.0
8367001,stimulus_Lit_Solaris_8_page_13,63.3,159.8,2233.0
8367002,stimulus_Lit_Solaris_8_page_13,63.9,159.7,2233.0
8367003,stimulus_Lit_Solaris_8_page_13,64.2,159.3,2234.0
8367004,stimulus_Lit_Solaris_8_page_13,64.4,158.5,2235.0
8367005,stimulus_Lit_Solaris_8_page_13,64.6,158.0,2237.0
8367006,stimulus_Lit_Solaris_8_page_13,64.8,157.3,2239.0
8367007,stimulus_Lit_Solaris_8_page_13,64.8,157.0,2241.0
8367008,stimulus_Lit_Solaris_8_page_13,64.9,156.7,2240.0
8367009,stimulus_Lit_Solaris_8_page_13,65.4,156.7,2238.0
8367010,stimulus_Lit_Solaris_8_page_13,65.8,156.6,2235.0
8367011,stimulus_Lit_Solaris_8_page_13,66.5,156.2,2234.0
8367012,stimulus_Lit_Solaris_8_page_13,67.0,155.4,2234.0
8367013,stimulus_Lit_Solaris_8_page_13,67.7,154.4,2236.0
8367014,stimulus_Lit_Solaris_8_page_13,68.2,153.2,2238.0
8367015,stimulus_Lit_Solaris_8_page_13,68.6,152.5,2238.0
8367016,stimulus_Lit_Solaris_8_page_13,68.8,151.9,2237.0
8367017,stimulus_Lit_Solaris_8_page_13,68.7,151.6,2237.0
8367018,stimulus_Lit_Solaris_8_page_13,68.6,151.4,2237.0
8367019,stimulus_Lit_Solaris_8_page_13,68.5,151.5,2236.0
8367020,stimulus_Lit_Solaris_8_page_13,68.3,151.7,2235.0
8367021,stimulus_Lit_Solaris_8_page_13,68.1,151.7,2233.0
8367022,stimulus_Lit_Solaris_8_page_13,67.9,151.7,2236.0
8367023,stimulus_Lit_Solaris_8_page_13,67.5,151.2,2238.0
8367024,stimulus_Lit_Solaris_8_page_13,67.3,150.5,2241.0
8367025,stimulus_Lit_Solaris_8_page_13,67.0,150.0,2241.0
8367026,stimulus_Lit_Solaris_8_page_13,67.0,149.8,2241.0
8367027,stimulus_Lit_Solaris_8_page_13,66.6,149.9,2241.0
8367028,stimulus_Lit_Solaris_8_page_13,66.4,150.1,2241.0
8367029,stimulus_Lit_Solaris_8_page_13,66.1,150.3,2241.0
8367030,stimulus_Lit_Solaris_8_page_13,66.2,150.6,2241.0
8367031,stimulus_Lit_Solaris_8_page_13,66.6,150.7,2240.0
8367032,stimulus_Lit_Solaris_8_page_13,67.1,151.0,2239.0
8367033,stimulus_Lit_Solaris_8_page_13,67.9,151.3,2240.0
8367034,stimulus_Lit_Solaris_8_page_13,68.6,152.0,2242.0
8367035,stimulus_Lit_Solaris_8_page_13,69.2,152.4,2245.0
8367036,stimulus_Lit_Solaris_8_page_13,69.5,153.3,2246.0
8367037,stimulus_Lit_Solaris_8_page_13,69.8,153.8,2247.0
8367038,stimulus_Lit_Solaris_8_page_13,70.0,154.4,2247.0
8367039,stimulus_Lit_Solaris_8_page_13,70.7,154.6,2246.0
8367040,stimulus_Lit_Solaris_8_page_13,71.2,154.9,2246.0
8367041,stimulus_Lit_Solaris_8_page_13,71.7,155.8,2246.0
8367042,stimulus_Lit_Solaris_8_page_13,72.0,157.0,2247.0
8367043,stimulus_Lit_Solaris_8_page_13,72.6,158.4,2248.0
8367044,stimulus_Lit_Solaris_8_page_13,74.2,159.2,2249.0
8367045,stimulus_Lit_Solaris_8_page_13,76.0,159.6,2249.0
