time,screen,pixel_x,pixel_y,pupil
916844,stimulus_Enc_WikiMoon_13_question_13121,1249.9,928.9,1677.0
916845,stimulus_Enc_WikiMoon_13_question_13121,1249.9,928.9,1677.0
916846,stimulus_Enc_WikiMoon_13_question_13121,1250.3,929.0,1676.0
916847,stimulus_Enc_WikiMoon_13_question_13121,1250.7,929.1,1675.0
916848,stimulus_Enc_WikiMoon_13_question_13121,1250.9,928.4,1675.0
916849,stimulus_Enc_WikiMoon_13_question_13121,1250.8,927.6,1675.0
916850,stimulus_Enc_WikiMoon_13_question_13121,1250.6,927.6,1676.0
916851,stimulus_Enc_WikiMoon_13_question_13121,1250.5,928.3,1676.0
916852,stimulus_Enc_WikiMoon_13_question_13121,1250.1,928.8,1676.0
916853,stimulus_Enc_WikiMoon_13_question_13121,1249.8,928.5,1676.0
916854,stimulus_Enc_WikiMoon_13_question_13121,1249.5,928.1,1676.0
916855,stimulus_Enc_WikiMoon_13_question_13121,1249.5,928.0,1677.0
916856,stimulus_Enc_WikiMoon_13_question_13121,1249.6,928.2,1677.0
916857,stimulus_Enc_WikiMoon_13_question_13121,1249.6,928.4,1677.0
916858,stimulus_Enc_WikiMoon_13_question_13121,1249.8,928.3,1677.0
916859,stimulus_Enc_WikiMoon_13_question_13121,1250.1,928.3,1676.0
916860,stimulus_Enc_WikiMoon_13_question_13121,1250.4,928.2,1674.0
916861,stimulus_Enc_WikiMoon_13_question_13121,1250.0,928.3,1673.0
916862,stimulus_Enc_WikiMoon_13_question_13121,1249.4,928.5,1674.0
916863,stimulus_Enc_WikiMoon_13_question_13121,1248.9,928.6,1675.0
916864,stimulus_Enc_WikiMoon_13_question_13121,1249.1,928.8,1677.0
916865,stimulus_Enc_WikiMoon_13_question_13121,1249.3,928.9,1678.0
916866,stimulus_Enc_WikiMoon_13_question_13121,1249.4,929.1,1678.0
916867,stimulus_Enc_WikiMoon_13_question_13121,1249.6,929.2,1677.0
916868,stimulus_Enc_WikiMoon_13_question_13121,1249.7,929.2,1675.0
916869,stimulus_Enc_WikiMoon_13_question_13121,1249.8,929.6,1673.0
916870,stimulus_Enc_WikiMoon_13_question_13121,1249.9,930.0,1673.0
916871,stimulus_Enc_WikiMoon_13_question_13121,1249.7,930.4,1672.0
916872,stimulus_Enc_WikiMoon_13_question_13121,1249.5,930.3,1673.0
916873,stimulus_Enc_WikiMoon_13_question_13121,1249.0,930.1,1674.0
916874,stimulus_Enc_WikiMoon_13_question_13121,1248.7,930.0,1675.0
916875,stimulus_Enc_WikiMoon_13_question_13121,1248.5,930.1,1677.0
