time,screen,pixel_x,pixel_y,pupil
990443,subject_difficulty_screen,178.5,295.6,1582.0
990444,subject_difficulty_screen,179.0,295.6,1583.0
990445,subject_difficulty_screen,178.9,295.3,1584.0
990446,subject_difficulty_screen,178.3,295.0,1583.0
990447,subject_difficulty_screen,178.3,294.7,1582.0
990448,subject_difficulty_screen,178.7,294.7,1581.0
990449,subject_difficulty_screen,179.2,294.9,1582.0
990450,subject_difficulty_screen,179.1,295.2,1583.0
990451,subject_difficulty_screen,179.1,295.2,1582.0
990452,subject_difficulty_screen,179.1,295.0,1582.0
990453,subject_difficulty_screen,178.9,294.8,1579.0
990454,subject_difficulty_screen,178.8,294.8,1576.0
990455,subject_difficulty_screen,178.6,294.8,1574.0
990456,subject_difficulty_screen,178.6,294.8,1574.0
990457,subject_difficulty_screen,178.6,294.8,1574.0
990458,subject_difficulty_screen,178.5,294.8,1573.0
990459,subject_difficulty_screen,178.6,294.8,1572.0
990460,subject_difficulty_screen,178.8,294.8,1572.0
990461,subject_difficulty_screen,179.0,294.7,1573.0
990462,subject_difficulty_screen,179.0,295.0,1574.0
990463,subject_difficulty_screen,179.1,295.2,1574.0
990464,subject_difficulty_screen,179.2,295.0,1575.0
990465,subject_difficulty_screen,179.3,294.5,1575.0
990466,subject_difficulty_screen,179.0,294.0,1575.0
990467,subject_difficulty_screen,178.7,293.9,1573.0
990468,subject_difficulty_screen,178.4,293.8,1572.0
990469,subject_difficulty_screen,178.4,293.7,1570.0
990470,subject_difficulty_screen,178.3,293.6,1570.0
990471,subject_difficulty_screen,178.1,293.6,1571.0
990472,subject_difficulty_screen,177.9,293.7,1573.0
990473,subject_difficulty_screen,177.6,293.7,1572.0
990474,subject_difficulty_screen,177.5,293.7,1570.0
990475,subject_difficulty_screen,177.6,293.7,1567.0
990476,subject_difficulty_screen,177.7,293.8,1566.0
990477,subject_difficulty_screen,178.1,293.9,1565.0
990478,subject_difficulty_screen,178.4,294.3,1565.0
990479,subject_difficulty_screen,178.8,294.7,1566.0
990480,subject_difficulty_screen,178.9,294.6,1566.0
990481,subject_difficulty_screen,178.9,294.1,1566.0
990482,subject_difficulty_screen,179.0,293.8,1566.0
990483,subject_difficulty_screen,178.7,293.9,1566.0
990484,subject_difficulty_screen,178.2,294.1,1565.0
990485,subject_difficulty_screen,177.6,294.5,1563.0
990486,subject_difficulty_screen,177.3,294.8,1562.0
