time,screen,pixel_x,pixel_y,pupil
4492144,stimulus_PopSci_Caveman_12_page_5,72.8,117.1,1462.0
4492145,stimulus_PopSci_Caveman_12_page_5,72.5,116.8,1463.0
4492146,stimulus_PopSci_Caveman_12_page_5,72.7,116.5,1463.0
4492147,stimulus_PopSci_Caveman_12_page_5,73.2,116.5,1461.0
4492148,stimulus_PopSci_Caveman_12_page_5,73.5,116.5,1460.0
4492149,stimulus_PopSci_Caveman_12_page_5,73.4,116.5,1459.0
4492150,stimulus_PopSci_Caveman_12_page_5,72.9,116.6,1458.0
4492151,stimulus_PopSci_Caveman_12_page_5,72.3,117.0,1457.0
4492152,stimulus_PopSci_Caveman_12_page_5,72.3,117.4,1457.0
4492153,stimulus_PopSci_Caveman_12_page_5,72.4,117.7,1458.0
4492154,stimulus_PopSci_Caveman_12_page_5,72.2,117.6,1459.0
4492155,stimulus_PopSci_Caveman_12_page_5,71.9,117.5,1459.0
4492156,stimulus_PopSci_Caveman_12_page_5,71.9,117.4,1459.0
4492157,stimulus_PopSci_Caveman_12_page_5,72.3,117.3,1458.0
4492158,stimulus_PopSci_Caveman_12_page_5,72.6,117.2,1458.0
4492159,stimulus_PopSci_Caveman_12_page_5,72.7,117.2,1458.0
4492160,stimulus_PopSci_Caveman_12_page_5,72.7,117.1,1457.0
4492161,stimulus_PopSci_Caveman_12_page_5,72.7,116.9,1456.0
4492162,stimulus_PopSci_Caveman_12_page_5,72.7,117.1,1456.0
4492163,stimulus_PopSci_Caveman_12_page_5,72.8,117.3,1457.0
4492164,stimulus_PopSci_Caveman_12_page_5,72.9,117.3,1458.0
4492165,stimulus_PopSci_Caveman_12_page_5,72.8,117.1,1457.0
4492166,stimulus_PopSci_Caveman_12_page_5,72.6,117.0,1456.0
4492167,stimulus_PopSci_Caveman_12_page_5,72.3,117.0,1455.0
4492168,stimulus_PopSci_Caveman_12_page_5,72.3,116.6,1455.0
4492169,stimulus_PopSci_Caveman_12_page_5,72.6,116.2,1455.0
4492170,stimulus_PopSci_Caveman_12_page_5,73.0,115.9,1454.0
4492171,stimulus_PopSci_Caveman_12_page_5,73.2,116.0,1452.0
4492172,stimulus_PopSci_Caveman_12_page_5,73.2,116.2,1451.0
4492173,stimulus_PopSci_Caveman_12_page_5,73.1,116.3,1452.0
4492174,stimulus_PopSci_Caveman_12_page_5,73.1,116.4,1452.0
4492175,stimulus_PopSci_Caveman_12_page_5,73.1,116.4,1453.0
4492176,stimulus_PopSci_Caveman_12_page_5,73.0,116.2,1453.0
4492177,stimulus_PopSci_Caveman_12_page_5,72.9,116.0,1452.0
4492178,stimulus_PopSci_Caveman_12_page_5,72.9,115.7,1452.0
4492179,stimulus_PopSci_Caveman_12_page_5,72.6,115.8,1453.0
4492180,stimulus_PopSci_Caveman_12_page_5,72.3,115.9,1453.0
4492181,stimulus_PopSci_Caveman_12_page_5,72.5,115.9,1453.0
4492182,stimulus_PopSci_Caveman_12_page_5,72.9,115.8,1454.0
4492183,stimulus_PopSci_Caveman_12_page_5,73.2,116.0,1454.0
4492184,stimulus_PopSci_Caveman_12_page_5,73.1,116.3,1454.0
4492185,stimulus_PopSci_Caveman_12_page_5,72.9,116.6,1453.0
4492186,stimulus_PopSci_Caveman_12_page_5,72.9,116.6,1452.0
4492187,stimulus_PopSci_Caveman_12_page_5,73.0,116.5,1452.0
4492188,stimulus_PopSci_Caveman_12_page_5,73.0,116.3,1452.0
4492189,stimulus_PopSci_Caveman_12_page_5,73.0,116.1,1452.0
4492190,stimulus_PopSci_Caveman_12_page_5,72.9,116.1,1451.0
4492191,stimulus_PopSci_Caveman_12_page_5,72.8,116.1,1451.0
4492192,stimulus_PopSci_Caveman_12_page_5,72.8,116.1,1451.0
4492193,stimulus_PopSci_Caveman_12_page_5,72.9,116.1,1452.0
4492194,stimulus_PopSci_Caveman_12_page_5,72.8,116.3,1453.0
4492195,stimulus_PopSci_Caveman_12_page_5,72.7,116.6,1454.0
4492196,stimulus_PopSci_Caveman_12_page_5,72.6,116.6,1454.0
4492197,stimulus_PopSci_Caveman_12_page_5,72.6,116.3,1454.0
4492198,stimulus_PopSci_Caveman_12_page_5,72.4,116.1,1454.0
4492199,stimulus_PopSci_Caveman_12_page_5,72.1,115.9,1454.0
4492200,stimulus_PopSci_Caveman_12_page_5,71.9,115.3,1454.0
4492201,stimulus_PopSci_Caveman_12_page_5,72.2,114.7,1453.0
4492202,stimulus_PopSci_Caveman_12_page_5,72.6,114.4,1451.0
