time,screen,pixel_x,pixel_y,pupil
5632586,familiarity_rating_screen_2,124.2,410.1,2164.0
5632587,familiarity_rating_screen_2,124.5,409.8,2166.0
5632588,familiarity_rating_screen_2,124.5,409.5,2167.0
5632589,familiarity_rating_screen_2,124.2,409.2,2167.0
5632590,familiarity_rating_screen_2,123.9,409.1,2167.0
5632591,familiarity_rating_screen_2,123.9,409.1,2165.0
5632592,familiarity_rating_screen_2,124.0,409.0,2164.0
5632593,familiarity_rating_screen_2,124.1,408.8,2163.0
5632594,familiarity_rating_screen_2,124.1,408.5,2163.0
5632595,familiarity_rating_screen_2,124.0,408.4,2163.0
5632596,familiarity_rating_screen_2,124.0,408.2,2163.0
5632597,familiarity_rating_screen_2,124.2,408.0,2164.0
5632598,familiarity_rating_screen_2,124.3,408.2,2164.0
5632599,familiarity_rating_screen_2,124.3,408.6,2164.0
5632600,familiarity_rating_screen_2,124.3,409.0,2164.0
5632601,familiarity_rating_screen_2,124.4,409.4,2164.0
5632602,familiarity_rating_screen_2,124.6,409.8,2164.0
5632603,familiarity_rating_screen_2,125.0,410.0,2163.0
5632604,familiarity_rating_screen_2,125.4,409.6,2164.0
5632605,familiarity_rating_screen_2,125.5,409.2,2164.0
5632606,familiarity_rating_screen_2,125.3,408.8,2164.0
5632607,familiarity_rating_screen_2,124.9,409.1,2164.0
5632608,familiarity_rating_screen_2,124.7,409.4,2164.0
5632609,familiarity_rating_screen_2,124.5,409.5,2164.0
5632610,familiarity_rating_screen_2,124.6,409.3,2164.0
5632611,familiarity_rating_screen_2,124.7,409.2,2165.0
5632612,familiarity_rating_screen_2,124.9,409.2,2164.0
5632613,familiarity_rating_screen_2,125.0,409.5,2161.0
5632614,familiarity_rating_screen_2,125.1,409.4,2159.0
5632615,familiarity_rating_screen_2,125.1,409.0,2158.0
5632616,familiarity_rating_screen_2,125.2,408.6,2160.0
5632617,familiarity_rating_screen_2,125.4,408.4,2162.0
5632618,familiarity_rating_screen_2,125.5,408.3,2163.0
5632619,familiarity_rating_screen_2,125.2,408.3,2161.0
5632620,familiarity_rating_screen_2,125.0,408.5,2160.0
5632621,familiarity_rating_screen_2,125.2,408.8,2160.0
5632622,familiarity_rating_screen_2,125.5,409.0,2161.0
5632623,familiarity_rating_screen_2,125.4,408.8,2158.0
5632624,familiarity_rating_screen_2,124.8,408.4,2154.0
5632625,familiarity_rating_screen_2,124.2,408.2,2152.0
5632626,familiarity_rating_screen_2,124.2,408.1,2154.0
5632627,familiarity_rating_screen_2,124.1,408.1,2156.0
5632628,familiarity_rating_screen_2,123.9,408.4,2157.0
5632629,familiarity_rating_screen_2,123.7,408.7,2157.0
