time,screen,pixel_x,pixel_y,pupil
1237842,stimulus_Ins_LearningMobility_3_page_1,49.4,116.5,1653.0
1237843,stimulus_Ins_LearningMobility_3_page_1,49.4,116.5,1653.0
1237844,stimulus_Ins_LearningMobility_3_page_1,49.3,116.6,1653.0
1237845,stimulus_Ins_LearningMobility_3_page_1,49.4,116.6,1654.0
1237846,stimulus_Ins_LearningMobility_3_page_1,49.5,116.4,1654.0
1237847,stimulus_Ins_LearningMobility_3_page_1,49.6,116.2,1653.0
1237848,stimulus_Ins_LearningMobility_3_page_1,49.7,116.1,1652.0
1237849,stimulus_Ins_LearningMobility_3_page_1,49.8,116.2,1651.0
1237850,stimulus_Ins_LearningMobility_3_page_1,49.9,116.4,1649.0
1237851,stimulus_Ins_LearningMobility_3_page_1,49.8,116.6,1648.0
1237852,stimulus_Ins_LearningMobility_3_page_1,49.7,116.5,1647.0
1237853,stimulus_Ins_LearningMobility_3_page_1,49.5,116.7,1647.0
1237854,stimulus_Ins_LearningMobility_3_page_1,49.4,116.9,1649.0
1237855,stimulus_Ins_LearningMobility_3_page_1,49.4,116.4,1650.0
1237856,stimulus_Ins_LearningMobility_3_page_1,49.5,115.8,1652.0
1237857,stimulus_Ins_LearningMobility_3_page_1,49.6,115.2,1652.0
1237858,stimulus_Ins_LearningMobility_3_page_1,49.7,115.2,1652.0
1237859,stimulus_Ins_LearningMobility_3_page_1,49.6,115.2,1653.0
1237860,stimulus_Ins_LearningMobility_3_page_1,49.6,115.2,1653.0
1237861,stimulus_Ins_LearningMobility_3_page_1,49.7,115.2,1654.0
1237862,stimulus_Ins_LearningMobility_3_page_1,49.7,115.0,1655.0
1237863,stimulus_Ins_LearningMobility_3_page_1,49.8,114.9,1655.0
1237864,stimulus_Ins_LearningMobility_3_page_1,49.9,114.9,1655.0
1237865,stimulus_Ins_LearningMobility_3_page_1,50.0,115.2,1654.0
1237866,stimulus_Ins_LearningMobility_3_page_1,49.8,115.6,1652.0
1237867,stimulus_Ins_LearningMobility_3_page_1,49.6,115.7,1651.0
1237868,stimulus_Ins_LearningMobility_3_page_1,49.6,115.5,1651.0
1237869,stimulus_Ins_LearningMobility_3_page_1,49.7,115.2,1650.0
1237870,stimulus_Ins_LearningMobility_3_page_1,49.9,115.2,1650.0
1237871,stimulus_Ins_LearningMobility_3_page_1,50.1,115.2,1650.0
1237872,stimulus_Ins_LearningMobility_3_page_1,50.3,115.1,1650.0
1237873,stimulus_Ins_LearningMobility_3_page_1,50.3,115.0,1650.0
1237874,stimulus_Ins_LearningMobility_3_page_1,50.4,114.7,1650.0
1237875,stimulus_Ins_LearningMobility_3_page_1,50.4,114.4,1649.0
1237876,stimulus_Ins_LearningMobility_3_page_1,50.3,114.5,1648.0
1237877,stimulus_Ins_LearningMobility_3_page_1,50.0,114.8,1646.0
1237878,stimulus_Ins_LearningMobility_3_page_1,49.7,115.0,1645.0
1237879,stimulus_Ins_LearningMobility_3_page_1,49.5,114.9,1644.0
