time,screen,pixel_x,pixel_y,pupil
3393634,stimulus_Arg_PISARapaNui_11_question_11222,815.0,493.9,1689.0
3393635,stimulus_Arg_PISARapaNui_11_question_11222,812.7,491.5,1688.0
3393636,stimulus_Arg_PISARapaNui_11_question_11222,812.0,489.5,1688.0
3393637,stimulus_Arg_PISARapaNui_11_question_11222,812.4,487.5,1688.0
3393638,stimulus_Arg_PISARapaNui_11_question_11222,812.9,485.7,1691.0
3393639,stimulus_Arg_PISARapaNui_11_question_11222,814.2,483.7,1694.0
3393640,stimulus_Arg_PISARapaNui_11_question_11222,815.4,482.4,1696.0
3393641,stimulus_Arg_PISARapaNui_11_question_11222,817.7,481.1,1698.0
3393642,stimulus_Arg_PISARapaNui_11_question_11222,820.3,481.1,1700.0
3393643,stimulus_Arg_PISARapaNui_11_question_11222,822.7,481.5,1699.0
3393644,stimulus_Arg_PISARapaNui_11_question_11222,825.0,482.5,1698.0
3393645,stimulus_Arg_PISARapaNui_11_question_11222,826.2,483.4,1697.0
3393646,stimulus_Arg_PISARapaNui_11_question_11222,827.8,485.6,1698.0
3393647,stimulus_Arg_PISARapaNui_11_question_11222,828.5,487.2,1698.0
3393648,stimulus_Arg_PISARapaNui_11_question_11222,828.4,488.6,1698.0
3393649,stimulus_Arg_PISARapaNui_11_question_11222,827.5,489.3,1699.0
3393650,stimulus_Arg_PISARapaNui_11_question_11222,826.7,490.4,1701.0
3393651,stimulus_Arg_PISARapaNui_11_question_11222,826.7,492.0,1703.0
3393652,stimulus_Arg_PISARapaNui_11_question_11222,826.4,493.3,1703.0
3393653,stimulus_Arg_PISARapaNui_11_question_11222,825.9,494.3,1703.0
3393654,stimulus_Arg_PISARapaNui_11_question_11222,825.3,494.3,1701.0
3393655,stimulus_Arg_PISARapaNui_11_question_11222,825.0,493.5,1699.0
3393656,stimulus_Arg_PISARapaNui_11_question_11222,824.4,492.6,1697.0
3393657,stimulus_Arg_PISARapaNui_11_question_11222,823.9,492.2,1697.0
3393658,stimulus_Arg_PISARapaNui_11_question_11222,823.6,492.1,1698.0
3393659,stimulus_Arg_PISARapaNui_11_question_11222,823.7,492.0,1700.0
3393660,stimulus_Arg_PISARapaNui_11_question_11222,823.7,491.6,1702.0
3393661,stimulus_Arg_PISARapaNui_11_question_11222,823.8,491.1,1702.0
3393662,stimulus_Arg_PISARapaNui_11_question_11222,824.3,490.8,1702.0
3393663,stimulus_Arg_PISARapaNui_11_question_11222,824.8,490.9,1701.0
3393664,stimulus_Arg_PISARapaNui_11_question_11222,825.3,491.0,1698.0
3393665,stimulus_Arg_PISARapaNui_11_question_11222,825.4,491.1,1695.0
3393666,stimulus_Arg_PISARapaNui_11_question_11222,825.6,491.3,1694.0
3393667,stimulus_Arg_PISARapaNui_11_question_11222,825.9,491.5,1696.0
3393668,stimulus_Arg_PISARapaNui_11_question_11222,826.0,491.7,1697.0
3393669,stimulus_Arg_PISARapaNui_11_question_11222,826.5,491.8,1697.0
3393670,stimulus_Arg_PISARapaNui_11_question_11222,827.2,492.4,1696.0
3393671,stimulus_Arg_PISARapaNui_11_question_11222,827.9,493.0,1695.0
3393672,stimulus_Arg_PISARapaNui_11_question_11222,827.7,494.1,1693.0
3393673,stimulus_Arg_PISARapaNui_11_question_11222,827.4,494.7,1693.0
3393674,stimulus_Arg_PISARapaNui_11_question_11222,827.0,495.3,1693.0
3393675,stimulus_Arg_PISARapaNui_11_question_11222,826.7,495.3,1691.0
3393676,stimulus_Arg_PISARapaNui_11_question_11222,826.5,495.1,1690.0
3393677,stimulus_Arg_PISARapaNui_11_question_11222,826.1,495.0,1688.0
3393678,stimulus_Arg_PISARapaNui_11_question_11222,825.9,494.9,1688.0
3393679,stimulus_Arg_PISARapaNui_11_question_11222,825.7,494.9,1689.0
3393680,stimulus_Arg_PISARapaNui_11_question_11222,826.0,495.3,1691.0
3393681,stimulus_Arg_PISARapaNui_11_question_11222,826.3,495.6,1693.0
3393682,stimulus_Arg_PISARapaNui_11_question_11222,826.4,496.0,1692.0
3393683,stimulus_Arg_PISARapaNui_11_question_11222,826.2,496.0,1691.0
3393684,stimulus_Arg_PISARapaNui_11_question_11222,826.1,495.8,1690.0
3393685,stimulus_Arg_PISARapaNui_11_question_11222,826.2,495.7,1690.0
