time,screen,pixel_x,pixel_y,pupil
2411596,stimulus_PopSci_MultiplEYE_1_page_7,83.9,105.4,1295.0
2411597,stimulus_PopSci_MultiplEYE_1_page_7,84.3,105.8,1295.0
2411598,stimulus_PopSci_MultiplEYE_1_page_7,84.2,106.2,1295.0
2411599,stimulus_PopSci_MultiplEYE_1_page_7,84.0,106.6,1295.0
2411600,stimulus_PopSci_MultiplEYE_1_page_7,84.1,106.6,1295.0
2411601,stimulus_PopSci_MultiplEYE_1_page_7,84.4,106.6,1295.0
2411602,stimulus_PopSci_MultiplEYE_1_page_7,84.8,106.6,1293.0
2411603,stimulus_PopSci_MultiplEYE_1_page_7,84.9,106.7,1292.0
2411604,stimulus_PopSci_MultiplEYE_1_page_7,85.0,106.9,1292.0
2411605,stimulus_PopSci_MultiplEYE_1_page_7,84.9,107.2,1294.0
2411606,stimulus_PopSci_MultiplEYE_1_page_7,84.9,107.4,1296.0
2411607,stimulus_PopSci_MultiplEYE_1_page_7,84.9,107.2,1296.0
2411608,stimulus_PopSci_MultiplEYE_1_page_7,84.8,107.1,1296.0
2411609,stimulus_PopSci_MultiplEYE_1_page_7,84.8,106.9,1296.0
2411610,stimulus_PopSci_MultiplEYE_1_page_7,84.8,106.4,1296.0
2411611,stimulus_PopSci_MultiplEYE_1_page_7,85.0,106.0,1296.0
2411612,stimulus_PopSci_MultiplEYE_1_page_7,85.0,105.8,1297.0
2411613,stimulus_PopSci_MultiplEYE_1_page_7,84.9,105.9,1296.0
2411614,stimulus_PopSci_MultiplEYE_1_page_7,84.7,106.0,1296.0
2411615,stimulus_PopSci_MultiplEYE_1_page_7,84.7,106.2,1295.0
2411616,stimulus_PopSci_MultiplEYE_1_page_7,85.0,106.3,1294.0
2411617,stimulus_PopSci_MultiplEYE_1_page_7,85.5,106.3,1294.0
2411618,stimulus_PopSci_MultiplEYE_1_page_7,85.8,106.3,1294.0
2411619,stimulus_PopSci_MultiplEYE_1_page_7,85.9,106.2,1294.0
2411620,stimulus_PopSci_MultiplEYE_1_page_7,86.1,106.2,1295.0
2411621,stimulus_PopSci_MultiplEYE_1_page_7,86.2,106.1,1295.0
2411622,stimulus_PopSci_MultiplEYE_1_page_7,86.1,106.1,1295.0
2411623,stimulus_PopSci_MultiplEYE_1_page_7,85.9,106.1,1294.0
2411624,stimulus_PopSci_MultiplEYE_1_page_7,85.7,106.0,1294.0
2411625,stimulus_PopSci_MultiplEYE_1_page_7,85.7,105.9,1294.0
2411626,stimulus_PopSci_MultiplEYE_1_page_7,85.8,105.7,1294.0
2411627,stimulus_PopSci_MultiplEYE_1_page_7,85.8,105.7,1293.0
2411628,stimulus_PopSci_MultiplEYE_1_page_7,85.7,105.7,1293.0
2411629,stimulus_PopSci_MultiplEYE_1_page_7,85.6,105.6,1295.0
2411630,stimulus_PopSci_MultiplEYE_1_page_7,85.4,105.5,1296.0
2411631,stimulus_PopSci_MultiplEYE_1_page_7,85.2,105.5,1297.0
2411632,stimulus_PopSci_MultiplEYE_1_page_7,85.0,105.4,1296.0
2411633,stimulus_PopSci_MultiplEYE_1_page_7,85.0,105.3,1296.0
