time,screen,pixel_x,pixel_y,pupil
1772964,stimulus_Ins_HumanRights_2_page_2,77.0,110.7,1430.0
1772965,stimulus_Ins_HumanRights_2_page_2,77.1,110.8,1431.0
1772966,stimulus_Ins_HumanRights_2_page_2,77.1,111.4,1431.0
1772967,stimulus_Ins_HumanRights_2_page_2,77.0,112.0,1430.0
1772968,stimulus_Ins_HumanRights_2_page_2,77.0,112.0,1428.0
1772969,stimulus_Ins_HumanRights_2_page_2,77.0,111.6,1429.0
1772970,stimulus_Ins_HumanRights_2_page_2,77.2,111.1,1432.0
1772971,stimulus_Ins_HumanRights_2_page_2,77.3,111.2,1432.0
1772972,stimulus_Ins_HumanRights_2_page_2,77.4,111.2,1431.0
1772973,stimulus_Ins_HumanRights_2_page_2,77.6,111.0,1429.0
1772974,stimulus_Ins_HumanRights_2_page_2,77.8,110.9,1429.0
1772975,stimulus_Ins_HumanRights_2_page_2,78.0,110.7,1428.0
1772976,stimulus_Ins_HumanRights_2_page_2,78.0,110.7,1428.0
1772977,stimulus_Ins_HumanRights_2_page_2,78.0,110.8,1428.0
1772978,stimulus_Ins_HumanRights_2_page_2,78.0,110.9,1430.0
1772979,stimulus_Ins_HumanRights_2_page_2,78.0,111.0,1431.0
1772980,stimulus_Ins_HumanRights_2_page_2,78.0,111.2,1431.0
1772981,stimulus_Ins_HumanRights_2_page_2,78.0,111.4,1431.0
1772982,stimulus_Ins_HumanRights_2_page_2,78.0,111.6,1432.0
1772983,stimulus_Ins_HumanRights_2_page_2,78.1,111.7,1431.0
1772984,stimulus_Ins_HumanRights_2_page_2,78.2,111.8,1429.0
1772985,stimulus_Ins_HumanRights_2_page_2,78.3,111.8,1428.0
1772986,stimulus_Ins_HumanRights_2_page_2,78.4,111.8,1428.0
1772987,stimulus_Ins_HumanRights_2_page_2,78.6,111.6,1428.0
1772988,stimulus_Ins_HumanRights_2_page_2,78.8,111.3,1428.0
1772989,stimulus_Ins_HumanRights_2_page_2,78.6,111.0,1429.0
1772990,stimulus_Ins_HumanRights_2_page_2,78.5,110.7,1430.0
1772991,stimulus_Ins_HumanRights_2_page_2,78.5,110.4,1431.0
1772992,stimulus_Ins_HumanRights_2_page_2,78.9,110.2,1430.0
1772993,stimulus_Ins_HumanRights_2_page_2,79.2,110.3,1430.0
1772994,stimulus_Ins_HumanRights_2_page_2,79.0,110.4,1429.0
1772995,stimulus_Ins_HumanRights_2_page_2,78.8,110.5,1429.0
1772996,stimulus_Ins_HumanRights_2_page_2,78.5,110.7,1429.0
1772997,stimulus_Ins_HumanRights_2_page_2,78.5,110.7,1430.0
1772998,stimulus_Ins_HumanRights_2_page_2,78.7,110.7,1430.0
1772999,stimulus_Ins_HumanRights_2_page_2,79.0,110.7,1431.0
1773000,stimulus_Ins_HumanRights_2_page_2,79.1,110.7,1430.0
1773001,stimulus_Ins_HumanRights_2_page_2,78.9,110.8,1430.0
1773002,stimulus_Ins_HumanRights_2_page_2,78.7,110.8,1429.0
1773003,stimulus_Ins_HumanRights_2_page_2,78.6,110.8,1429.0
1773004,stimulus_Ins_HumanRights_2_page_2,78.6,110.6,1428.0
1773005,stimulus_Ins_HumanRights_2_page_2,78.8,110.3,1428.0
1773006,stimulus_Ins_HumanRights_2_page_2,78.9,110.1,1428.0
1773007,stimulus_Ins_HumanRights_2_page_2,78.7,110.2,1428.0
1773008,stimulus_Ins_HumanRights_2_page_2,78.5,110.5,1429.0
1773009,stimulus_Ins_HumanRights_2_page_2,78.2,110.9,1429.0
1773010,stimulus_Ins_HumanRights_2_page_2,78.3,111.1,1429.0
1773011,stimulus_Ins_HumanRights_2_page_2,78.3,111.1,1430.0
1773012,stimulus_Ins_HumanRights_2_page_2,78.3,111.2,1430.0
1773013,stimulus_Ins_HumanRights_2_page_2,78.3,111.2,1430.0
1773014,stimulus_Ins_HumanRights_2_page_2,78.6,111.2,1430.0
1773015,stimulus_Ins_HumanRights_2_page_2,78.9,111.3,1429.0
1773016,stimulus_Ins_HumanRights_2_page_2,78.9,111.3,1428.0
1773017,stimulus_Ins_HumanRights_2_page_2,78.6,111.2,1427.0
1773018,stimulus_Ins_HumanRights_2_page_2,78.4,111.0,1429.0
1773019,stimulus_Ins_HumanRights_2_page_2,78.6,111.0,1430.0
1773020,stimulus_Ins_HumanRights_2_page_2,78.8,111.0,1432.0
1773021,stimulus_Ins_HumanRights_2_page_2,79.0,110.8,1432.0
1773022,stimulus_Ins_HumanRights_2_page_2,79.2,110.7,1432.0
1773023,stimulus_Ins_HumanRights_2_page_2,78.9,110.8,1432.0
1773024,stimulus_Ins_HumanRights_2_page_2,78.5,111.0,1430.0
1773025,stimulus_Ins_HumanRights_2_page_2,78.1,111.3,1429.0
1773026,stimulus_Ins_HumanRights_2_page_2,78.4,111.6,1428.0
1773027,stimulus_Ins_HumanRights_2_page_2,78.5,111.9,1429.0
1773028,stimulus_Ins_HumanRights_2_page_2,78.7,112.2,1430.0
1773029,stimulus_Ins_HumanRights_2_page_2,78.7,111.9,1431.0
1773030,stimulus_Ins_HumanRights_2_page_2,78.5,111.6,1432.0
1773031,stimulus_Ins_HumanRights_2_page_2,78.2,111.6,1432.0
1773032,stimulus_Ins_HumanRights_2_page_2,77.9,112.0,1432.0
1773033,stimulus_Ins_HumanRights_2_page_2,77.8,112.3,1432.0
1773034,stimulus_Ins_HumanRights_2_page_2,77.9,112.4,1432.0
1773035,stimulus_Ins_HumanRights_2_page_2,78.0,112.5,1431.0
1773036,stimulus_Ins_HumanRights_2_page_2,78.0,112.7,1431.0
1773037,stimulus_Ins_HumanRights_2_page_2,78.0,112.9,1430.0
1773038,stimulus_Ins_HumanRights_2_page_2,78.2,113.0,1431.0
1773039,stimulus_Ins_HumanRights_2_page_2,78.4,113.1,1432.0
1773040,stimulus_Ins_HumanRights_2_page_2,78.6,113.2,1434.0
1773041,stimulus_Ins_HumanRights_2_page_2,78.2,113.3,1435.0
1773042,stimulus_Ins_HumanRights_2_page_2,77.7,113.5,1435.0
1773043,stimulus_Ins_HumanRights_2_page_2,77.5,113.4,1434.0
1773044,stimulus_Ins_HumanRights_2_page_2,77.7,113.3,1433.0
