time,screen,pixel_x,pixel_y,pupil
1738592,stimulus_Lit_NorthWind_7_page_1,85.0,122.4,1837.0
1738593,stimulus_Lit_NorthWind_7_page_1,84.7,123.6,1837.0
1738594,stimulus_Lit_NorthWind_7_page_1,84.6,125.3,1835.0
1738595,stimulus_Lit_NorthWind_7_page_1,84.6,127.1,1833.0
1738596,stimulus_Lit_NorthWind_7_page_1,85.2,128.9,1834.0
1738597,stimulus_Lit_NorthWind_7_page_1,85.5,130.2,1837.0
1738598,stimulus_Lit_NorthWind_7_page_1,86.0,130.8,1841.0
1738599,stimulus_Lit_NorthWind_7_page_1,86.7,131.4,1842.0
1738600,stimulus_Lit_NorthWind_7_page_1,87.5,132.0,1845.0
1738601,stimulus_Lit_NorthWind_7_page_1,88.3,132.9,1846.0
1738602,stimulus_Lit_NorthWind_7_page_1,88.6,134.3,1845.0
1738603,stimulus_Lit_NorthWind_7_page_1,88.8,136.6,1844.0
1738604,stimulus_Lit_NorthWind_7_page_1,89.3,139.5,1842.0
1738605,stimulus_Lit_NorthWind_7_page_1,89.9,142.9,1841.0
1738606,stimulus_Lit_NorthWind_7_page_1,90.4,146.2,1841.0
1738607,stimulus_Lit_NorthWind_7_page_1,89.9,148.6,1842.0
1738608,stimulus_Lit_NorthWind_7_page_1,89.1,151.1,1842.0
1738609,stimulus_Lit_NorthWind_7_page_1,87.8,153.3,1843.0
1738610,stimulus_Lit_NorthWind_7_page_1,86.7,155.3,1843.0
1738611,stimulus_Lit_NorthWind_7_page_1,85.3,155.1,1846.0
1738612,stimulus_Lit_NorthWind_7_page_1,83.4,150.6,1857.0
1738613,stimulus_Lit_NorthWind_7_page_1,81.2,146.1,1868.0
1738614,stimulus_Lit_NorthWind_7_page_1,79.2,144.5,1874.0
1738615,stimulus_Lit_NorthWind_7_page_1,78.0,151.5,1858.0
1738616,stimulus_Lit_NorthWind_7_page_1,77.1,165.0,1827.0
1738617,stimulus_Lit_NorthWind_7_page_1,75.4,183.3,1774.0
