time,screen,pixel_x,pixel_y,pupil
1810786,stimulus_Lit_NorthWind_7_question_7131,451.6,267.5,2378.0
1810787,stimulus_Lit_NorthWind_7_question_7131,451.3,267.6,2377.0
1810788,stimulus_Lit_NorthWind_7_question_7131,451.2,267.6,2376.0
1810789,stimulus_Lit_NorthWind_7_question_7131,451.3,267.6,2376.0
1810790,stimulus_Lit_NorthWind_7_question_7131,451.4,267.6,2376.0
1810791,stimulus_Lit_NorthWind_7_question_7131,451.4,267.5,2376.0
1810792,stimulus_Lit_NorthWind_7_question_7131,451.3,267.5,2376.0
1810793,stimulus_Lit_NorthWind_7_question_7131,451.2,267.4,2375.0
1810794,stimulus_Lit_NorthWind_7_question_7131,451.2,267.1,2374.0
1810795,stimulus_Lit_NorthWind_7_question_7131,451.3,266.9,2373.0
1810796,stimulus_Lit_NorthWind_7_question_7131,451.4,266.8,2374.0
1810797,stimulus_Lit_NorthWind_7_question_7131,451.5,266.8,2375.0
1810798,stimulus_Lit_NorthWind_7_question_7131,451.5,266.8,2377.0
1810799,stimulus_Lit_NorthWind_7_question_7131,451.3,266.9,2378.0
1810800,stimulus_Lit_NorthWind_7_question_7131,451.2,267.1,2379.0
1810801,stimulus_Lit_NorthWind_7_question_7131,451.2,267.6,2380.0
1810802,stimulus_Lit_NorthWind_7_question_7131,451.2,267.9,2380.0
1810803,stimulus_Lit_NorthWind_7_question_7131,451.2,268.2,2380.0
1810804,stimulus_Lit_NorthWind_7_question_7131,451.1,268.2,2379.0
1810805,stimulus_Lit_NorthWind_7_question_7131,451.1,268.1,2378.0
1810806,stimulus_Lit_NorthWind_7_question_7131,451.1,268.1,2377.0
1810807,stimulus_Lit_NorthWind_7_question_7131,451.0,268.1,2377.0
1810808,stimulus_Lit_NorthWind_7_question_7131,450.8,268.1,2377.0
1810809,stimulus_Lit_NorthWind_7_question_7131,450.5,268.1,2377.0
1810810,stimulus_Lit_NorthWind_7_question_7131,450.3,268.1,2376.0
1810811,stimulus_Lit_NorthWind_7_question_7131,450.2,268.0,2376.0
1810812,stimulus_Lit_NorthWind_7_question_7131,450.2,268.0,2376.0
1810813,stimulus_Lit_NorthWind_7_question_7131,450.1,267.9,2375.0
1810814,stimulus_Lit_NorthWind_7_question_7131,449.8,267.8,2374.0
1810815,stimulus_Lit_NorthWind_7_question_7131,449.5,267.8,2372.0
1810816,stimulus_Lit_NorthWind_7_question_7131,449.3,268.0,2372.0
1810817,stimulus_Lit_NorthWind_7_question_7131,449.3,268.3,2373.0
1810818,stimulus_Lit_NorthWind_7_question_7131,449.3,268.5,2374.0
1810819,stimulus_Lit_NorthWind_7_question_7131,449.2,268.5,2376.0
1810820,stimulus_Lit_NorthWind_7_question_7131,449.1,268.7,2375.0
1810821,stimulus_Lit_NorthWind_7_question_7131,449.2,268.9,2373.0
1810822,stimulus_Lit_NorthWind_7_question_7131,449.3,269.2,2371.0
1810823,stimulus_Lit_NorthWind_7_question_7131,449.5,269.2,2369.0
1810824,stimulus_Lit_NorthWind_7_question_7131,449.6,269.2,2369.0
1810825,stimulus_Lit_NorthWind_7_question_7131,449.7,269.1,2368.0
1810826,stimulus_Lit_NorthWind_7_question_7131,449.7,269.2,2367.0
1810827,stimulus_Lit_NorthWind_7_question_7131,449.7,269.5,2367.0
1810828,stimulus_Lit_NorthWind_7_question_7131,449.6,269.9,2367.0
1810829,stimulus_Lit_NorthWind_7_question_7131,449.4,270.1,2367.0
1810830,stimulus_Lit_NorthWind_7_question_7131,449.4,269.8,2366.0
1810831,stimulus_Lit_NorthWind_7_question_7131,449.2,269.5,2366.0
1810832,stimulus_Lit_NorthWind_7_question_7131,449.0,269.3,2365.0
1810833,stimulus_Lit_NorthWind_7_question_7131,448.9,269.5,2364.0
1810834,stimulus_Lit_NorthWind_7_question_7131,449.2,269.6,2363.0
1810835,stimulus_Lit_NorthWind_7_question_7131,449.6,269.4,2363.0
1810836,stimulus_Lit_NorthWind_7_question_7131,449.8,269.2,2363.0
1810837,stimulus_Lit_NorthWind_7_question_7131,449.9,268.9,2363.0
1810838,stimulus_Lit_NorthWind_7_question_7131,449.9,268.9,2363.0
1810839,stimulus_Lit_NorthWind_7_question_7131,449.9,268.9,2363.0
1810840,stimulus_Lit_NorthWind_7_question_7131,449.9,268.9,2363.0
1810841,stimulus_Lit_NorthWind_7_question_7131,449.7,268.9,2363.0
1810842,stimulus_Lit_NorthWind_7_question_7131,449.5,269.0,2363.0
1810843,stimulus_Lit_NorthWind_7_question_7131,449.4,269.2,2363.0
