time,screen,pixel_x,pixel_y,pupil
4956823,stimulus_PopSci_Caveman_12_question_12132,1253.2,949.1,1815.0
4956824,stimulus_PopSci_Caveman_12_question_12132,1253.4,949.0,1816.0
4956825,stimulus_PopSci_Caveman_12_question_12132,1253.6,949.0,1817.0
4956826,stimulus_PopSci_Caveman_12_question_12132,1253.7,949.1,1816.0
4956827,stimulus_PopSci_Caveman_12_question_12132,1253.7,949.3,1814.0
4956828,stimulus_PopSci_Caveman_12_question_12132,1253.7,949.4,1813.0
4956829,stimulus_PopSci_Caveman_12_question_12132,1253.8,949.1,1812.0
4956830,stimulus_PopSci_Caveman_12_question_12132,1253.8,948.9,1811.0
4956831,stimulus_PopSci_Caveman_12_question_12132,1253.8,948.4,1809.0
4956832,stimulus_PopSci_Caveman_12_question_12132,1253.8,948.2,1808.0
4956833,stimulus_PopSci_Caveman_12_question_12132,1254.0,947.9,1806.0
4956834,stimulus_PopSci_Caveman_12_question_12132,1254.2,947.8,1805.0
4956835,stimulus_PopSci_Caveman_12_question_12132,1254.7,947.7,1804.0
4956836,stimulus_PopSci_Caveman_12_question_12132,1255.0,947.7,1804.0
4956837,stimulus_PopSci_Caveman_12_question_12132,1255.3,947.6,1803.0
4956838,stimulus_PopSci_Caveman_12_question_12132,1255.5,947.5,1801.0
4956839,stimulus_PopSci_Caveman_12_question_12132,1255.6,947.3,1799.0
4956840,stimulus_PopSci_Caveman_12_question_12132,1255.7,947.0,1799.0
4956841,stimulus_PopSci_Caveman_12_question_12132,1255.8,946.8,1799.0
4956842,stimulus_PopSci_Caveman_12_question_12132,1256.0,946.5,1797.0
4956843,stimulus_PopSci_Caveman_12_question_12132,1256.2,946.5,1796.0
4956844,stimulus_PopSci_Caveman_12_question_12132,1256.5,946.5,1796.0
4956845,stimulus_PopSci_Caveman_12_question_12132,1256.7,946.6,1796.0
4956846,stimulus_PopSci_Caveman_12_question_12132,1256.9,946.6,1795.0
4956847,stimulus_PopSci_Caveman_12_question_12132,1256.9,946.5,1794.0
4956848,stimulus_PopSci_Caveman_12_question_12132,1256.8,946.2,1793.0
4956849,stimulus_PopSci_Caveman_12_question_12132,1256.8,945.9,1793.0
4956850,stimulus_PopSci_Caveman_12_question_12132,1256.7,945.7,1793.0
4956851,stimulus_PopSci_Caveman_12_question_12132,1256.7,945.6,1793.0
4956852,stimulus_PopSci_Caveman_12_question_12132,1256.3,945.6,1794.0
4956853,stimulus_PopSci_Caveman_12_question_12132,1256.0,945.9,1795.0
