time,screen,pixel_x,pixel_y,pupil
6553794,stimulus_Lit_Solaris_8_question_8112,1241.5,927.0,1711.0
6553795,stimulus_Lit_Solaris_8_question_8112,1241.5,927.2,1712.0
6553796,stimulus_Lit_Solaris_8_question_8112,1241.6,927.6,1713.0
6553797,stimulus_Lit_Solaris_8_question_8112,1241.6,928.0,1713.0
6553798,stimulus_Lit_Solaris_8_question_8112,1241.7,928.2,1713.0
6553799,stimulus_Lit_Solaris_8_question_8112,1241.6,928.2,1712.0
6553800,stimulus_Lit_Solaris_8_question_8112,1241.6,928.2,1713.0
6553801,stimulus_Lit_Solaris_8_question_8112,1241.6,928.2,1715.0
6553802,stimulus_Lit_Solaris_8_question_8112,1241.6,928.2,1716.0
6553803,stimulus_Lit_Solaris_8_question_8112,1241.4,928.1,1717.0
6553804,stimulus_Lit_Solaris_8_question_8112,1241.2,927.9,1718.0
6553805,stimulus_Lit_Solaris_8_question_8112,1241.0,927.8,1721.0
6553806,stimulus_Lit_Solaris_8_question_8112,1240.7,927.4,1722.0
6553807,stimulus_Lit_Solaris_8_question_8112,1240.5,927.1,1721.0
6553808,stimulus_Lit_Solaris_8_question_8112,1240.3,927.1,1719.0
6553809,stimulus_Lit_Solaris_8_question_8112,1240.2,927.3,1717.0
6553810,stimulus_Lit_Solaris_8_question_8112,1240.0,927.5,1716.0
6553811,stimulus_Lit_Solaris_8_question_8112,1239.7,927.5,1716.0
6553812,stimulus_Lit_Solaris_8_question_8112,1239.5,927.3,1719.0
6553813,stimulus_Lit_Solaris_8_question_8112,1239.5,927.1,1721.0
6553814,stimulus_Lit_Solaris_8_question_8112,1239.6,927.0,1722.0
6553815,stimulus_Lit_Solaris_8_question_8112,1239.6,927.0,1721.0
6553816,stimulus_Lit_Solaris_8_question_8112,1239.6,927.0,1721.0
6553817,stimulus_Lit_Solaris_8_question_8112,1239.6,927.0,1721.0
6553818,stimulus_Lit_Solaris_8_question_8112,1239.6,927.0,1722.0
6553819,stimulus_Lit_Solaris_8_question_8112,1239.4,927.1,1722.0
6553820,stimulus_Lit_Solaris_8_question_8112,1239.1,927.2,1722.0
6553821,stimulus_Lit_Solaris_8_question_8112,1238.8,927.2,1722.0
6553822,stimulus_Lit_Solaris_8_question_8112,1238.9,927.3,1722.0
6553823,stimulus_Lit_Solaris_8_question_8112,1238.9,927.3,1721.0
6553824,stimulus_Lit_Solaris_8_question_8112,1239.0,927.0,1721.0
