time,screen,pixel_x,pixel_y,pupil
3013558,stimulus_Lit_Alchemist_4_page_3,54.5,118.0,1640.0
3013559,stimulus_Lit_Alchemist_4_page_3,54.4,117.7,1639.0
3013560,stimulus_Lit_Alchemist_4_page_3,54.4,117.4,1640.0
3013561,stimulus_Lit_Alchemist_4_page_3,54.4,117.2,1642.0
3013562,stimulus_Lit_Alchemist_4_page_3,54.3,117.2,1642.0
3013563,stimulus_Lit_Alchemist_4_page_3,54.1,117.2,1641.0
3013564,stimulus_Lit_Alchemist_4_page_3,53.9,117.2,1641.0
3013565,stimulus_Lit_Alchemist_4_page_3,53.9,117.2,1641.0
3013566,stimulus_Lit_Alchemist_4_page_3,53.9,117.4,1642.0
3013567,stimulus_Lit_Alchemist_4_page_3,53.8,117.5,1643.0
3013568,stimulus_Lit_Alchemist_4_page_3,53.7,117.6,1645.0
3013569,stimulus_Lit_Alchemist_4_page_3,53.6,117.7,1646.0
3013570,stimulus_Lit_Alchemist_4_page_3,53.7,117.7,1644.0
3013571,stimulus_Lit_Alchemist_4_page_3,53.7,117.7,1644.0
3013572,stimulus_Lit_Alchemist_4_page_3,53.5,117.7,1646.0
3013573,stimulus_Lit_Alchemist_4_page_3,53.3,117.6,1647.0
3013574,stimulus_Lit_Alchemist_4_page_3,53.4,117.4,1647.0
3013575,stimulus_Lit_Alchemist_4_page_3,53.7,117.2,1646.0
3013576,stimulus_Lit_Alchemist_4_page_3,54.0,117.0,1646.0
3013577,stimulus_Lit_Alchemist_4_page_3,53.9,117.0,1646.0
3013578,stimulus_Lit_Alchemist_4_page_3,53.7,117.0,1646.0
3013579,stimulus_Lit_Alchemist_4_page_3,53.5,117.0,1645.0
3013580,stimulus_Lit_Alchemist_4_page_3,53.5,117.0,1646.0
3013581,stimulus_Lit_Alchemist_4_page_3,53.5,117.0,1647.0
3013582,stimulus_Lit_Alchemist_4_page_3,53.5,117.1,1648.0
3013583,stimulus_Lit_Alchemist_4_page_3,53.4,117.2,1647.0
3013584,stimulus_Lit_Alchemist_4_page_3,53.5,117.4,1647.0
3013585,stimulus_Lit_Alchemist_4_page_3,53.6,117.5,1647.0
3013586,stimulus_Lit_Alchemist_4_page_3,53.5,117.5,1647.0
