time,screen,pixel_x,pixel_y,pupil
3919427,stimulus_Ins_HumanRights_2_question_2122,262.9,556.2,1795.0
3919428,stimulus_Ins_HumanRights_2_question_2122,263.0,556.2,1796.0
3919429,stimulus_Ins_HumanRights_2_question_2122,263.0,556.2,1796.0
3919430,stimulus_Ins_HumanRights_2_question_2122,263.0,556.2,1796.0
3919431,stimulus_Ins_HumanRights_2_question_2122,262.9,556.2,1795.0
3919432,stimulus_Ins_HumanRights_2_question_2122,263.2,556.3,1795.0
3919433,stimulus_Ins_HumanRights_2_question_2122,263.4,556.3,1796.0
3919434,stimulus_Ins_HumanRights_2_question_2122,263.8,556.3,1798.0
3919435,stimulus_Ins_HumanRights_2_question_2122,263.9,556.4,1800.0
3919436,stimulus_Ins_HumanRights_2_question_2122,264.0,556.5,1801.0
3919437,stimulus_Ins_HumanRights_2_question_2122,264.2,556.6,1803.0
3919438,stimulus_Ins_HumanRights_2_question_2122,264.3,556.6,1803.0
3919439,stimulus_Ins_HumanRights_2_question_2122,264.3,556.8,1803.0
3919440,stimulus_Ins_HumanRights_2_question_2122,264.3,556.9,1803.0
3919441,stimulus_Ins_HumanRights_2_question_2122,264.5,557.3,1803.0
3919442,stimulus_Ins_HumanRights_2_question_2122,264.6,557.6,1804.0
3919443,stimulus_Ins_HumanRights_2_question_2122,264.8,557.9,1806.0
3919444,stimulus_Ins_HumanRights_2_question_2122,264.8,558.0,1808.0
3919445,stimulus_Ins_HumanRights_2_question_2122,264.8,558.0,1808.0
3919446,stimulus_Ins_HumanRights_2_question_2122,264.8,557.9,1808.0
3919447,stimulus_Ins_HumanRights_2_question_2122,264.7,557.7,1808.0
3919448,stimulus_Ins_HumanRights_2_question_2122,264.6,557.5,1808.0
3919449,stimulus_Ins_HumanRights_2_question_2122,264.6,557.4,1808.0
3919450,stimulus_Ins_HumanRights_2_question_2122,264.6,557.3,1809.0
3919451,stimulus_Ins_HumanRights_2_question_2122,264.3,557.1,1809.0
3919452,stimulus_Ins_HumanRights_2_question_2122,264.0,557.0,1809.0
3919453,stimulus_Ins_HumanRights_2_question_2122,263.7,557.0,1809.0
3919454,stimulus_Ins_HumanRights_2_question_2122,263.7,557.0,1810.0
3919455,stimulus_Ins_HumanRights_2_question_2122,263.6,557.0,1810.0
3919456,stimulus_Ins_HumanRights_2_question_2122,263.5,557.0,1810.0
3919457,stimulus_Ins_HumanRights_2_question_2122,263.4,557.1,1810.0
3919458,stimulus_Ins_HumanRights_2_question_2122,263.3,557.4,1809.0
3919459,stimulus_Ins_HumanRights_2_question_2122,263.2,557.7,1809.0
3919460,stimulus_Ins_HumanRights_2_question_2122,263.3,557.9,1810.0
3919461,stimulus_Ins_HumanRights_2_question_2122,263.3,558.0,1812.0
3919462,stimulus_Ins_HumanRights_2_question_2122,263.3,557.9,1814.0
3919463,stimulus_Ins_HumanRights_2_question_2122,263.3,557.7,1817.0
3919464,stimulus_Ins_HumanRights_2_question_2122,263.4,557.6,1818.0
3919465,stimulus_Ins_HumanRights_2_question_2122,263.4,557.5,1818.0
3919466,stimulus_Ins_HumanRights_2_question_2122,263.2,557.4,1819.0
3919467,stimulus_Ins_HumanRights_2_question_2122,262.9,557.0,1820.0
3919468,stimulus_Ins_HumanRights_2_question_2122,262.5,556.5,1821.0
3919469,stimulus_Ins_HumanRights_2_question_2122,262.2,556.1,1820.0
3919470,stimulus_Ins_HumanRights_2_question_2122,262.2,556.1,1820.0
3919471,stimulus_Ins_HumanRights_2_question_2122,262.2,556.1,1818.0
3919472,stimulus_Ins_HumanRights_2_question_2122,262.3,556.1,1817.0
3919473,stimulus_Ins_HumanRights_2_question_2122,262.3,556.1,1817.0
3919474,stimulus_Ins_HumanRights_2_question_2122,262.3,556.2,1817.0
3919475,stimulus_Ins_HumanRights_2_question_2122,262.2,556.7,1817.0
3919476,stimulus_Ins_HumanRights_2_question_2122,262.2,557.1,1818.0
3919477,stimulus_Ins_HumanRights_2_question_2122,262.1,557.5,1818.0
3919478,stimulus_Ins_HumanRights_2_question_2122,262.0,558.0,1819.0
3919479,stimulus_Ins_HumanRights_2_question_2122,262.6,558.5,1819.0
3919480,stimulus_Ins_HumanRights_2_question_2122,263.1,559.0,1819.0
3919481,stimulus_Ins_HumanRights_2_question_2122,263.7,559.5,1820.0
3919482,stimulus_Ins_HumanRights_2_question_2122,263.8,560.0,1820.0
3919483,stimulus_Ins_HumanRights_2_question_2122,263.9,560.6,1820.0
3919484,stimulus_Ins_HumanRights_2_question_2122,264.1,560.6,1819.0
3919485,stimulus_Ins_HumanRights_2_question_2122,264.2,560.7,1820.0
3919486,stimulus_Ins_HumanRights_2_question_2122,264.2,560.7,1822.0
3919487,stimulus_Ins_HumanRights_2_question_2122,264.3,560.8,1824.0
3919488,stimulus_Ins_HumanRights_2_question_2122,264.3,560.7,1824.0
3919489,stimulus_Ins_HumanRights_2_question_2122,264.1,560.6,1823.0
3919490,stimulus_Ins_HumanRights_2_question_2122,263.9,560.7,1822.0
3919491,stimulus_Ins_HumanRights_2_question_2122,263.7,560.9,1822.0
3919492,stimulus_Ins_HumanRights_2_question_2122,263.8,561.1,1822.0
3919493,stimulus_Ins_HumanRights_2_question_2122,264.0,561.0,1823.0
3919494,stimulus_Ins_HumanRights_2_question_2122,264.3,561.1,1823.0
3919495,stimulus_Ins_HumanRights_2_question_2122,264.5,561.2,1824.0
3919496,stimulus_Ins_HumanRights_2_question_2122,264.7,561.3,1824.0
3919497,stimulus_Ins_HumanRights_2_question_2122,264.8,561.2,1825.0
3919498,stimulus_Ins_HumanRights_2_question_2122,264.7,561.1,1825.0
3919499,stimulus_Ins_HumanRights_2_question_2122,264.5,560.9,1825.0
3919500,stimulus_Ins_HumanRights_2_question_2122,264.4,560.4,1826.0
3919501,stimulus_Ins_HumanRights_2_question_2122,264.5,560.2,1827.0
3919502,stimulus_Ins_HumanRights_2_question_2122,264.6,559.9,1828.0
3919503,stimulus_Ins_HumanRights_2_question_2122,264.7,559.9,1827.0
3919504,stimulus_Ins_HumanRights_2_question_2122,264.9,559.9,1828.0
3919505,stimulus_Ins_HumanRights_2_question_2122,265.1,559.9,1828.0
3919506,stimulus_Ins_HumanRights_2_question_2122,265.2,560.0,1829.0
3919507,stimulus_Ins_HumanRights_2_question_2122,265.2,560.0,1829.0
3919508,stimulus_Ins_HumanRights_2_question_2122,265.3,560.0,1829.0
3919509,stimulus_Ins_HumanRights_2_question_2122,265.5,560.2,1829.0
3919510,stimulus_Ins_HumanRights_2_question_2122,265.7,560.4,1829.0
3919511,stimulus_Ins_HumanRights_2_question_2122,265.7,560.6,1830.0
3919512,stimulus_Ins_HumanRights_2_question_2122,265.6,560.6,1831.0
3919513,stimulus_Ins_HumanRights_2_question_2122,265.4,560.7,1831.0
3919514,stimulus_Ins_HumanRights_2_question_2122,265.4,560.4,1831.0
3919515,stimulus_Ins_HumanRights_2_question_2122,265.4,560.0,1831.0
3919516,stimulus_Ins_HumanRights_2_question_2122,265.3,559.6,1831.0
3919517,stimulus_Ins_HumanRights_2_question_2122,265.3,559.4,1831.0
3919518,stimulus_Ins_HumanRights_2_question_2122,265.2,559.2,1832.0
3919519,stimulus_Ins_HumanRights_2_question_2122,265.2,559.1,1831.0
3919520,stimulus_Ins_HumanRights_2_question_2122,265.3,558.9,1830.0
3919521,stimulus_Ins_HumanRights_2_question_2122,265.3,558.7,1829.0
3919522,stimulus_Ins_HumanRights_2_question_2122,265.3,558.5,1828.0
3919523,stimulus_Ins_HumanRights_2_question_2122,265.3,558.4,1828.0
3919524,stimulus_Ins_HumanRights_2_question_2122,265.4,558.1,1828.0
3919525,stimulus_Ins_HumanRights_2_question_2122,265.5,557.8,1829.0
3919526,stimulus_Ins_HumanRights_2_question_2122,265.6,557.8,1830.0
3919527,stimulus_Ins_HumanRights_2_question_2122,265.6,558.1,1830.0
3919528,stimulus_Ins_HumanRights_2_question_2122,265.6,558.5,1831.0
3919529,stimulus_Ins_HumanRights_2_question_2122,265.6,558.5,1831.0
3919530,stimulus_Ins_HumanRights_2_question_2122,265.4,558.5,1832.0
3919531,stimulus_Ins_HumanRights_2_question_2122,265.2,558.6,1832.0
3919532,stimulus_Ins_HumanRights_2_question_2122,265.1,558.7,1832.0
3919533,stimulus_Ins_HumanRights_2_question_2122,265.2,558.8,1833.0
3919534,stimulus_Ins_HumanRights_2_question_2122,265.4,558.7,1833.0
3919535,stimulus_Ins_HumanRights_2_question_2122,265.4,558.6,1834.0
3919536,stimulus_Ins_HumanRights_2_question_2122,265.4,558.5,1835.0
3919537,stimulus_Ins_HumanRights_2_question_2122,265.5,558.4,1836.0
3919538,stimulus_Ins_HumanRights_2_question_2122,265.5,558.3,1836.0
3919539,stimulus_Ins_HumanRights_2_question_2122,265.5,558.2,1835.0
3919540,stimulus_Ins_HumanRights_2_question_2122,265.5,558.4,1835.0
3919541,stimulus_Ins_HumanRights_2_question_2122,265.5,558.6,1834.0
3919542,stimulus_Ins_HumanRights_2_question_2122,265.2,558.8,1835.0
3919543,stimulus_Ins_HumanRights_2_question_2122,265.0,558.7,1835.0
3919544,stimulus_Ins_HumanRights_2_question_2122,264.8,558.7,1836.0
3919545,stimulus_Ins_HumanRights_2_question_2122,265.0,558.9,1838.0
3919546,stimulus_Ins_HumanRights_2_question_2122,265.3,559.1,1840.0
3919547,stimulus_Ins_HumanRights_2_question_2122,265.4,559.3,1840.0
3919548,stimulus_Ins_HumanRights_2_question_2122,265.2,559.4,1838.0
3919549,stimulus_Ins_HumanRights_2_question_2122,265.1,559.5,1837.0
3919550,stimulus_Ins_HumanRights_2_question_2122,265.1,559.6,1838.0
3919551,stimulus_Ins_HumanRights_2_question_2122,265.0,559.4,1839.0
3919552,stimulus_Ins_HumanRights_2_question_2122,265.0,559.3,1840.0
3919553,stimulus_Ins_HumanRights_2_question_2122,265.0,559.1,1841.0
3919554,stimulus_Ins_HumanRights_2_question_2122,264.9,559.1,1841.0
3919555,stimulus_Ins_HumanRights_2_question_2122,264.7,559.0,1841.0
3919556,stimulus_Ins_HumanRights_2_question_2122,264.4,558.9,1841.0
3919557,stimulus_Ins_HumanRights_2_question_2122,264.3,559.1,1841.0
3919558,stimulus_Ins_HumanRights_2_question_2122,264.3,559.5,1841.0
3919559,stimulus_Ins_HumanRights_2_question_2122,264.0,559.8,1841.0
3919560,stimulus_Ins_HumanRights_2_question_2122,263.6,559.8,1841.0
3919561,stimulus_Ins_HumanRights_2_question_2122,263.2,559.8,1841.0
3919562,stimulus_Ins_HumanRights_2_question_2122,263.0,559.8,1841.0
3919563,stimulus_Ins_HumanRights_2_question_2122,262.9,559.7,1842.0
3919564,stimulus_Ins_HumanRights_2_question_2122,262.8,559.6,1842.0
3919565,stimulus_Ins_HumanRights_2_question_2122,262.7,559.6,1843.0
3919566,stimulus_Ins_HumanRights_2_question_2122,262.6,559.6,1843.0
3919567,stimulus_Ins_HumanRights_2_question_2122,262.7,559.6,1843.0
3919568,stimulus_Ins_HumanRights_2_question_2122,262.8,559.6,1843.0
3919569,stimulus_Ins_HumanRights_2_question_2122,262.9,559.6,1843.0
3919570,stimulus_Ins_HumanRights_2_question_2122,262.8,559.8,1843.0
3919571,stimulus_Ins_HumanRights_2_question_2122,262.8,560.1,1843.0
3919572,stimulus_Ins_HumanRights_2_question_2122,262.5,560.3,1843.0
3919573,stimulus_Ins_HumanRights_2_question_2122,262.2,560.2,1842.0
3919574,stimulus_Ins_HumanRights_2_question_2122,261.9,560.2,1842.0
3919575,stimulus_Ins_HumanRights_2_question_2122,261.9,560.3,1843.0
3919576,stimulus_Ins_HumanRights_2_question_2122,261.7,560.3,1843.0
3919577,stimulus_Ins_HumanRights_2_question_2122,261.5,560.2,1843.0
3919578,stimulus_Ins_HumanRights_2_question_2122,261.2,560.1,1842.0
3919579,stimulus_Ins_HumanRights_2_question_2122,261.1,560.1,1842.0
3919580,stimulus_Ins_HumanRights_2_question_2122,261.0,560.1,1841.0
3919581,stimulus_Ins_HumanRights_2_question_2122,261.2,560.1,1841.0
3919582,stimulus_Ins_HumanRights_2_question_2122,261.4,560.1,1840.0
3919583,stimulus_Ins_HumanRights_2_question_2122,261.6,559.9,1841.0
3919584,stimulus_Ins_HumanRights_2_question_2122,261.7,559.4,1841.0
3919585,stimulus_Ins_HumanRights_2_question_2122,261.7,558.7,1841.0
3919586,stimulus_Ins_HumanRights_2_question_2122,261.5,558.2,1841.0
3919587,stimulus_Ins_HumanRights_2_question_2122,261.3,557.9,1841.0
3919588,stimulus_Ins_HumanRights_2_question_2122,261.1,557.7,1842.0
3919589,stimulus_Ins_HumanRights_2_question_2122,261.1,557.5,1843.0
3919590,stimulus_Ins_HumanRights_2_question_2122,261.0,557.0,1843.0
3919591,stimulus_Ins_HumanRights_2_question_2122,260.8,556.8,1841.0
3919592,stimulus_Ins_HumanRights_2_question_2122,260.6,556.9,1840.0
3919593,stimulus_Ins_HumanRights_2_question_2122,260.7,557.3,1841.0
3919594,stimulus_Ins_HumanRights_2_question_2122,260.8,557.8,1841.0
3919595,stimulus_Ins_HumanRights_2_question_2122,260.6,558.0,1840.0
3919596,stimulus_Ins_HumanRights_2_question_2122,260.2,558.6,1840.0
3919597,stimulus_Ins_HumanRights_2_question_2122,260.0,559.1,1839.0
3919598,stimulus_Ins_HumanRights_2_question_2122,260.3,559.1,1839.0
3919599,stimulus_Ins_HumanRights_2_question_2122,261.9,558.3,1841.0
3919600,stimulus_Ins_HumanRights_2_question_2122,263.5,555.4,1844.0
3919601,stimulus_Ins_HumanRights_2_question_2122,265.2,550.4,1847.0
3919602,stimulus_Ins_HumanRights_2_question_2122,266.3,540.8,1848.0
3919603,stimulus_Ins_HumanRights_2_question_2122,267.5,529.6,1848.0
3919604,stimulus_Ins_HumanRights_2_question_2122,269.8,515.6,1848.0
3919605,stimulus_Ins_HumanRights_2_question_2122,272.3,501.9,1848.0
3919606,stimulus_Ins_HumanRights_2_question_2122,276.1,488.0,1848.0
3919607,stimulus_Ins_HumanRights_2_question_2122,279.3,474.9,1848.0
3919608,stimulus_Ins_HumanRights_2_question_2122,282.3,462.1,1846.0
3919609,stimulus_Ins_HumanRights_2_question_2122,283.0,448.8,1841.0
3919610,stimulus_Ins_HumanRights_2_question_2122,283.3,435.8,1837.0
3919611,stimulus_Ins_HumanRights_2_question_2122,283.5,423.0,1834.0
3919612,stimulus_Ins_HumanRights_2_question_2122,284.3,412.1,1834.0
3919613,stimulus_Ins_HumanRights_2_question_2122,284.6,399.1,1828.0
3919614,stimulus_Ins_HumanRights_2_question_2122,283.7,383.9,1815.0
3919615,stimulus_Ins_HumanRights_2_question_2122,282.4,367.1,1802.0
3919616,stimulus_Ins_HumanRights_2_question_2122,280.8,351.8,1790.0
3919617,stimulus_Ins_HumanRights_2_question_2122,279.2,338.6,1781.0
3919618,stimulus_Ins_HumanRights_2_question_2122,277.8,325.2,1768.0
3919619,stimulus_Ins_HumanRights_2_question_2122,278.2,309.7,1758.0
3919620,stimulus_Ins_HumanRights_2_question_2122,279.9,293.1,1749.0
3919621,stimulus_Ins_HumanRights_2_question_2122,282.1,277.7,1743.0
3919622,stimulus_Ins_HumanRights_2_question_2122,283.8,266.2,1737.0
3919623,stimulus_Ins_HumanRights_2_question_2122,283.8,257.8,1733.0
3919624,stimulus_Ins_HumanRights_2_question_2122,282.4,250.9,1730.0
3919625,stimulus_Ins_HumanRights_2_question_2122,280.1,245.1,1728.0
3919626,stimulus_Ins_HumanRights_2_question_2122,277.8,239.5,1724.0
3919627,stimulus_Ins_HumanRights_2_question_2122,274.9,233.9,1719.0
3919628,stimulus_Ins_HumanRights_2_question_2122,271.3,227.2,1714.0
3919629,stimulus_Ins_HumanRights_2_question_2122,267.9,219.9,1713.0
3919630,stimulus_Ins_HumanRights_2_question_2122,264.0,213.3,1711.0
3919631,stimulus_Ins_HumanRights_2_question_2122,260.2,207.8,1706.0
3919632,stimulus_Ins_HumanRights_2_question_2122,256.1,202.9,1702.0
3919633,stimulus_Ins_HumanRights_2_question_2122,252.8,197.9,1700.0
3919634,stimulus_Ins_HumanRights_2_question_2122,250.9,193.8,1700.0
3919635,stimulus_Ins_HumanRights_2_question_2122,250.1,190.6,1700.0
3919636,stimulus_Ins_HumanRights_2_question_2122,250.0,188.1,1699.0
3919637,stimulus_Ins_HumanRights_2_question_2122,249.4,185.3,1698.0
3919638,stimulus_Ins_HumanRights_2_question_2122,248.4,183.4,1697.0
3919639,stimulus_Ins_HumanRights_2_question_2122,247.8,181.7,1697.0
3919640,stimulus_Ins_HumanRights_2_question_2122,247.3,180.4,1698.0
3919641,stimulus_Ins_HumanRights_2_question_2122,247.2,179.1,1699.0
3919642,stimulus_Ins_HumanRights_2_question_2122,247.4,178.0,1700.0
3919643,stimulus_Ins_HumanRights_2_question_2122,248.2,176.8,1702.0
3919644,stimulus_Ins_HumanRights_2_question_2122,249.3,175.8,1704.0
3919645,stimulus_Ins_HumanRights_2_question_2122,250.6,174.9,1707.0
3919646,stimulus_Ins_HumanRights_2_question_2122,252.0,174.0,1711.0
3919647,stimulus_Ins_HumanRights_2_question_2122,253.0,173.1,1714.0
3919648,stimulus_Ins_HumanRights_2_question_2122,254.1,172.6,1715.0
3919649,stimulus_Ins_HumanRights_2_question_2122,255.0,172.6,1717.0
3919650,stimulus_Ins_HumanRights_2_question_2122,255.8,172.7,1719.0
3919651,stimulus_Ins_HumanRights_2_question_2122,256.0,172.5,1722.0
3919652,stimulus_Ins_HumanRights_2_question_2122,256.1,172.3,1723.0
