time,screen,pixel_x,pixel_y,pupil
209244,stimulus_Enc_WikiMoon_13_page_2,57.2,110.6,1245.0
209246,stimulus_Enc_WikiMoon_13_page_2,56.6,110.5,1247.0
209248,stimulus_Enc_WikiMoon_13_page_2,55.2,109.5,1247.0
209250,stimulus_Enc_WikiMoon_13_page_2,54.1,108.9,1246.0
209252,stimulus_Enc_WikiMoon_13_page_2,53.8,109.1,1245.0
209254,stimulus_Enc_WikiMoon_13_page_2,54.0,109.2,1244.0
209256,stimulus_Enc_WikiMoon_13_page_2,53.9,109.3,1245.0
209258,stimulus_Enc_WikiMoon_13_page_2,53.9,109.1,1245.0
209260,stimulus_Enc_WikiMoon_13_page_2,54.3,109.1,1243.0
209262,stimulus_Enc_WikiMoon_13_page_2,54.7,109.9,1243.0
209264,stimulus_Enc_WikiMoon_13_page_2,55.3,110.1,1243.0
209266,stimulus_Enc_WikiMoon_13_page_2,55.3,110.0,1244.0
209268,stimulus_Enc_WikiMoon_13_page_2,55.2,111.3,1244.0
209270,stimulus_Enc_WikiMoon_13_page_2,56.0,113.3,1245.0
209272,stimulus_Enc_WikiMoon_13_page_2,56.5,116.0,1246.0
209274,stimulus_Enc_WikiMoon_13_page_2,56.5,121.2,1248.0
209276,stimulus_Enc_WikiMoon_13_page_2,57.4,132.3,1251.0
209278,stimulus_Enc_WikiMoon_13_page_2,59.0,148.8,1252.0
209280,stimulus_Enc_WikiMoon_13_page_2,59.6,169.2,1253.0
209282,stimulus_Enc_WikiMoon_13_page_2,56.7,185.2,1258.0
209284,stimulus_Enc_WikiMoon_13_page_2,52.3,193.7,1264.0
209286,stimulus_Enc_WikiMoon_13_page_2,47.1,203.7,1267.0
209288,stimulus_Enc_WikiMoon_13_page_2,41.9,214.2,1276.0
209290,stimulus_Enc_WikiMoon_13_page_2,36.3,223.8,1280.0
209292,stimulus_Enc_WikiMoon_13_page_2,31.4,233.1,1283.0
209294,stimulus_Enc_WikiMoon_13_page_2,27.0,240.4,1287.0
209296,stimulus_Enc_WikiMoon_13_page_2,23.3,246.6,1292.0
209298,stimulus_Enc_WikiMoon_13_page_2,21.7,252.2,1296.0
209300,stimulus_Enc_WikiMoon_13_page_2,19.4,261.2,1302.0
209302,stimulus_Enc_WikiMoon_13_page_2,16.1,272.0,1306.0
209304,stimulus_Enc_WikiMoon_13_page_2,14.1,285.0,1309.0
209306,stimulus_Enc_WikiMoon_13_page_2,13.3,296.6,1317.0
209308,stimulus_Enc_WikiMoon_13_page_2,13.5,307.9,1322.0
209310,stimulus_Enc_WikiMoon_13_page_2,16.4,317.4,1330.0
209312,stimulus_Enc_WikiMoon_13_page_2,20.8,326.9,1334.0
209314,stimulus_Enc_WikiMoon_13_page_2,25.5,337.9,1341.0
209316,stimulus_Enc_WikiMoon_13_page_2,29.8,350.3,1348.0
209318,stimulus_Enc_WikiMoon_13_page_2,32.5,364.5,1357.0
209320,stimulus_Enc_WikiMoon_13_page_2,34.2,380.2,1363.0
209322,stimulus_Enc_WikiMoon_13_page_2,36.1,395.4,1368.0
209324,stimulus_Enc_WikiMoon_13_page_2,40.3,408.5,1372.0
209326,stimulus_Enc_WikiMoon_13_page_2,45.8,418.9,1377.0
209328,stimulus_Enc_WikiMoon_13_page_2,51.8,427.8,1384.0
209330,stimulus_Enc_WikiMoon_13_page_2,55.7,436.1,1387.0
209332,stimulus_Enc_WikiMoon_13_page_2,60.0,443.1,1388.0
209334,stimulus_Enc_WikiMoon_13_page_2,67.3,449.3,1389.0
209336,stimulus_Enc_WikiMoon_13_page_2,73.8,458.5,1394.0
209338,stimulus_Enc_WikiMoon_13_page_2,78.3,467.9,1397.0
