time,screen,pixel_x,pixel_y,pupil
275200,familiarity_rating_screen_2,143.5,327.9,1225.0
275202,familiarity_rating_screen_2,143.4,327.8,1226.0
275204,familiarity_rating_screen_2,143.4,327.8,1227.0
275206,familiarity_rating_screen_2,143.3,327.9,1227.0
275208,familiarity_rating_screen_2,143.3,328.2,1228.0
275210,familiarity_rating_screen_2,143.3,328.7,1226.0
275212,familiarity_rating_screen_2,143.2,329.2,1227.0
275214,familiarity_rating_screen_2,142.7,329.9,1227.0
275216,familiarity_rating_screen_2,142.6,330.3,1228.0
275218,familiarity_rating_screen_2,142.9,330.8,1227.0
275220,familiarity_rating_screen_2,143.4,330.8,1227.0
275222,familiarity_rating_screen_2,143.3,331.1,1228.0
275224,familiarity_rating_screen_2,143.3,331.2,1229.0
275226,familiarity_rating_screen_2,143.3,331.0,1229.0
275228,familiarity_rating_screen_2,143.4,330.5,1230.0
275230,familiarity_rating_screen_2,143.6,330.1,1229.0
275232,familiarity_rating_screen_2,143.7,330.5,1229.0
275234,familiarity_rating_screen_2,144.3,330.8,1229.0
275236,familiarity_rating_screen_2,144.4,330.8,1229.0
275238,familiarity_rating_screen_2,144.2,330.8,1228.0
275240,familiarity_rating_screen_2,144.0,330.7,1227.0
275242,familiarity_rating_screen_2,144.3,330.6,1229.0
275244,familiarity_rating_screen_2,143.9,330.3,1232.0
275246,familiarity_rating_screen_2,144.3,330.2,1229.0
275248,familiarity_rating_screen_2,144.1,330.1,1229.0
275250,familiarity_rating_screen_2,143.7,329.6,1229.0
275252,familiarity_rating_screen_2,143.9,329.4,1230.0
275254,familiarity_rating_screen_2,144.3,329.4,1230.0
275256,familiarity_rating_screen_2,143.9,328.9,1230.0
275258,familiarity_rating_screen_2,143.5,328.4,1229.0
275260,familiarity_rating_screen_2,143.6,328.4,1229.0
275262,familiarity_rating_screen_2,143.4,328.2,1231.0
275264,familiarity_rating_screen_2,142.4,328.1,1232.0
275266,familiarity_rating_screen_2,141.9,328.4,1232.0
275268,familiarity_rating_screen_2,141.9,328.8,1230.0
275270,familiarity_rating_screen_2,142.4,328.8,1230.0
275272,familiarity_rating_screen_2,142.7,328.5,1232.0
275274,familiarity_rating_screen_2,142.8,328.5,1231.0
275276,familiarity_rating_screen_2,142.5,328.6,1230.0
275278,familiarity_rating_screen_2,142.0,328.6,1228.0
275280,familiarity_rating_screen_2,141.6,328.6,1228.0
275282,familiarity_rating_screen_2,141.6,328.5,1227.0
275284,familiarity_rating_screen_2,141.8,328.6,1226.0
275286,familiarity_rating_screen_2,142.0,329.0,1223.0
275288,familiarity_rating_screen_2,142.3,329.1,1221.0
275290,familiarity_rating_screen_2,142.7,328.5,1220.0
275292,familiarity_rating_screen_2,143.0,328.5,1219.0
275294,familiarity_rating_screen_2,143.1,329.0,1220.0
275296,familiarity_rating_screen_2,142.8,329.5,1222.0
275298,familiarity_rating_screen_2,142.8,329.6,1223.0
275300,familiarity_rating_screen_2,142.7,329.9,1224.0
275302,familiarity_rating_screen_2,142.2,330.3,1225.0
275304,familiarity_rating_screen_2,142.0,330.3,1224.0
275306,familiarity_rating_screen_2,142.1,329.8,1224.0
275308,familiarity_rating_screen_2,142.4,329.3,1224.0
275310,familiarity_rating_screen_2,142.8,328.4,1224.0
275312,familiarity_rating_screen_2,143.0,328.3,1224.0
275314,familiarity_rating_screen_2,143.1,328.3,1221.0
275316,familiarity_rating_screen_2,143.2,328.4,1219.0
275318,familiarity_rating_screen_2,143.1,328.5,1220.0
275320,familiarity_rating_screen_2,142.8,328.6,1220.0
275322,familiarity_rating_screen_2,142.9,328.3,1221.0
275324,familiarity_rating_screen_2,143.4,327.7,1220.0
275326,familiarity_rating_screen_2,143.0,327.8,1218.0
275328,familiarity_rating_screen_2,142.4,328.3,1219.0
275330,familiarity_rating_screen_2,142.5,328.1,1221.0
275332,familiarity_rating_screen_2,142.8,328.0,1221.0
275334,familiarity_rating_screen_2,143.2,328.2,1220.0
275336,familiarity_rating_screen_2,143.1,328.5,1220.0
275338,familiarity_rating_screen_2,142.5,328.8,1221.0
275340,familiarity_rating_screen_2,142.2,329.0,1222.0
275342,familiarity_rating_screen_2,142.1,328.9,1221.0
275344,familiarity_rating_screen_2,142.6,328.5,1221.0
275346,familiarity_rating_screen_2,143.0,328.3,1222.0
275348,familiarity_rating_screen_2,143.6,328.2,1221.0
275350,familiarity_rating_screen_2,143.2,328.1,1220.0
275352,familiarity_rating_screen_2,142.5,328.5,1223.0
275354,familiarity_rating_screen_2,143.0,328.8,1224.0
275356,familiarity_rating_screen_2,143.3,329.0,1223.0
275358,familiarity_rating_screen_2,143.3,329.4,1220.0
275360,familiarity_rating_screen_2,142.9,329.9,1218.0
275362,familiarity_rating_screen_2,142.7,330.0,1219.0
275364,familiarity_rating_screen_2,142.8,330.1,1220.0
275366,familiarity_rating_screen_2,143.5,330.1,1219.0
275368,familiarity_rating_screen_2,143.5,330.1,1217.0
275370,familiarity_rating_screen_2,143.4,330.1,1217.0
275372,familiarity_rating_screen_2,143.4,329.9,1217.0
275374,familiarity_rating_screen_2,143.3,329.8,1218.0
275376,familiarity_rating_screen_2,143.1,329.8,1219.0
275378,familiarity_rating_screen_2,143.2,330.2,1218.0
275380,familiarity_rating_screen_2,142.9,330.3,1216.0
275382,familiarity_rating_screen_2,142.5,330.5,1217.0
275384,familiarity_rating_screen_2,142.5,330.4,1217.0
275386,familiarity_rating_screen_2,142.6,330.2,1217.0
275388,familiarity_rating_screen_2,142.7,330.5,1217.0
275390,familiarity_rating_screen_2,144.1,331.2,1217.0
275392,familiarity_rating_screen_2,147.5,331.8,1219.0
275394,familiarity_rating_screen_2,152.9,333.2,1222.0
275396,familiarity_rating_screen_2,158.1,334.7,1226.0
275398,familiarity_rating_screen_2,163.7,336.4,1226.0
275400,familiarity_rating_screen_2,170.9,337.4,1224.0
275402,familiarity_rating_screen_2,177.9,337.3,1227.0
275404,familiarity_rating_screen_2,181.8,337.5,1230.0
275406,familiarity_rating_screen_2,183.1,337.7,1229.0
275408,familiarity_rating_screen_2,182.4,337.6,1228.0
275410,familiarity_rating_screen_2,180.7,337.4,1227.0
275412,familiarity_rating_screen_2,179.3,337.2,1227.0
275414,familiarity_rating_screen_2,179.0,337.1,1229.0
275416,familiarity_rating_screen_2,178.6,337.1,1230.0
275418,familiarity_rating_screen_2,178.0,337.5,1228.0
275420,familiarity_rating_screen_2,177.5,337.7,1226.0
275422,familiarity_rating_screen_2,177.5,337.7,1225.0
275424,familiarity_rating_screen_2,177.9,337.3,1225.0
275426,familiarity_rating_screen_2,177.8,337.1,1225.0
275428,familiarity_rating_screen_2,177.0,337.3,1224.0
275430,familiarity_rating_screen_2,177.0,337.5,1224.0
275432,familiarity_rating_screen_2,177.3,337.7,1224.0
275434,familiarity_rating_screen_2,177.5,337.7,1225.0
275436,familiarity_rating_screen_2,177.8,337.7,1225.0
275438,familiarity_rating_screen_2,178.1,337.8,1224.0
275440,familiarity_rating_screen_2,178.0,338.1,1225.0
275442,familiarity_rating_screen_2,178.0,338.2,1227.0
275444,familiarity_rating_screen_2,178.1,338.1,1226.0
275446,familiarity_rating_screen_2,178.1,338.2,1223.0
275448,familiarity_rating_screen_2,178.3,338.4,1226.0
275450,familiarity_rating_screen_2,178.7,338.3,1228.0
275452,familiarity_rating_screen_2,178.5,338.4,1230.0
275454,familiarity_rating_screen_2,178.4,338.6,1231.0
275456,familiarity_rating_screen_2,178.7,338.6,1231.0
275458,familiarity_rating_screen_2,179.2,338.6,1231.0
275460,familiarity_rating_screen_2,179.6,338.2,1230.0
275462,familiarity_rating_screen_2,179.8,337.3,1230.0
275464,familiarity_rating_screen_2,179.8,337.3,1231.0
275466,familiarity_rating_screen_2,179.8,337.4,1231.0
275468,familiarity_rating_screen_2,179.7,337.7,1230.0
275470,familiarity_rating_screen_2,179.7,337.9,1229.0
275472,familiarity_rating_screen_2,179.6,337.8,1230.0
275474,familiarity_rating_screen_2,179.6,337.7,1232.0
275476,familiarity_rating_screen_2,179.9,337.7,1234.0
275478,familiarity_rating_screen_2,179.8,337.8,1233.0
275480,familiarity_rating_screen_2,179.7,338.6,1232.0
275482,familiarity_rating_screen_2,179.7,339.5,1232.0
275484,familiarity_rating_screen_2,180.2,339.4,1232.0
275486,familiarity_rating_screen_2,180.5,339.4,1232.0
275488,familiarity_rating_screen_2,180.6,339.1,1231.0
275490,familiarity_rating_screen_2,180.6,339.2,1230.0
275492,familiarity_rating_screen_2,180.6,339.4,1231.0
275494,familiarity_rating_screen_2,180.8,339.0,1231.0
275496,familiarity_rating_screen_2,181.4,338.7,1231.0
275498,familiarity_rating_screen_2,181.6,338.9,1232.0
275500,familiarity_rating_screen_2,181.6,339.0,1235.0
275502,familiarity_rating_screen_2,181.9,339.5,1237.0
275504,familiarity_rating_screen_2,182.2,339.8,1237.0
275506,familiarity_rating_screen_2,182.0,339.7,1237.0
275508,familiarity_rating_screen_2,182.0,339.7,1238.0
275510,familiarity_rating_screen_2,182.2,339.9,1238.0
275512,familiarity_rating_screen_2,183.0,340.5,1239.0
275514,familiarity_rating_screen_2,183.7,342.1,1239.0
275516,familiarity_rating_screen_2,183.8,343.4,1241.0
275518,familiarity_rating_screen_2,182.7,346.3,1242.0
275520,familiarity_rating_screen_2,179.7,352.9,1245.0
275522,familiarity_rating_screen_2,176.9,361.1,1249.0
275524,familiarity_rating_screen_2,174.8,371.6,1252.0
275526,familiarity_rating_screen_2,173.1,382.4,1260.0
275528,familiarity_rating_screen_2,171.4,396.0,1266.0
275530,familiarity_rating_screen_2,169.1,411.2,1274.0
275532,familiarity_rating_screen_2,166.9,425.2,1285.0
275534,familiarity_rating_screen_2,164.4,442.3,1296.0
275536,familiarity_rating_screen_2,163.3,462.9,1300.0
275538,familiarity_rating_screen_2,164.2,483.8,1309.0
275540,familiarity_rating_screen_2,164.4,507.8,1319.0
275542,familiarity_rating_screen_2,166.8,534.1,1329.0
275544,familiarity_rating_screen_2,169.3,560.1,1338.0
275546,familiarity_rating_screen_2,173.7,587.3,1342.0
275548,familiarity_rating_screen_2,177.8,611.2,1344.0
275550,familiarity_rating_screen_2,180.7,632.6,1347.0
275552,familiarity_rating_screen_2,182.4,649.2,1350.0
275554,familiarity_rating_screen_2,183.0,660.5,1353.0
275556,familiarity_rating_screen_2,182.4,666.2,1357.0
275558,familiarity_rating_screen_2,180.2,667.8,1358.0
275560,familiarity_rating_screen_2,177.6,667.3,1356.0
275562,familiarity_rating_screen_2,174.9,665.7,1355.0
275564,familiarity_rating_screen_2,172.9,663.8,1352.0
275566,familiarity_rating_screen_2,171.6,661.7,1349.0
275568,familiarity_rating_screen_2,171.2,659.6,1347.0
275570,familiarity_rating_screen_2,171.7,658.8,1345.0
275572,familiarity_rating_screen_2,172.5,657.6,1343.0
275574,familiarity_rating_screen_2,173.2,656.0,1338.0
275576,familiarity_rating_screen_2,174.6,655.1,1340.0
275578,familiarity_rating_screen_2,176.1,654.4,1340.0
275580,familiarity_rating_screen_2,176.5,654.6,1339.0
275582,familiarity_rating_screen_2,176.4,655.1,1338.0
275584,familiarity_rating_screen_2,174.9,655.0,1340.0
275586,familiarity_rating_screen_2,172.5,655.2,1340.0
275588,familiarity_rating_screen_2,170.4,655.2,1339.0
275590,familiarity_rating_screen_2,168.9,654.9,1340.0
275592,familiarity_rating_screen_2,168.1,654.7,1338.0
275594,familiarity_rating_screen_2,167.8,654.6,1334.0
275596,familiarity_rating_screen_2,167.9,654.6,1333.0
275598,familiarity_rating_screen_2,169.1,654.6,1333.0
275600,familiarity_rating_screen_2,169.8,654.5,1333.0
275602,familiarity_rating_screen_2,170.0,654.5,1333.0
275604,familiarity_rating_screen_2,170.4,654.4,1333.0
275606,familiarity_rating_screen_2,171.3,653.8,1332.0
275608,familiarity_rating_screen_2,172.0,653.7,1331.0
275610,familiarity_rating_screen_2,171.9,653.8,1331.0
275612,familiarity_rating_screen_2,171.6,653.9,1333.0
275614,familiarity_rating_screen_2,172.0,653.6,1333.0
275616,familiarity_rating_screen_2,172.0,653.2,1332.0
275618,familiarity_rating_screen_2,171.8,653.0,1331.0
275620,familiarity_rating_screen_2,171.6,653.0,1330.0
275622,familiarity_rating_screen_2,171.4,653.0,1330.0
275624,familiarity_rating_screen_2,171.0,653.1,1330.0
275626,familiarity_rating_screen_2,170.7,653.3,1330.0
275628,familiarity_rating_screen_2,170.5,652.6,1330.0
275630,familiarity_rating_screen_2,170.4,652.4,1330.0
275632,familiarity_rating_screen_2,170.5,652.8,1331.0
275634,familiarity_rating_screen_2,171.1,653.1,1330.0
275636,familiarity_rating_screen_2,171.4,653.0,1330.0
275638,familiarity_rating_screen_2,171.3,652.8,1330.0
275640,familiarity_rating_screen_2,170.9,652.8,1330.0
275642,familiarity_rating_screen_2,170.9,652.7,1330.0
275644,familiarity_rating_screen_2,170.8,652.2,1330.0
275646,familiarity_rating_screen_2,170.7,652.6,1328.0
275648,familiarity_rating_screen_2,170.7,652.7,1328.0
275650,familiarity_rating_screen_2,170.8,652.7,1328.0
275652,familiarity_rating_screen_2,170.7,652.7,1328.0
275654,familiarity_rating_screen_2,170.7,652.7,1329.0
275656,familiarity_rating_screen_2,170.7,652.6,1329.0
275658,familiarity_rating_screen_2,170.8,652.4,1327.0
275660,familiarity_rating_screen_2,170.9,652.4,1327.0
