time,screen,pixel_x,pixel_y,pupil
278916,stimulus_Lit_NorthWind_7_question_7111,195.7,404.3,1313.0
278918,stimulus_Lit_NorthWind_7_question_7111,195.8,404.6,1312.0
278920,stimulus_Lit_NorthWind_7_question_7111,196.2,404.5,1311.0
278922,stimulus_Lit_NorthWind_7_question_7111,196.0,404.2,1314.0
278924,stimulus_Lit_NorthWind_7_question_7111,195.9,404.4,1315.0
278926,stimulus_Lit_NorthWind_7_question_7111,196.0,404.6,1314.0
278928,stimulus_Lit_NorthWind_7_question_7111,196.6,404.8,1314.0
278930,stimulus_Lit_NorthWind_7_question_7111,197.3,404.4,1314.0
278932,stimulus_Lit_NorthWind_7_question_7111,197.4,404.1,1311.0
278934,stimulus_Lit_NorthWind_7_question_7111,197.5,404.1,1311.0
278936,stimulus_Lit_NorthWind_7_question_7111,197.8,404.1,1314.0
278938,stimulus_Lit_NorthWind_7_question_7111,197.9,403.8,1316.0
278940,stimulus_Lit_NorthWind_7_question_7111,197.6,403.6,1316.0
278942,stimulus_Lit_NorthWind_7_question_7111,197.2,403.6,1316.0
278944,stimulus_Lit_NorthWind_7_question_7111,196.8,403.2,1317.0
278946,stimulus_Lit_NorthWind_7_question_7111,196.6,403.2,1317.0
278948,stimulus_Lit_NorthWind_7_question_7111,195.9,404.0,1316.0
278950,stimulus_Lit_NorthWind_7_question_7111,195.8,404.5,1315.0
278952,stimulus_Lit_NorthWind_7_question_7111,195.9,404.7,1312.0
278954,stimulus_Lit_NorthWind_7_question_7111,195.9,405.1,1312.0
278956,stimulus_Lit_NorthWind_7_question_7111,195.7,405.4,1312.0
278958,stimulus_Lit_NorthWind_7_question_7111,195.5,405.3,1312.0
278960,stimulus_Lit_NorthWind_7_question_7111,195.6,405.1,1311.0
278962,stimulus_Lit_NorthWind_7_question_7111,195.9,405.1,1312.0
278964,stimulus_Lit_NorthWind_7_question_7111,195.9,404.9,1314.0
278966,stimulus_Lit_NorthWind_7_question_7111,196.0,404.5,1312.0
278968,stimulus_Lit_NorthWind_7_question_7111,195.9,404.1,1313.0
278970,stimulus_Lit_NorthWind_7_question_7111,195.5,404.0,1313.0
278972,stimulus_Lit_NorthWind_7_question_7111,195.1,404.2,1311.0
278974,stimulus_Lit_NorthWind_7_question_7111,195.0,403.7,1310.0
278976,stimulus_Lit_NorthWind_7_question_7111,195.4,403.2,1310.0
278978,stimulus_Lit_NorthWind_7_question_7111,195.8,403.2,1309.0
278980,stimulus_Lit_NorthWind_7_question_7111,196.0,403.3,1307.0
278982,stimulus_Lit_NorthWind_7_question_7111,195.9,404.0,1307.0
278984,stimulus_Lit_NorthWind_7_question_7111,196.0,404.4,1308.0
278986,stimulus_Lit_NorthWind_7_question_7111,196.1,404.3,1308.0
278988,stimulus_Lit_NorthWind_7_question_7111,196.5,404.2,1308.0
278990,stimulus_Lit_NorthWind_7_question_7111,196.5,403.7,1308.0
278992,stimulus_Lit_NorthWind_7_question_7111,196.2,402.9,1309.0
278994,stimulus_Lit_NorthWind_7_question_7111,196.6,402.8,1307.0
278996,stimulus_Lit_NorthWind_7_question_7111,196.9,403.0,1305.0
278998,stimulus_Lit_NorthWind_7_question_7111,197.2,403.2,1303.0
279000,stimulus_Lit_NorthWind_7_question_7111,197.6,403.4,1302.0
279002,stimulus_Lit_NorthWind_7_question_7111,196.9,403.4,1303.0
279004,stimulus_Lit_NorthWind_7_question_7111,196.2,403.3,1302.0
279006,stimulus_Lit_NorthWind_7_question_7111,196.1,403.5,1303.0
279008,stimulus_Lit_NorthWind_7_question_7111,196.1,403.7,1305.0
279010,stimulus_Lit_NorthWind_7_question_7111,196.1,404.1,1306.0
279012,stimulus_Lit_NorthWind_7_question_7111,196.0,404.6,1306.0
279014,stimulus_Lit_NorthWind_7_question_7111,196.0,404.8,1307.0
279016,stimulus_Lit_NorthWind_7_question_7111,196.1,404.7,1309.0
279018,stimulus_Lit_NorthWind_7_question_7111,196.4,404.5,1309.0
279020,stimulus_Lit_NorthWind_7_question_7111,196.6,404.6,1308.0
279022,stimulus_Lit_NorthWind_7_question_7111,196.5,404.9,1309.0
279024,stimulus_Lit_NorthWind_7_question_7111,196.2,405.1,1309.0
