time,screen,pixel_x,pixel_y,pupil
1935440,stimulus_Ins_LearningMobility_3_page_2,68.8,174.1,1261.0
1935442,stimulus_Ins_LearningMobility_3_page_2,68.4,174.3,1260.0
1935444,stimulus_Ins_LearningMobility_3_page_2,68.6,174.5,1257.0
1935446,stimulus_Ins_LearningMobility_3_page_2,69.1,174.6,1256.0
1935448,stimulus_Ins_LearningMobility_3_page_2,69.8,174.6,1258.0
1935450,stimulus_Ins_LearningMobility_3_page_2,69.9,174.6,1259.0
1935452,stimulus_Ins_LearningMobility_3_page_2,69.9,174.7,1259.0
1935454,stimulus_Ins_LearningMobility_3_page_2,70.0,174.9,1259.0
1935456,stimulus_Ins_LearningMobility_3_page_2,70.0,174.6,1260.0
1935458,stimulus_Ins_LearningMobility_3_page_2,70.3,174.3,1260.0
1935460,stimulus_Ins_LearningMobility_3_page_2,70.3,174.4,1260.0
1935462,stimulus_Ins_LearningMobility_3_page_2,70.0,174.6,1259.0
1935464,stimulus_Ins_LearningMobility_3_page_2,70.2,174.6,1258.0
1935466,stimulus_Ins_LearningMobility_3_page_2,70.4,174.7,1258.0
1935468,stimulus_Ins_LearningMobility_3_page_2,70.8,174.7,1259.0
1935470,stimulus_Ins_LearningMobility_3_page_2,70.8,174.5,1260.0
1935472,stimulus_Ins_LearningMobility_3_page_2,70.3,174.7,1260.0
1935474,stimulus_Ins_LearningMobility_3_page_2,70.1,174.7,1260.0
1935476,stimulus_Ins_LearningMobility_3_page_2,69.8,174.9,1260.0
1935478,stimulus_Ins_LearningMobility_3_page_2,69.9,174.7,1262.0
1935480,stimulus_Ins_LearningMobility_3_page_2,70.4,174.6,1262.0
1935482,stimulus_Ins_LearningMobility_3_page_2,70.6,174.5,1261.0
1935484,stimulus_Ins_LearningMobility_3_page_2,70.7,173.9,1259.0
1935486,stimulus_Ins_LearningMobility_3_page_2,70.6,173.6,1260.0
1935488,stimulus_Ins_LearningMobility_3_page_2,70.0,173.9,1261.0
1935490,stimulus_Ins_LearningMobility_3_page_2,70.0,174.2,1260.0
1935492,stimulus_Ins_LearningMobility_3_page_2,70.1,174.4,1259.0
1935494,stimulus_Ins_LearningMobility_3_page_2,70.1,174.3,1257.0
1935496,stimulus_Ins_LearningMobility_3_page_2,69.8,174.1,1258.0
1935498,stimulus_Ins_LearningMobility_3_page_2,69.5,174.3,1258.0
1935500,stimulus_Ins_LearningMobility_3_page_2,69.4,174.5,1260.0
1935502,stimulus_Ins_LearningMobility_3_page_2,69.5,174.5,1257.0
1935504,stimulus_Ins_LearningMobility_3_page_2,69.5,174.3,1256.0
1935506,stimulus_Ins_LearningMobility_3_page_2,70.0,174.1,1256.0
1935508,stimulus_Ins_LearningMobility_3_page_2,70.0,174.5,1257.0
1935510,stimulus_Ins_LearningMobility_3_page_2,70.1,174.9,1258.0
1935512,stimulus_Ins_LearningMobility_3_page_2,70.3,175.1,1255.0
1935514,stimulus_Ins_LearningMobility_3_page_2,70.5,175.3,1256.0
1935516,stimulus_Ins_LearningMobility_3_page_2,70.5,175.7,1258.0
1935518,stimulus_Ins_LearningMobility_3_page_2,70.2,175.8,1258.0
1935520,stimulus_Ins_LearningMobility_3_page_2,69.8,175.8,1257.0
1935522,stimulus_Ins_LearningMobility_3_page_2,70.3,175.6,1257.0
1935524,stimulus_Ins_LearningMobility_3_page_2,70.8,175.2,1257.0
1935526,stimulus_Ins_LearningMobility_3_page_2,70.6,175.1,1255.0
1935528,stimulus_Ins_LearningMobility_3_page_2,69.7,175.4,1254.0
1935530,stimulus_Ins_LearningMobility_3_page_2,69.2,175.5,1255.0
1935532,stimulus_Ins_LearningMobility_3_page_2,69.4,175.6,1255.0
1935534,stimulus_Ins_LearningMobility_3_page_2,69.5,175.7,1254.0
1935536,stimulus_Ins_LearningMobility_3_page_2,70.2,175.6,1255.0
1935538,stimulus_Ins_LearningMobility_3_page_2,70.5,175.3,1255.0
1935540,stimulus_Ins_LearningMobility_3_page_2,70.3,175.5,1254.0
1935542,stimulus_Ins_LearningMobility_3_page_2,70.9,175.5,1252.0
1935544,stimulus_Ins_LearningMobility_3_page_2,71.2,175.2,1252.0
1935546,stimulus_Ins_LearningMobility_3_page_2,71.3,175.2,1254.0
1935548,stimulus_Ins_LearningMobility_3_page_2,71.5,175.3,1255.0
1935550,stimulus_Ins_LearningMobility_3_page_2,71.8,175.5,1254.0
1935552,stimulus_Ins_LearningMobility_3_page_2,72.2,175.3,1253.0
1935554,stimulus_Ins_LearningMobility_3_page_2,72.2,175.5,1254.0
1935556,stimulus_Ins_LearningMobility_3_page_2,71.6,175.4,1255.0
1935558,stimulus_Ins_LearningMobility_3_page_2,71.2,175.3,1256.0
1935560,stimulus_Ins_LearningMobility_3_page_2,70.8,174.3,1254.0
1935562,stimulus_Ins_LearningMobility_3_page_2,69.9,169.7,1254.0
1935564,stimulus_Ins_LearningMobility_3_page_2,68.9,168.8,1255.0
1935566,stimulus_Ins_LearningMobility_3_page_2,68.3,168.9,1255.0
1935568,stimulus_Ins_LearningMobility_3_page_2,68.6,169.3,1254.0
1935570,stimulus_Ins_LearningMobility_3_page_2,68.9,169.6,1253.0
1935572,stimulus_Ins_LearningMobility_3_page_2,69.0,169.6,1252.0
1935574,stimulus_Ins_LearningMobility_3_page_2,68.7,169.6,1250.0
1935576,stimulus_Ins_LearningMobility_3_page_2,68.6,169.6,1250.0
1935578,stimulus_Ins_LearningMobility_3_page_2,68.5,169.9,1254.0
1935580,stimulus_Ins_LearningMobility_3_page_2,68.6,170.3,1253.0
1935582,stimulus_Ins_LearningMobility_3_page_2,68.8,170.5,1252.0
1935584,stimulus_Ins_LearningMobility_3_page_2,68.7,170.6,1252.0
1935586,stimulus_Ins_LearningMobility_3_page_2,68.4,171.0,1252.0
1935588,stimulus_Ins_LearningMobility_3_page_2,68.9,171.0,1252.0
1935590,stimulus_Ins_LearningMobility_3_page_2,69.6,170.9,1253.0
1935592,stimulus_Ins_LearningMobility_3_page_2,69.7,170.8,1253.0
1935594,stimulus_Ins_LearningMobility_3_page_2,69.8,170.3,1252.0
1935596,stimulus_Ins_LearningMobility_3_page_2,69.1,169.1,1253.0
1935598,stimulus_Ins_LearningMobility_3_page_2,65.9,166.8,1251.0
1935600,stimulus_Ins_LearningMobility_3_page_2,61.0,162.4,1251.0
1935602,stimulus_Ins_LearningMobility_3_page_2,55.2,157.6,1252.0
1935604,stimulus_Ins_LearningMobility_3_page_2,51.6,153.6,1252.0
1935606,stimulus_Ins_LearningMobility_3_page_2,49.2,148.4,1251.0
1935608,stimulus_Ins_LearningMobility_3_page_2,46.9,143.4,1248.0
1935610,stimulus_Ins_LearningMobility_3_page_2,44.5,138.2,1247.0
1935612,stimulus_Ins_LearningMobility_3_page_2,42.6,134.9,1247.0
1935614,stimulus_Ins_LearningMobility_3_page_2,41.8,132.4,1247.0
1935616,stimulus_Ins_LearningMobility_3_page_2,41.3,131.7,1246.0
1935618,stimulus_Ins_LearningMobility_3_page_2,41.6,131.8,1247.0
1935620,stimulus_Ins_LearningMobility_3_page_2,41.6,132.6,1247.0
1935622,stimulus_Ins_LearningMobility_3_page_2,41.4,134.2,1248.0
1935624,stimulus_Ins_LearningMobility_3_page_2,41.4,135.9,1247.0
1935626,stimulus_Ins_LearningMobility_3_page_2,41.8,137.3,1248.0
1935628,stimulus_Ins_LearningMobility_3_page_2,42.8,138.2,1250.0
1935630,stimulus_Ins_LearningMobility_3_page_2,43.1,138.8,1248.0
1935632,stimulus_Ins_LearningMobility_3_page_2,43.4,139.1,1249.0
1935634,stimulus_Ins_LearningMobility_3_page_2,43.6,139.5,1250.0
1935636,stimulus_Ins_LearningMobility_3_page_2,43.8,139.4,1250.0
1935638,stimulus_Ins_LearningMobility_3_page_2,43.2,139.4,1249.0
1935640,stimulus_Ins_LearningMobility_3_page_2,43.1,139.2,1250.0
1935642,stimulus_Ins_LearningMobility_3_page_2,43.0,138.6,1250.0
1935644,stimulus_Ins_LearningMobility_3_page_2,43.0,137.8,1246.0
1935646,stimulus_Ins_LearningMobility_3_page_2,42.8,137.2,1246.0
1935648,stimulus_Ins_LearningMobility_3_page_2,43.0,136.2,1248.0
1935650,stimulus_Ins_LearningMobility_3_page_2,43.1,136.0,1248.0
1935652,stimulus_Ins_LearningMobility_3_page_2,42.7,135.7,1248.0
1935654,stimulus_Ins_LearningMobility_3_page_2,42.2,135.7,1249.0
1935656,stimulus_Ins_LearningMobility_3_page_2,42.8,136.5,1249.0
1935658,stimulus_Ins_LearningMobility_3_page_2,42.9,136.9,1250.0
1935660,stimulus_Ins_LearningMobility_3_page_2,43.2,137.0,1250.0
1935662,stimulus_Ins_LearningMobility_3_page_2,43.3,137.4,1250.0
1935664,stimulus_Ins_LearningMobility_3_page_2,43.3,138.1,1252.0
1935666,stimulus_Ins_LearningMobility_3_page_2,43.6,139.1,1254.0
1935668,stimulus_Ins_LearningMobility_3_page_2,44.0,140.8,1253.0
1935670,stimulus_Ins_LearningMobility_3_page_2,44.6,142.5,1253.0
1935672,stimulus_Ins_LearningMobility_3_page_2,45.1,143.6,1252.0
1935674,stimulus_Ins_LearningMobility_3_page_2,46.0,144.9,1251.0
1935676,stimulus_Ins_LearningMobility_3_page_2,46.9,146.4,1250.0
1935678,stimulus_Ins_LearningMobility_3_page_2,47.9,147.5,1250.0
1935680,stimulus_Ins_LearningMobility_3_page_2,49.3,148.4,1250.0
1935682,stimulus_Ins_LearningMobility_3_page_2,49.9,149.6,1249.0
1935684,stimulus_Ins_LearningMobility_3_page_2,50.5,150.7,1249.0
1935686,stimulus_Ins_LearningMobility_3_page_2,51.7,151.9,1249.0
1935688,stimulus_Ins_LearningMobility_3_page_2,52.7,153.6,1249.0
1935690,stimulus_Ins_LearningMobility_3_page_2,53.5,155.5,1250.0
1935692,stimulus_Ins_LearningMobility_3_page_2,56.3,163.8,1253.0
