time,screen,pixel_x,pixel_y,pupil
2217338,stimulus_Ins_LearningMobility_3_question_3132,761.2,517.5,1294.0
2217340,stimulus_Ins_LearningMobility_3_question_3132,761.1,517.8,1291.0
2217342,stimulus_Ins_LearningMobility_3_question_3132,760.8,518.0,1291.0
2217344,stimulus_Ins_LearningMobility_3_question_3132,760.2,518.3,1292.0
2217346,stimulus_Ins_LearningMobility_3_question_3132,759.8,517.8,1292.0
2217348,stimulus_Ins_LearningMobility_3_question_3132,759.7,517.3,1295.0
2217350,stimulus_Ins_LearningMobility_3_question_3132,759.1,516.9,1299.0
2217352,stimulus_Ins_LearningMobility_3_question_3132,758.6,516.4,1299.0
2217354,stimulus_Ins_LearningMobility_3_question_3132,758.4,515.6,1297.0
2217356,stimulus_Ins_LearningMobility_3_question_3132,758.2,515.5,1295.0
2217358,stimulus_Ins_LearningMobility_3_question_3132,757.5,515.5,1295.0
2217360,stimulus_Ins_LearningMobility_3_question_3132,757.3,515.8,1296.0
2217362,stimulus_Ins_LearningMobility_3_question_3132,757.2,515.8,1295.0
2217364,stimulus_Ins_LearningMobility_3_question_3132,757.1,515.9,1294.0
2217366,stimulus_Ins_LearningMobility_3_question_3132,757.1,516.2,1295.0
2217368,stimulus_Ins_LearningMobility_3_question_3132,757.1,516.0,1296.0
2217370,stimulus_Ins_LearningMobility_3_question_3132,757.6,515.7,1296.0
2217372,stimulus_Ins_LearningMobility_3_question_3132,757.7,515.6,1294.0
2217374,stimulus_Ins_LearningMobility_3_question_3132,758.2,515.7,1293.0
2217376,stimulus_Ins_LearningMobility_3_question_3132,758.4,516.4,1294.0
2217378,stimulus_Ins_LearningMobility_3_question_3132,758.5,516.6,1296.0
2217380,stimulus_Ins_LearningMobility_3_question_3132,758.8,516.5,1296.0
2217382,stimulus_Ins_LearningMobility_3_question_3132,758.4,516.4,1295.0
2217384,stimulus_Ins_LearningMobility_3_question_3132,758.6,516.3,1294.0
2217386,stimulus_Ins_LearningMobility_3_question_3132,759.4,516.5,1295.0
2217388,stimulus_Ins_LearningMobility_3_question_3132,759.2,515.8,1293.0
2217390,stimulus_Ins_LearningMobility_3_question_3132,759.1,515.3,1292.0
2217392,stimulus_Ins_LearningMobility_3_question_3132,759.3,515.1,1293.0
2217394,stimulus_Ins_LearningMobility_3_question_3132,759.6,515.1,1293.0
2217396,stimulus_Ins_LearningMobility_3_question_3132,759.8,515.4,1294.0
2217398,stimulus_Ins_LearningMobility_3_question_3132,760.5,515.7,1293.0
2217400,stimulus_Ins_LearningMobility_3_question_3132,760.8,515.5,1293.0
2217402,stimulus_Ins_LearningMobility_3_question_3132,760.7,515.8,1293.0
2217404,stimulus_Ins_LearningMobility_3_question_3132,760.3,515.8,1292.0
2217406,stimulus_Ins_LearningMobility_3_question_3132,759.8,515.7,1292.0
2217408,stimulus_Ins_LearningMobility_3_question_3132,759.3,515.6,1293.0
2217410,stimulus_Ins_LearningMobility_3_question_3132,759.1,515.3,1293.0
2217412,stimulus_Ins_LearningMobility_3_question_3132,759.1,515.2,1293.0
2217414,stimulus_Ins_LearningMobility_3_question_3132,758.9,515.3,1293.0
2217416,stimulus_Ins_LearningMobility_3_question_3132,758.9,515.7,1293.0
2217418,stimulus_Ins_LearningMobility_3_question_3132,758.5,516.0,1295.0
2217420,stimulus_Ins_LearningMobility_3_question_3132,758.8,515.7,1296.0
2217422,stimulus_Ins_LearningMobility_3_question_3132,759.1,515.7,1294.0
2217424,stimulus_Ins_LearningMobility_3_question_3132,758.7,515.5,1294.0
2217426,stimulus_Ins_LearningMobility_3_question_3132,758.6,515.3,1294.0
2217428,stimulus_Ins_LearningMobility_3_question_3132,758.5,514.9,1294.0
2217430,stimulus_Ins_LearningMobility_3_question_3132,758.3,514.3,1293.0
2217432,stimulus_Ins_LearningMobility_3_question_3132,758.3,514.2,1293.0
2217434,stimulus_Ins_LearningMobility_3_question_3132,758.4,514.3,1294.0
2217436,stimulus_Ins_LearningMobility_3_question_3132,758.3,514.3,1294.0
2217438,stimulus_Ins_LearningMobility_3_question_3132,758.5,514.1,1293.0
2217440,stimulus_Ins_LearningMobility_3_question_3132,758.6,513.9,1293.0
2217442,stimulus_Ins_LearningMobility_3_question_3132,758.5,514.2,1291.0
2217444,stimulus_Ins_LearningMobility_3_question_3132,758.4,514.1,1291.0
2217446,stimulus_Ins_LearningMobility_3_question_3132,758.3,513.5,1292.0
2217448,stimulus_Ins_LearningMobility_3_question_3132,758.2,513.1,1292.0
2217450,stimulus_Ins_LearningMobility_3_question_3132,758.2,512.7,1293.0
2217452,stimulus_Ins_LearningMobility_3_question_3132,758.0,513.2,1293.0
2217454,stimulus_Ins_LearningMobility_3_question_3132,758.1,513.9,1293.0
2217456,stimulus_Ins_LearningMobility_3_question_3132,758.1,514.1,1296.0
2217458,stimulus_Ins_LearningMobility_3_question_3132,757.9,513.7,1297.0
2217460,stimulus_Ins_LearningMobility_3_question_3132,757.6,513.2,1294.0
2217462,stimulus_Ins_LearningMobility_3_question_3132,757.7,513.2,1292.0
2217464,stimulus_Ins_LearningMobility_3_question_3132,758.3,512.8,1292.0
2217466,stimulus_Ins_LearningMobility_3_question_3132,758.3,512.5,1293.0
2217468,stimulus_Ins_LearningMobility_3_question_3132,758.4,512.5,1291.0
2217470,stimulus_Ins_LearningMobility_3_question_3132,758.5,512.4,1292.0
2217472,stimulus_Ins_LearningMobility_3_question_3132,758.4,513.5,1294.0
