time,screen,pixel_x,pixel_y,pupil
3623418,stimulus_PopSci_Caveman_12_page_4,93.6,108.2,1260.0
3623420,stimulus_PopSci_Caveman_12_page_4,93.5,108.3,1260.0
3623422,stimulus_PopSci_Caveman_12_page_4,93.1,108.8,1257.0
3623424,stimulus_PopSci_Caveman_12_page_4,93.4,109.0,1258.0
3623426,stimulus_PopSci_Caveman_12_page_4,93.5,108.8,1259.0
3623428,stimulus_PopSci_Caveman_12_page_4,93.2,108.4,1258.0
3623430,stimulus_PopSci_Caveman_12_page_4,93.4,107.7,1258.0
3623432,stimulus_PopSci_Caveman_12_page_4,93.4,107.2,1257.0
3623434,stimulus_PopSci_Caveman_12_page_4,93.3,107.0,1259.0
3623436,stimulus_PopSci_Caveman_12_page_4,93.2,106.4,1262.0
3623438,stimulus_PopSci_Caveman_12_page_4,93.1,106.9,1265.0
3623440,stimulus_PopSci_Caveman_12_page_4,93.1,106.9,1266.0
3623442,stimulus_PopSci_Caveman_12_page_4,93.6,107.0,1265.0
3623444,stimulus_PopSci_Caveman_12_page_4,93.9,107.2,1259.0
3623446,stimulus_PopSci_Caveman_12_page_4,93.5,107.1,1262.0
3623448,stimulus_PopSci_Caveman_12_page_4,93.3,107.1,1264.0
3623450,stimulus_PopSci_Caveman_12_page_4,93.1,107.1,1262.0
3623452,stimulus_PopSci_Caveman_12_page_4,93.2,107.0,1262.0
3623454,stimulus_PopSci_Caveman_12_page_4,93.5,107.0,1264.0
3623456,stimulus_PopSci_Caveman_12_page_4,93.6,107.2,1264.0
3623458,stimulus_PopSci_Caveman_12_page_4,93.7,107.3,1262.0
3623460,stimulus_PopSci_Caveman_12_page_4,93.6,107.2,1262.0
3623462,stimulus_PopSci_Caveman_12_page_4,93.5,107.2,1264.0
3623464,stimulus_PopSci_Caveman_12_page_4,93.4,106.9,1266.0
3623466,stimulus_PopSci_Caveman_12_page_4,93.5,106.7,1267.0
3623468,stimulus_PopSci_Caveman_12_page_4,93.9,106.7,1264.0
3623470,stimulus_PopSci_Caveman_12_page_4,94.3,107.1,1264.0
3623472,stimulus_PopSci_Caveman_12_page_4,94.6,107.3,1265.0
3623474,stimulus_PopSci_Caveman_12_page_4,94.4,107.2,1264.0
3623476,stimulus_PopSci_Caveman_12_page_4,94.1,107.1,1262.0
3623478,stimulus_PopSci_Caveman_12_page_4,93.5,106.9,1265.0
3623480,stimulus_PopSci_Caveman_12_page_4,93.5,107.1,1266.0
3623482,stimulus_PopSci_Caveman_12_page_4,93.7,107.2,1266.0
3623484,stimulus_PopSci_Caveman_12_page_4,93.6,107.3,1267.0
3623486,stimulus_PopSci_Caveman_12_page_4,93.8,107.4,1267.0
3623488,stimulus_PopSci_Caveman_12_page_4,94.1,107.0,1267.0
3623490,stimulus_PopSci_Caveman_12_page_4,94.2,106.9,1267.0
3623492,stimulus_PopSci_Caveman_12_page_4,93.9,107.0,1266.0
3623494,stimulus_PopSci_Caveman_12_page_4,93.8,106.8,1265.0
3623496,stimulus_PopSci_Caveman_12_page_4,93.9,106.6,1265.0
3623498,stimulus_PopSci_Caveman_12_page_4,94.7,106.9,1266.0
3623500,stimulus_PopSci_Caveman_12_page_4,95.1,106.9,1267.0
3623502,stimulus_PopSci_Caveman_12_page_4,95.0,106.6,1267.0
3623504,stimulus_PopSci_Caveman_12_page_4,94.7,106.5,1267.0
3623506,stimulus_PopSci_Caveman_12_page_4,94.7,106.8,1267.0
3623508,stimulus_PopSci_Caveman_12_page_4,95.1,107.0,1267.0
3623510,stimulus_PopSci_Caveman_12_page_4,95.2,107.6,1266.0
3623512,stimulus_PopSci_Caveman_12_page_4,95.0,107.8,1266.0
3623514,stimulus_PopSci_Caveman_12_page_4,95.0,107.7,1263.0
3623516,stimulus_PopSci_Caveman_12_page_4,95.1,108.0,1263.0
3623518,stimulus_PopSci_Caveman_12_page_4,95.3,108.3,1264.0
3623520,stimulus_PopSci_Caveman_12_page_4,95.6,107.9,1264.0
3623522,stimulus_PopSci_Caveman_12_page_4,95.0,107.0,1263.0
3623524,stimulus_PopSci_Caveman_12_page_4,93.3,104.6,1263.0
3623526,stimulus_PopSci_Caveman_12_page_4,91.1,100.7,1262.0
3623528,stimulus_PopSci_Caveman_12_page_4,86.8,96.7,1260.0
3623530,stimulus_PopSci_Caveman_12_page_4,79.9,92.4,1258.0
3623532,stimulus_PopSci_Caveman_12_page_4,72.2,88.3,1257.0
3623534,stimulus_PopSci_Caveman_12_page_4,66.1,85.3,1256.0
3623536,stimulus_PopSci_Caveman_12_page_4,62.7,83.9,1255.0
3623538,stimulus_PopSci_Caveman_12_page_4,58.9,83.6,1254.0
3623540,stimulus_PopSci_Caveman_12_page_4,55.2,83.5,1255.0
3623542,stimulus_PopSci_Caveman_12_page_4,53.0,83.9,1256.0
3623544,stimulus_PopSci_Caveman_12_page_4,52.3,85.0,1254.0
3623546,stimulus_PopSci_Caveman_12_page_4,52.6,87.0,1253.0
3623548,stimulus_PopSci_Caveman_12_page_4,52.7,88.1,1256.0
3623550,stimulus_PopSci_Caveman_12_page_4,52.3,88.3,1258.0
3623552,stimulus_PopSci_Caveman_12_page_4,53.5,89.4,1258.0
3623554,stimulus_PopSci_Caveman_12_page_4,54.9,90.3,1257.0
3623556,stimulus_PopSci_Caveman_12_page_4,55.5,91.1,1258.0
3623558,stimulus_PopSci_Caveman_12_page_4,55.0,91.8,1260.0
3623560,stimulus_PopSci_Caveman_12_page_4,53.5,89.9,1261.0
3623562,stimulus_PopSci_Caveman_12_page_4,49.8,80.1,1261.0
3623564,stimulus_PopSci_Caveman_12_page_4,48.7,78.7,1261.0
3623566,stimulus_PopSci_Caveman_12_page_4,48.4,80.5,1259.0
3623568,stimulus_PopSci_Caveman_12_page_4,48.9,82.4,1259.0
3623570,stimulus_PopSci_Caveman_12_page_4,50.3,83.5,1258.0
3623572,stimulus_PopSci_Caveman_12_page_4,49.9,82.9,1256.0
3623574,stimulus_PopSci_Caveman_12_page_4,49.1,82.4,1254.0
3623576,stimulus_PopSci_Caveman_12_page_4,49.4,82.8,1256.0
3623578,stimulus_PopSci_Caveman_12_page_4,50.2,83.2,1258.0
3623580,stimulus_PopSci_Caveman_12_page_4,51.0,83.6,1257.0
3623582,stimulus_PopSci_Caveman_12_page_4,51.2,84.5,1255.0
3623584,stimulus_PopSci_Caveman_12_page_4,52.1,85.4,1254.0
3623586,stimulus_PopSci_Caveman_12_page_4,53.3,86.1,1252.0
3623588,stimulus_PopSci_Caveman_12_page_4,54.1,87.0,1253.0
