time,screen,pixel_x,pixel_y,pupil
3730448,stimulus_PopSci_Caveman_12_question_12112,215.5,285.4,1281.0
3730450,stimulus_PopSci_Caveman_12_question_12112,214.2,282.7,1278.0
3730452,stimulus_PopSci_Caveman_12_question_12112,213.4,278.5,1278.0
3730454,stimulus_PopSci_Caveman_12_question_12112,212.5,274.3,1277.0
3730456,stimulus_PopSci_Caveman_12_question_12112,212.3,270.1,1274.0
3730458,stimulus_PopSci_Caveman_12_question_12112,212.5,266.0,1272.0
3730460,stimulus_PopSci_Caveman_12_question_12112,212.8,261.8,1269.0
3730462,stimulus_PopSci_Caveman_12_question_12112,214.4,257.1,1265.0
3730464,stimulus_PopSci_Caveman_12_question_12112,215.9,252.2,1264.0
3730466,stimulus_PopSci_Caveman_12_question_12112,216.5,248.7,1264.0
3730468,stimulus_PopSci_Caveman_12_question_12112,216.5,246.3,1263.0
3730470,stimulus_PopSci_Caveman_12_question_12112,215.0,244.3,1258.0
3730472,stimulus_PopSci_Caveman_12_question_12112,214.1,241.1,1253.0
3730474,stimulus_PopSci_Caveman_12_question_12112,213.7,237.5,1252.0
3730476,stimulus_PopSci_Caveman_12_question_12112,212.3,232.8,1252.0
3730478,stimulus_PopSci_Caveman_12_question_12112,212.2,228.0,1253.0
3730480,stimulus_PopSci_Caveman_12_question_12112,212.4,224.0,1253.0
3730482,stimulus_PopSci_Caveman_12_question_12112,212.2,220.3,1254.0
3730484,stimulus_PopSci_Caveman_12_question_12112,211.8,218.0,1254.0
3730486,stimulus_PopSci_Caveman_12_question_12112,211.2,216.6,1251.0
3730488,stimulus_PopSci_Caveman_12_question_12112,210.1,215.6,1251.0
3730490,stimulus_PopSci_Caveman_12_question_12112,209.4,215.5,1249.0
3730492,stimulus_PopSci_Caveman_12_question_12112,209.1,215.7,1250.0
3730494,stimulus_PopSci_Caveman_12_question_12112,208.6,216.2,1253.0
3730496,stimulus_PopSci_Caveman_12_question_12112,207.9,216.1,1255.0
3730498,stimulus_PopSci_Caveman_12_question_12112,207.4,216.1,1256.0
3730500,stimulus_PopSci_Caveman_12_question_12112,207.5,216.0,1257.0
3730502,stimulus_PopSci_Caveman_12_question_12112,207.6,215.5,1257.0
3730504,stimulus_PopSci_Caveman_12_question_12112,207.5,214.9,1258.0
3730506,stimulus_PopSci_Caveman_12_question_12112,207.0,214.9,1256.0
3730508,stimulus_PopSci_Caveman_12_question_12112,206.5,215.1,1257.0
3730510,stimulus_PopSci_Caveman_12_question_12112,206.5,215.2,1258.0
3730512,stimulus_PopSci_Caveman_12_question_12112,206.6,214.8,1258.0
3730514,stimulus_PopSci_Caveman_12_question_12112,206.8,215.0,1257.0
3730516,stimulus_PopSci_Caveman_12_question_12112,206.8,215.3,1257.0
3730518,stimulus_PopSci_Caveman_12_question_12112,206.8,215.7,1255.0
3730520,stimulus_PopSci_Caveman_12_question_12112,206.7,216.5,1255.0
3730522,stimulus_PopSci_Caveman_12_question_12112,206.6,217.3,1255.0
3730524,stimulus_PopSci_Caveman_12_question_12112,207.0,217.7,1256.0
3730526,stimulus_PopSci_Caveman_12_question_12112,207.6,218.1,1255.0
3730528,stimulus_PopSci_Caveman_12_question_12112,208.2,218.5,1253.0
3730530,stimulus_PopSci_Caveman_12_question_12112,209.3,218.5,1253.0
3730532,stimulus_PopSci_Caveman_12_question_12112,209.7,218.5,1253.0
3730534,stimulus_PopSci_Caveman_12_question_12112,209.7,218.6,1254.0
3730536,stimulus_PopSci_Caveman_12_question_12112,210.2,218.8,1253.0
3730538,stimulus_PopSci_Caveman_12_question_12112,210.6,218.8,1252.0
3730540,stimulus_PopSci_Caveman_12_question_12112,210.8,218.9,1251.0
3730542,stimulus_PopSci_Caveman_12_question_12112,210.6,219.0,1254.0
3730544,stimulus_PopSci_Caveman_12_question_12112,211.3,218.8,1256.0
3730546,stimulus_PopSci_Caveman_12_question_12112,211.7,218.7,1255.0
3730548,stimulus_PopSci_Caveman_12_question_12112,211.7,218.6,1255.0
3730550,stimulus_PopSci_Caveman_12_question_12112,211.2,218.4,1255.0
3730552,stimulus_PopSci_Caveman_12_question_12112,209.8,218.4,1257.0
3730554,stimulus_PopSci_Caveman_12_question_12112,208.9,218.7,1257.0
3730556,stimulus_PopSci_Caveman_12_question_12112,207.9,218.5,1255.0
3730558,stimulus_PopSci_Caveman_12_question_12112,207.5,218.0,1255.0
3730560,stimulus_PopSci_Caveman_12_question_12112,206.6,218.0,1255.0
3730562,stimulus_PopSci_Caveman_12_question_12112,206.3,218.0,1255.0
3730564,stimulus_PopSci_Caveman_12_question_12112,206.3,218.0,1256.0
3730566,stimulus_PopSci_Caveman_12_question_12112,206.5,218.1,1256.0
3730568,stimulus_PopSci_Caveman_12_question_12112,207.6,217.9,1254.0
3730570,stimulus_PopSci_Caveman_12_question_12112,208.4,217.7,1252.0
3730572,stimulus_PopSci_Caveman_12_question_12112,209.0,217.7,1251.0
3730574,stimulus_PopSci_Caveman_12_question_12112,209.8,217.4,1251.0
3730576,stimulus_PopSci_Caveman_12_question_12112,210.5,217.1,1251.0
3730578,stimulus_PopSci_Caveman_12_question_12112,210.6,217.3,1250.0
3730580,stimulus_PopSci_Caveman_12_question_12112,211.0,217.2,1252.0
3730582,stimulus_PopSci_Caveman_12_question_12112,211.5,217.3,1255.0
3730584,stimulus_PopSci_Caveman_12_question_12112,211.5,217.6,1255.0
3730586,stimulus_PopSci_Caveman_12_question_12112,211.4,217.6,1254.0
