time,screen,pixel_x,pixel_y,pupil
400646,stimulus_Lit_MagicMountain_6_page_2,63.4,116.8,1307.0
400648,stimulus_Lit_MagicMountain_6_page_2,63.7,116.8,1307.0
400650,stimulus_Lit_MagicMountain_6_page_2,63.8,116.9,1305.0
400652,stimulus_Lit_MagicMountain_6_page_2,63.3,116.9,1307.0
400654,stimulus_Lit_MagicMountain_6_page_2,63.3,117.0,1308.0
400656,stimulus_Lit_MagicMountain_6_page_2,63.5,117.1,1308.0
400658,stimulus_Lit_MagicMountain_6_page_2,63.9,116.9,1309.0
400660,stimulus_Lit_MagicMountain_6_page_2,64.1,116.6,1309.0
400662,stimulus_Lit_MagicMountain_6_page_2,64.4,116.6,1309.0
400664,stimulus_Lit_MagicMountain_6_page_2,64.7,116.7,1309.0
400666,stimulus_Lit_MagicMountain_6_page_2,64.6,117.3,1309.0
400668,stimulus_Lit_MagicMountain_6_page_2,64.6,117.6,1309.0
400670,stimulus_Lit_MagicMountain_6_page_2,64.6,117.5,1309.0
400672,stimulus_Lit_MagicMountain_6_page_2,64.8,117.6,1310.0
400674,stimulus_Lit_MagicMountain_6_page_2,64.8,117.4,1312.0
400676,stimulus_Lit_MagicMountain_6_page_2,64.8,117.3,1312.0
400678,stimulus_Lit_MagicMountain_6_page_2,64.9,117.1,1312.0
400680,stimulus_Lit_MagicMountain_6_page_2,64.8,117.0,1311.0
400682,stimulus_Lit_MagicMountain_6_page_2,64.5,116.8,1312.0
400684,stimulus_Lit_MagicMountain_6_page_2,64.8,116.8,1313.0
400686,stimulus_Lit_MagicMountain_6_page_2,65.4,117.1,1312.0
400688,stimulus_Lit_MagicMountain_6_page_2,65.6,117.2,1311.0
400690,stimulus_Lit_MagicMountain_6_page_2,65.7,117.3,1312.0
400692,stimulus_Lit_MagicMountain_6_page_2,66.2,117.3,1312.0
400694,stimulus_Lit_MagicMountain_6_page_2,66.3,117.2,1313.0
400696,stimulus_Lit_MagicMountain_6_page_2,65.8,117.3,1313.0
400698,stimulus_Lit_MagicMountain_6_page_2,65.2,117.5,1312.0
400700,stimulus_Lit_MagicMountain_6_page_2,64.7,117.4,1313.0
400702,stimulus_Lit_MagicMountain_6_page_2,65.0,117.0,1313.0
400704,stimulus_Lit_MagicMountain_6_page_2,65.1,116.8,1312.0
400706,stimulus_Lit_MagicMountain_6_page_2,65.5,116.7,1312.0
400708,stimulus_Lit_MagicMountain_6_page_2,66.0,116.7,1312.0
400710,stimulus_Lit_MagicMountain_6_page_2,65.9,117.0,1313.0
400712,stimulus_Lit_MagicMountain_6_page_2,65.6,117.2,1313.0
400714,stimulus_Lit_MagicMountain_6_page_2,65.7,117.3,1313.0
400716,stimulus_Lit_MagicMountain_6_page_2,65.7,117.5,1316.0
400718,stimulus_Lit_MagicMountain_6_page_2,66.1,117.5,1314.0
400720,stimulus_Lit_MagicMountain_6_page_2,66.6,117.3,1313.0
400722,stimulus_Lit_MagicMountain_6_page_2,65.8,116.3,1315.0
400724,stimulus_Lit_MagicMountain_6_page_2,65.3,116.3,1316.0
400726,stimulus_Lit_MagicMountain_6_page_2,65.7,116.7,1314.0
400728,stimulus_Lit_MagicMountain_6_page_2,66.1,116.4,1314.0
400730,stimulus_Lit_MagicMountain_6_page_2,66.1,115.8,1314.0
400732,stimulus_Lit_MagicMountain_6_page_2,66.1,116.0,1315.0
400734,stimulus_Lit_MagicMountain_6_page_2,66.2,116.0,1317.0
400736,stimulus_Lit_MagicMountain_6_page_2,66.4,115.2,1317.0
400738,stimulus_Lit_MagicMountain_6_page_2,66.3,114.8,1317.0
400740,stimulus_Lit_MagicMountain_6_page_2,66.5,113.9,1318.0
400742,stimulus_Lit_MagicMountain_6_page_2,66.5,113.9,1319.0
400744,stimulus_Lit_MagicMountain_6_page_2,66.1,114.1,1320.0
400746,stimulus_Lit_MagicMountain_6_page_2,65.5,113.6,1320.0
400748,stimulus_Lit_MagicMountain_6_page_2,65.1,113.0,1320.0
400750,stimulus_Lit_MagicMountain_6_page_2,64.9,112.8,1321.0
400752,stimulus_Lit_MagicMountain_6_page_2,64.9,112.2,1323.0
400754,stimulus_Lit_MagicMountain_6_page_2,64.6,111.9,1325.0
400756,stimulus_Lit_MagicMountain_6_page_2,64.5,111.9,1326.0
400758,stimulus_Lit_MagicMountain_6_page_2,64.2,111.8,1327.0
400760,stimulus_Lit_MagicMountain_6_page_2,63.9,111.7,1329.0
400762,stimulus_Lit_MagicMountain_6_page_2,63.9,111.7,1329.0
400764,stimulus_Lit_MagicMountain_6_page_2,63.9,111.7,1327.0
400766,stimulus_Lit_MagicMountain_6_page_2,63.9,111.5,1328.0
400768,stimulus_Lit_MagicMountain_6_page_2,63.4,111.5,1330.0
400770,stimulus_Lit_MagicMountain_6_page_2,63.3,111.4,1330.0
400772,stimulus_Lit_MagicMountain_6_page_2,63.2,111.1,1330.0
400774,stimulus_Lit_MagicMountain_6_page_2,63.3,110.8,1331.0
400776,stimulus_Lit_MagicMountain_6_page_2,63.6,110.7,1330.0
400778,stimulus_Lit_MagicMountain_6_page_2,63.3,110.5,1329.0
400780,stimulus_Lit_MagicMountain_6_page_2,63.1,110.4,1329.0
400782,stimulus_Lit_MagicMountain_6_page_2,62.9,110.4,1330.0
400784,stimulus_Lit_MagicMountain_6_page_2,62.9,110.6,1330.0
400786,stimulus_Lit_MagicMountain_6_page_2,63.2,110.6,1329.0
400788,stimulus_Lit_MagicMountain_6_page_2,64.0,110.3,1328.0
400790,stimulus_Lit_MagicMountain_6_page_2,64.9,110.3,1326.0
400792,stimulus_Lit_MagicMountain_6_page_2,65.2,109.8,1326.0
400794,stimulus_Lit_MagicMountain_6_page_2,65.4,109.2,1328.0
400796,stimulus_Lit_MagicMountain_6_page_2,65.6,108.8,1329.0
400798,stimulus_Lit_MagicMountain_6_page_2,65.5,108.7,1327.0
400800,stimulus_Lit_MagicMountain_6_page_2,64.8,108.6,1326.0
400802,stimulus_Lit_MagicMountain_6_page_2,64.5,108.5,1328.0
400804,stimulus_Lit_MagicMountain_6_page_2,64.6,108.5,1329.0
400806,stimulus_Lit_MagicMountain_6_page_2,64.9,108.4,1331.0
400808,stimulus_Lit_MagicMountain_6_page_2,64.9,108.5,1331.0
400810,stimulus_Lit_MagicMountain_6_page_2,64.7,108.1,1330.0
400812,stimulus_Lit_MagicMountain_6_page_2,64.8,107.7,1330.0
400814,stimulus_Lit_MagicMountain_6_page_2,65.2,107.6,1331.0
400816,stimulus_Lit_MagicMountain_6_page_2,65.4,107.4,1329.0
400818,stimulus_Lit_MagicMountain_6_page_2,65.5,107.2,1329.0
400820,stimulus_Lit_MagicMountain_6_page_2,65.7,107.2,1331.0
400822,stimulus_Lit_MagicMountain_6_page_2,66.2,107.2,1331.0
400824,stimulus_Lit_MagicMountain_6_page_2,66.1,107.3,1331.0
400826,stimulus_Lit_MagicMountain_6_page_2,65.6,107.5,1331.0
400828,stimulus_Lit_MagicMountain_6_page_2,65.4,107.5,1330.0
400830,stimulus_Lit_MagicMountain_6_page_2,65.5,107.1,1330.0
400832,stimulus_Lit_MagicMountain_6_page_2,65.3,106.6,1331.0
400834,stimulus_Lit_MagicMountain_6_page_2,64.6,106.3,1333.0
400836,stimulus_Lit_MagicMountain_6_page_2,64.2,106.3,1334.0
400838,stimulus_Lit_MagicMountain_6_page_2,64.1,106.0,1335.0
400840,stimulus_Lit_MagicMountain_6_page_2,64.0,105.4,1334.0
400842,stimulus_Lit_MagicMountain_6_page_2,64.2,105.2,1334.0
400844,stimulus_Lit_MagicMountain_6_page_2,65.0,105.4,1335.0
400846,stimulus_Lit_MagicMountain_6_page_2,65.3,105.3,1333.0
400848,stimulus_Lit_MagicMountain_6_page_2,64.7,104.6,1331.0
400850,stimulus_Lit_MagicMountain_6_page_2,64.9,104.4,1333.0
400852,stimulus_Lit_MagicMountain_6_page_2,64.9,104.6,1333.0
400854,stimulus_Lit_MagicMountain_6_page_2,64.4,105.2,1332.0
400856,stimulus_Lit_MagicMountain_6_page_2,64.4,105.8,1332.0
400858,stimulus_Lit_MagicMountain_6_page_2,64.9,106.3,1333.0
400860,stimulus_Lit_MagicMountain_6_page_2,65.2,107.0,1334.0
400862,stimulus_Lit_MagicMountain_6_page_2,65.3,108.2,1336.0
400864,stimulus_Lit_MagicMountain_6_page_2,65.6,109.5,1338.0
400866,stimulus_Lit_MagicMountain_6_page_2,65.9,111.2,1338.0
400868,stimulus_Lit_MagicMountain_6_page_2,66.1,113.5,1339.0
400870,stimulus_Lit_MagicMountain_6_page_2,66.8,115.7,1339.0
400872,stimulus_Lit_MagicMountain_6_page_2,67.9,117.8,1340.0
400874,stimulus_Lit_MagicMountain_6_page_2,69.3,119.7,1342.0
400876,stimulus_Lit_MagicMountain_6_page_2,71.1,121.2,1345.0
400878,stimulus_Lit_MagicMountain_6_page_2,73.8,124.4,1347.0
400880,stimulus_Lit_MagicMountain_6_page_2,79.0,135.7,1348.0
400882,stimulus_Lit_MagicMountain_6_page_2,84.2,145.9,1348.0
400884,stimulus_Lit_MagicMountain_6_page_2,86.3,149.0,1348.0
400886,stimulus_Lit_MagicMountain_6_page_2,88.4,152.4,1348.0
400888,stimulus_Lit_MagicMountain_6_page_2,90.1,155.2,1351.0
400890,stimulus_Lit_MagicMountain_6_page_2,92.2,157.0,1353.0
400892,stimulus_Lit_MagicMountain_6_page_2,94.4,158.8,1355.0
400894,stimulus_Lit_MagicMountain_6_page_2,95.9,160.7,1361.0
400896,stimulus_Lit_MagicMountain_6_page_2,95.7,162.6,1366.0
400898,stimulus_Lit_MagicMountain_6_page_2,91.9,165.4,1364.0
400900,stimulus_Lit_MagicMountain_6_page_2,85.6,168.9,1364.0
400902,stimulus_Lit_MagicMountain_6_page_2,80.8,173.1,1365.0
400904,stimulus_Lit_MagicMountain_6_page_2,77.2,178.3,1366.0
400906,stimulus_Lit_MagicMountain_6_page_2,74.9,182.3,1366.0
400908,stimulus_Lit_MagicMountain_6_page_2,72.9,184.6,1369.0
400910,stimulus_Lit_MagicMountain_6_page_2,70.4,187.0,1371.0
400912,stimulus_Lit_MagicMountain_6_page_2,69.6,188.5,1373.0
400914,stimulus_Lit_MagicMountain_6_page_2,69.5,189.9,1376.0
400916,stimulus_Lit_MagicMountain_6_page_2,68.8,190.9,1378.0
400918,stimulus_Lit_MagicMountain_6_page_2,67.2,192.5,1377.0
400920,stimulus_Lit_MagicMountain_6_page_2,64.5,195.7,1377.0
400922,stimulus_Lit_MagicMountain_6_page_2,61.4,198.5,1377.0
400924,stimulus_Lit_MagicMountain_6_page_2,60.2,201.0,1378.0
400926,stimulus_Lit_MagicMountain_6_page_2,60.3,203.1,1380.0
400928,stimulus_Lit_MagicMountain_6_page_2,61.6,204.5,1383.0
400930,stimulus_Lit_MagicMountain_6_page_2,64.2,205.8,1384.0
400932,stimulus_Lit_MagicMountain_6_page_2,67.3,206.1,1385.0
400934,stimulus_Lit_MagicMountain_6_page_2,69.9,206.4,1387.0
400936,stimulus_Lit_MagicMountain_6_page_2,72.5,207.3,1388.0
400938,stimulus_Lit_MagicMountain_6_page_2,75.3,208.8,1390.0
400940,stimulus_Lit_MagicMountain_6_page_2,78.0,210.8,1390.0
400942,stimulus_Lit_MagicMountain_6_page_2,80.1,213.3,1390.0
400944,stimulus_Lit_MagicMountain_6_page_2,82.5,215.3,1391.0
400946,stimulus_Lit_MagicMountain_6_page_2,85.0,216.9,1393.0
400948,stimulus_Lit_MagicMountain_6_page_2,87.4,218.6,1393.0
400950,stimulus_Lit_MagicMountain_6_page_2,89.5,219.7,1394.0
400952,stimulus_Lit_MagicMountain_6_page_2,90.5,220.2,1396.0
400954,stimulus_Lit_MagicMountain_6_page_2,91.1,220.4,1398.0
400956,stimulus_Lit_MagicMountain_6_page_2,90.7,220.6,1398.0
400958,stimulus_Lit_MagicMountain_6_page_2,90.7,221.1,1399.0
400960,stimulus_Lit_MagicMountain_6_page_2,90.7,221.4,1398.0
400962,stimulus_Lit_MagicMountain_6_page_2,91.1,221.9,1398.0
400964,stimulus_Lit_MagicMountain_6_page_2,91.1,222.4,1399.0
400966,stimulus_Lit_MagicMountain_6_page_2,90.9,223.2,1400.0
400968,stimulus_Lit_MagicMountain_6_page_2,90.4,224.6,1396.0
400970,stimulus_Lit_MagicMountain_6_page_2,90.1,225.4,1393.0
400972,stimulus_Lit_MagicMountain_6_page_2,89.9,226.2,1392.0
400974,stimulus_Lit_MagicMountain_6_page_2,89.9,226.9,1393.0
400976,stimulus_Lit_MagicMountain_6_page_2,90.1,227.2,1392.0
400978,stimulus_Lit_MagicMountain_6_page_2,90.9,227.1,1390.0
400980,stimulus_Lit_MagicMountain_6_page_2,92.5,226.5,1387.0
400982,stimulus_Lit_MagicMountain_6_page_2,94.4,224.7,1385.0
400984,stimulus_Lit_MagicMountain_6_page_2,96.1,222.9,1384.0
400986,stimulus_Lit_MagicMountain_6_page_2,98.3,220.3,1382.0
400988,stimulus_Lit_MagicMountain_6_page_2,99.6,218.0,1382.0
400990,stimulus_Lit_MagicMountain_6_page_2,100.3,216.8,1385.0
400992,stimulus_Lit_MagicMountain_6_page_2,101.0,215.0,1386.0
400994,stimulus_Lit_MagicMountain_6_page_2,101.5,213.6,1385.0
