time,screen,pixel_x,pixel_y,pupil
564496,stimulus_Lit_MagicMountain_6_question_6111,258.5,270.3,1178.0
564498,stimulus_Lit_MagicMountain_6_question_6111,259.5,266.5,1173.0
564500,stimulus_Lit_MagicMountain_6_question_6111,261.7,263.0,1169.0
564502,stimulus_Lit_MagicMountain_6_question_6111,265.3,255.9,1170.0
564504,stimulus_Lit_MagicMountain_6_question_6111,269.8,244.8,1172.0
564506,stimulus_Lit_MagicMountain_6_question_6111,272.4,230.7,1170.0
564508,stimulus_Lit_MagicMountain_6_question_6111,273.5,215.0,1168.0
564510,stimulus_Lit_MagicMountain_6_question_6111,273.8,202.8,1169.0
564512,stimulus_Lit_MagicMountain_6_question_6111,273.4,193.0,1167.0
564514,stimulus_Lit_MagicMountain_6_question_6111,274.7,183.9,1166.0
564516,stimulus_Lit_MagicMountain_6_question_6111,276.8,176.1,1168.0
564518,stimulus_Lit_MagicMountain_6_question_6111,278.3,170.9,1168.0
564520,stimulus_Lit_MagicMountain_6_question_6111,278.7,167.1,1165.0
564522,stimulus_Lit_MagicMountain_6_question_6111,277.9,163.5,1160.0
564524,stimulus_Lit_MagicMountain_6_question_6111,276.8,160.3,1154.0
564526,stimulus_Lit_MagicMountain_6_question_6111,276.5,156.6,1150.0
564528,stimulus_Lit_MagicMountain_6_question_6111,275.6,154.4,1150.0
564530,stimulus_Lit_MagicMountain_6_question_6111,274.3,153.2,1149.0
564532,stimulus_Lit_MagicMountain_6_question_6111,274.0,152.5,1148.0
564534,stimulus_Lit_MagicMountain_6_question_6111,273.7,152.4,1148.0
564536,stimulus_Lit_MagicMountain_6_question_6111,273.1,152.4,1147.0
564538,stimulus_Lit_MagicMountain_6_question_6111,271.8,152.7,1145.0
564540,stimulus_Lit_MagicMountain_6_question_6111,269.8,153.1,1144.0
564542,stimulus_Lit_MagicMountain_6_question_6111,268.3,153.3,1145.0
564544,stimulus_Lit_MagicMountain_6_question_6111,267.0,153.8,1146.0
564546,stimulus_Lit_MagicMountain_6_question_6111,266.6,155.0,1147.0
564548,stimulus_Lit_MagicMountain_6_question_6111,266.1,156.0,1148.0
564550,stimulus_Lit_MagicMountain_6_question_6111,265.3,156.3,1150.0
564552,stimulus_Lit_MagicMountain_6_question_6111,264.9,156.3,1151.0
564554,stimulus_Lit_MagicMountain_6_question_6111,264.0,156.3,1152.0
564556,stimulus_Lit_MagicMountain_6_question_6111,263.3,156.0,1151.0
564558,stimulus_Lit_MagicMountain_6_question_6111,262.9,155.6,1151.0
564560,stimulus_Lit_MagicMountain_6_question_6111,262.8,155.5,1151.0
564562,stimulus_Lit_MagicMountain_6_question_6111,262.9,155.5,1151.0
564564,stimulus_Lit_MagicMountain_6_question_6111,263.0,155.6,1150.0
564566,stimulus_Lit_MagicMountain_6_question_6111,263.2,155.7,1150.0
564568,stimulus_Lit_MagicMountain_6_question_6111,262.7,156.0,1149.0
564570,stimulus_Lit_MagicMountain_6_question_6111,261.9,156.4,1147.0
564572,stimulus_Lit_MagicMountain_6_question_6111,261.9,156.6,1147.0
564574,stimulus_Lit_MagicMountain_6_question_6111,262.0,156.5,1146.0
564576,stimulus_Lit_MagicMountain_6_question_6111,262.2,156.4,1145.0
564578,stimulus_Lit_MagicMountain_6_question_6111,262.5,156.4,1143.0
564580,stimulus_Lit_MagicMountain_6_question_6111,262.5,156.5,1142.0
564582,stimulus_Lit_MagicMountain_6_question_6111,262.5,156.5,1142.0
564584,stimulus_Lit_MagicMountain_6_question_6111,262.3,156.9,1141.0
564586,stimulus_Lit_MagicMountain_6_question_6111,262.1,157.3,1141.0
564588,stimulus_Lit_MagicMountain_6_question_6111,262.6,157.0,1142.0
564590,stimulus_Lit_MagicMountain_6_question_6111,262.7,156.6,1143.0
564592,stimulus_Lit_MagicMountain_6_question_6111,262.8,156.5,1144.0
564594,stimulus_Lit_MagicMountain_6_question_6111,262.8,156.5,1144.0
564596,stimulus_Lit_MagicMountain_6_question_6111,262.5,156.4,1143.0
564598,stimulus_Lit_MagicMountain_6_question_6111,262.6,156.6,1141.0
564600,stimulus_Lit_MagicMountain_6_question_6111,262.6,156.7,1141.0
564602,stimulus_Lit_MagicMountain_6_question_6111,262.3,156.9,1142.0
564604,stimulus_Lit_MagicMountain_6_question_6111,262.2,157.2,1142.0
564606,stimulus_Lit_MagicMountain_6_question_6111,262.3,157.2,1142.0
564608,stimulus_Lit_MagicMountain_6_question_6111,262.6,157.2,1138.0
564610,stimulus_Lit_MagicMountain_6_question_6111,262.8,157.1,1138.0
564612,stimulus_Lit_MagicMountain_6_question_6111,262.5,157.0,1139.0
564614,stimulus_Lit_MagicMountain_6_question_6111,262.6,156.6,1138.0
564616,stimulus_Lit_MagicMountain_6_question_6111,263.0,156.5,1136.0
564618,stimulus_Lit_MagicMountain_6_question_6111,263.1,156.5,1137.0
564620,stimulus_Lit_MagicMountain_6_question_6111,263.0,156.8,1138.0
564622,stimulus_Lit_MagicMountain_6_question_6111,262.9,156.7,1139.0
564624,stimulus_Lit_MagicMountain_6_question_6111,263.2,156.8,1140.0
