time,screen,pixel_x,pixel_y,pupil
1631210,familiarity_rating_screen_2,150.4,142.7,1280.0
1631212,familiarity_rating_screen_2,151.1,143.1,1281.0
1631214,familiarity_rating_screen_2,151.6,143.3,1281.0
1631216,familiarity_rating_screen_2,151.5,143.2,1280.0
1631218,familiarity_rating_screen_2,151.2,143.3,1282.0
1631220,familiarity_rating_screen_2,151.2,143.3,1282.0
1631222,familiarity_rating_screen_2,151.2,143.3,1276.0
1631224,familiarity_rating_screen_2,151.2,143.3,1272.0
1631226,familiarity_rating_screen_2,151.3,143.2,1271.0
1631228,familiarity_rating_screen_2,151.0,142.6,1271.0
1631230,familiarity_rating_screen_2,150.3,142.3,1272.0
1631232,familiarity_rating_screen_2,149.4,142.7,1271.0
1631234,familiarity_rating_screen_2,148.9,142.6,1271.0
1631236,familiarity_rating_screen_2,148.7,142.4,1271.0
1631238,familiarity_rating_screen_2,148.5,142.4,1272.0
1631240,familiarity_rating_screen_2,148.8,142.5,1272.0
1631242,familiarity_rating_screen_2,149.1,142.8,1272.0
1631244,familiarity_rating_screen_2,148.7,143.1,1272.0
1631246,familiarity_rating_screen_2,148.8,142.9,1272.0
1631248,familiarity_rating_screen_2,148.9,142.8,1273.0
1631250,familiarity_rating_screen_2,148.8,142.8,1272.0
1631252,familiarity_rating_screen_2,149.0,142.9,1272.0
1631254,familiarity_rating_screen_2,149.6,143.0,1271.0
1631256,familiarity_rating_screen_2,149.4,143.1,1271.0
1631258,familiarity_rating_screen_2,149.1,142.9,1270.0
1631260,familiarity_rating_screen_2,149.2,142.5,1270.0
1631262,familiarity_rating_screen_2,149.2,142.3,1271.0
1631264,familiarity_rating_screen_2,149.2,142.6,1272.0
1631266,familiarity_rating_screen_2,149.2,142.7,1272.0
1631268,familiarity_rating_screen_2,149.2,142.7,1272.0
1631270,familiarity_rating_screen_2,149.2,142.7,1271.0
1631272,familiarity_rating_screen_2,149.2,142.7,1269.0
1631274,familiarity_rating_screen_2,149.5,142.5,1267.0
1631276,familiarity_rating_screen_2,149.9,142.4,1265.0
1631278,familiarity_rating_screen_2,149.6,142.4,1268.0
1631280,familiarity_rating_screen_2,149.4,142.4,1271.0
1631282,familiarity_rating_screen_2,149.7,142.5,1271.0
1631284,familiarity_rating_screen_2,150.0,143.0,1269.0
1631286,familiarity_rating_screen_2,150.2,143.1,1268.0
1631288,familiarity_rating_screen_2,150.5,142.9,1269.0
1631290,familiarity_rating_screen_2,150.5,142.8,1269.0
1631292,familiarity_rating_screen_2,150.7,142.8,1268.0
1631294,familiarity_rating_screen_2,150.7,142.8,1268.0
1631296,familiarity_rating_screen_2,150.3,143.1,1269.0
1631298,familiarity_rating_screen_2,149.7,143.4,1269.0
1631300,familiarity_rating_screen_2,149.7,143.3,1268.0
1631302,familiarity_rating_screen_2,150.3,143.3,1267.0
1631304,familiarity_rating_screen_2,150.7,143.3,1267.0
1631306,familiarity_rating_screen_2,150.6,143.4,1267.0
1631308,familiarity_rating_screen_2,150.2,143.5,1266.0
1631310,familiarity_rating_screen_2,150.1,143.4,1265.0
1631312,familiarity_rating_screen_2,151.1,142.9,1267.0
1631314,familiarity_rating_screen_2,151.2,142.7,1266.0
1631316,familiarity_rating_screen_2,151.0,142.7,1266.0
1631318,familiarity_rating_screen_2,151.2,142.5,1265.0
1631320,familiarity_rating_screen_2,151.7,142.3,1266.0
1631322,familiarity_rating_screen_2,152.0,142.1,1267.0
1631324,familiarity_rating_screen_2,151.9,142.1,1268.0
1631326,familiarity_rating_screen_2,151.5,142.7,1267.0
1631328,familiarity_rating_screen_2,151.6,143.1,1266.0
1631330,familiarity_rating_screen_2,151.7,143.0,1267.0
1631332,familiarity_rating_screen_2,152.2,142.6,1266.0
1631334,familiarity_rating_screen_2,152.7,142.5,1264.0
1631336,familiarity_rating_screen_2,152.6,142.8,1260.0
1631338,familiarity_rating_screen_2,152.6,143.2,1260.0
1631340,familiarity_rating_screen_2,153.0,143.0,1263.0
1631342,familiarity_rating_screen_2,153.6,143.2,1264.0
1631344,familiarity_rating_screen_2,153.9,143.3,1264.0
1631346,familiarity_rating_screen_2,153.9,143.3,1265.0
1631348,familiarity_rating_screen_2,153.6,143.7,1268.0
1631350,familiarity_rating_screen_2,153.8,143.8,1268.0
1631352,familiarity_rating_screen_2,153.9,143.7,1268.0
1631354,familiarity_rating_screen_2,153.9,143.9,1268.0
1631356,familiarity_rating_screen_2,153.9,143.9,1268.0
1631358,familiarity_rating_screen_2,153.9,143.6,1271.0
1631360,familiarity_rating_screen_2,153.9,143.4,1274.0
1631362,familiarity_rating_screen_2,153.8,143.4,1274.0
1631364,familiarity_rating_screen_2,154.1,143.4,1274.0
1631366,familiarity_rating_screen_2,154.5,143.6,1273.0
1631368,familiarity_rating_screen_2,154.3,143.8,1274.0
1631370,familiarity_rating_screen_2,154.0,144.0,1275.0
1631372,familiarity_rating_screen_2,153.7,144.2,1276.0
1631374,familiarity_rating_screen_2,153.0,144.3,1275.0
1631376,familiarity_rating_screen_2,152.6,143.9,1273.0
1631378,familiarity_rating_screen_2,152.8,143.7,1275.0
1631380,familiarity_rating_screen_2,152.9,143.6,1277.0
1631382,familiarity_rating_screen_2,152.8,143.3,1276.0
1631384,familiarity_rating_screen_2,153.0,143.3,1275.0
1631386,familiarity_rating_screen_2,152.6,143.4,1274.0
1631388,familiarity_rating_screen_2,152.1,143.3,1274.0
1631390,familiarity_rating_screen_2,152.1,143.3,1275.0
1631392,familiarity_rating_screen_2,152.3,143.4,1275.0
1631394,familiarity_rating_screen_2,152.4,143.6,1276.0
1631396,familiarity_rating_screen_2,152.7,143.8,1276.0
1631398,familiarity_rating_screen_2,153.3,143.9,1277.0
1631400,familiarity_rating_screen_2,153.2,143.9,1278.0
1631402,familiarity_rating_screen_2,153.4,144.0,1278.0
1631404,familiarity_rating_screen_2,153.5,144.3,1278.0
1631406,familiarity_rating_screen_2,153.4,144.7,1278.0
1631408,familiarity_rating_screen_2,153.6,144.8,1277.0
1631410,familiarity_rating_screen_2,153.7,145.0,1277.0
1631412,familiarity_rating_screen_2,154.4,145.0,1276.0
1631414,familiarity_rating_screen_2,155.0,145.0,1276.0
1631416,familiarity_rating_screen_2,154.3,144.9,1278.0
1631418,familiarity_rating_screen_2,153.9,144.8,1281.0
1631420,familiarity_rating_screen_2,153.9,144.6,1282.0
1631422,familiarity_rating_screen_2,153.9,144.6,1282.0
1631424,familiarity_rating_screen_2,153.8,144.6,1282.0
1631426,familiarity_rating_screen_2,153.8,144.5,1280.0
1631428,familiarity_rating_screen_2,153.9,144.3,1280.0
1631430,familiarity_rating_screen_2,154.0,144.2,1281.0
1631432,familiarity_rating_screen_2,154.2,144.2,1283.0
1631434,familiarity_rating_screen_2,154.4,143.9,1285.0
1631436,familiarity_rating_screen_2,154.4,144.1,1284.0
1631438,familiarity_rating_screen_2,154.4,144.3,1286.0
1631440,familiarity_rating_screen_2,154.8,144.5,1287.0
1631442,familiarity_rating_screen_2,155.2,144.4,1289.0
1631444,familiarity_rating_screen_2,155.4,144.5,1290.0
1631446,familiarity_rating_screen_2,155.7,144.5,1292.0
1631448,familiarity_rating_screen_2,155.7,144.5,1292.0
1631450,familiarity_rating_screen_2,156.0,144.7,1291.0
1631452,familiarity_rating_screen_2,156.1,144.7,1291.0
1631454,familiarity_rating_screen_2,155.9,144.6,1291.0
1631456,familiarity_rating_screen_2,155.8,144.6,1291.0
1631458,familiarity_rating_screen_2,155.9,144.7,1291.0
1631460,familiarity_rating_screen_2,156.3,144.7,1292.0
1631462,familiarity_rating_screen_2,157.3,144.6,1293.0
1631464,familiarity_rating_screen_2,159.3,144.5,1294.0
1631466,familiarity_rating_screen_2,163.9,144.6,1295.0
1631468,familiarity_rating_screen_2,173.4,143.6,1297.0
1631470,familiarity_rating_screen_2,185.8,142.0,1298.0
1631472,familiarity_rating_screen_2,200.8,140.2,1302.0
1631474,familiarity_rating_screen_2,215.8,138.4,1304.0
1631476,familiarity_rating_screen_2,229.6,136.2,1306.0
1631478,familiarity_rating_screen_2,240.0,133.9,1307.0
1631480,familiarity_rating_screen_2,246.2,133.1,1304.0
1631482,familiarity_rating_screen_2,249.3,132.9,1303.0
1631484,familiarity_rating_screen_2,250.9,132.9,1304.0
1631486,familiarity_rating_screen_2,253.1,132.9,1303.0
1631488,familiarity_rating_screen_2,256.1,132.8,1301.0
1631490,familiarity_rating_screen_2,257.8,132.2,1300.0
1631492,familiarity_rating_screen_2,258.7,131.6,1300.0
1631494,familiarity_rating_screen_2,258.2,131.5,1299.0
