time,screen,pixel_x,pixel_y,pupil
1499538,stimulus_Lit_Alchemist_4_page_2,184.8,151.8,1162.0
1499540,stimulus_Lit_Alchemist_4_page_2,184.4,151.7,1161.0
1499542,stimulus_Lit_Alchemist_4_page_2,184.1,151.7,1162.0
1499544,stimulus_Lit_Alchemist_4_page_2,184.1,151.5,1164.0
1499546,stimulus_Lit_Alchemist_4_page_2,184.1,151.4,1165.0
1499548,stimulus_Lit_Alchemist_4_page_2,183.8,151.4,1167.0
1499550,stimulus_Lit_Alchemist_4_page_2,184.0,151.4,1167.0
1499552,stimulus_Lit_Alchemist_4_page_2,184.2,151.3,1168.0
1499554,stimulus_Lit_Alchemist_4_page_2,184.4,150.9,1169.0
1499556,stimulus_Lit_Alchemist_4_page_2,184.7,150.8,1170.0
1499558,stimulus_Lit_Alchemist_4_page_2,184.7,150.7,1170.0
1499560,stimulus_Lit_Alchemist_4_page_2,184.5,150.6,1170.0
1499562,stimulus_Lit_Alchemist_4_page_2,184.5,150.5,1170.0
1499564,stimulus_Lit_Alchemist_4_page_2,184.2,150.5,1171.0
1499566,stimulus_Lit_Alchemist_4_page_2,184.3,150.5,1172.0
1499568,stimulus_Lit_Alchemist_4_page_2,184.4,150.6,1173.0
1499570,stimulus_Lit_Alchemist_4_page_2,184.5,150.4,1173.0
1499572,stimulus_Lit_Alchemist_4_page_2,184.6,150.4,1172.0
1499574,stimulus_Lit_Alchemist_4_page_2,184.4,150.3,1173.0
1499576,stimulus_Lit_Alchemist_4_page_2,184.6,150.1,1174.0
1499578,stimulus_Lit_Alchemist_4_page_2,185.1,150.1,1174.0
1499580,stimulus_Lit_Alchemist_4_page_2,185.1,150.0,1174.0
1499582,stimulus_Lit_Alchemist_4_page_2,184.8,149.9,1172.0
1499584,stimulus_Lit_Alchemist_4_page_2,184.3,150.0,1172.0
1499586,stimulus_Lit_Alchemist_4_page_2,184.3,150.2,1173.0
1499588,stimulus_Lit_Alchemist_4_page_2,184.2,150.3,1173.0
1499590,stimulus_Lit_Alchemist_4_page_2,184.5,150.0,1174.0
1499592,stimulus_Lit_Alchemist_4_page_2,184.9,150.1,1175.0
1499594,stimulus_Lit_Alchemist_4_page_2,184.8,149.9,1173.0
1499596,stimulus_Lit_Alchemist_4_page_2,184.8,149.7,1171.0
1499598,stimulus_Lit_Alchemist_4_page_2,184.9,149.8,1173.0
1499600,stimulus_Lit_Alchemist_4_page_2,184.9,150.6,1173.0
1499602,stimulus_Lit_Alchemist_4_page_2,185.0,151.0,1170.0
1499604,stimulus_Lit_Alchemist_4_page_2,185.4,150.4,1171.0
1499606,stimulus_Lit_Alchemist_4_page_2,185.7,150.0,1174.0
1499608,stimulus_Lit_Alchemist_4_page_2,185.8,150.3,1173.0
1499610,stimulus_Lit_Alchemist_4_page_2,186.0,150.4,1172.0
1499612,stimulus_Lit_Alchemist_4_page_2,186.4,150.5,1171.0
1499614,stimulus_Lit_Alchemist_4_page_2,187.1,150.4,1170.0
1499616,stimulus_Lit_Alchemist_4_page_2,186.9,150.6,1168.0
1499618,stimulus_Lit_Alchemist_4_page_2,186.9,150.7,1168.0
1499620,stimulus_Lit_Alchemist_4_page_2,187.5,150.5,1169.0
1499622,stimulus_Lit_Alchemist_4_page_2,187.5,150.6,1168.0
1499624,stimulus_Lit_Alchemist_4_page_2,187.8,150.8,1166.0
1499626,stimulus_Lit_Alchemist_4_page_2,188.0,150.9,1167.0
1499628,stimulus_Lit_Alchemist_4_page_2,188.0,150.7,1168.0
1499630,stimulus_Lit_Alchemist_4_page_2,188.3,150.5,1168.0
1499632,stimulus_Lit_Alchemist_4_page_2,188.4,150.8,1168.0
1499634,stimulus_Lit_Alchemist_4_page_2,188.5,151.1,1168.0
1499636,stimulus_Lit_Alchemist_4_page_2,188.6,151.1,1168.0
1499638,stimulus_Lit_Alchemist_4_page_2,188.6,151.3,1167.0
1499640,stimulus_Lit_Alchemist_4_page_2,188.5,151.4,1167.0
1499642,stimulus_Lit_Alchemist_4_page_2,188.4,151.6,1168.0
1499644,stimulus_Lit_Alchemist_4_page_2,188.4,151.6,1169.0
1499646,stimulus_Lit_Alchemist_4_page_2,188.6,151.4,1170.0
1499648,stimulus_Lit_Alchemist_4_page_2,188.8,151.2,1168.0
1499650,stimulus_Lit_Alchemist_4_page_2,189.3,151.2,1165.0
1499652,stimulus_Lit_Alchemist_4_page_2,189.2,151.0,1168.0
1499654,stimulus_Lit_Alchemist_4_page_2,189.1,150.9,1170.0
1499656,stimulus_Lit_Alchemist_4_page_2,189.0,151.2,1168.0
1499658,stimulus_Lit_Alchemist_4_page_2,188.5,151.3,1167.0
1499660,stimulus_Lit_Alchemist_4_page_2,188.4,151.0,1167.0
1499662,stimulus_Lit_Alchemist_4_page_2,188.7,150.8,1167.0
1499664,stimulus_Lit_Alchemist_4_page_2,188.4,150.8,1168.0
1499666,stimulus_Lit_Alchemist_4_page_2,188.1,150.3,1168.0
1499668,stimulus_Lit_Alchemist_4_page_2,187.8,150.4,1167.0
1499670,stimulus_Lit_Alchemist_4_page_2,187.6,150.7,1164.0
1499672,stimulus_Lit_Alchemist_4_page_2,187.6,150.5,1166.0
1499674,stimulus_Lit_Alchemist_4_page_2,187.6,150.1,1166.0
1499676,stimulus_Lit_Alchemist_4_page_2,188.2,149.9,1165.0
1499678,stimulus_Lit_Alchemist_4_page_2,188.5,149.8,1164.0
