time,screen,pixel_x,pixel_y,pupil
3356961,stimulus_Lit_BrokenApril_9_page_10,205.9,159.9,1144.0
3356963,stimulus_Lit_BrokenApril_9_page_10,206.1,160.2,1143.0
3356965,stimulus_Lit_BrokenApril_9_page_10,207.3,160.0,1145.0
3356967,stimulus_Lit_BrokenApril_9_page_10,206.8,160.0,1146.0
3356969,stimulus_Lit_BrokenApril_9_page_10,207.2,160.2,1145.0
3356971,stimulus_Lit_BrokenApril_9_page_10,207.9,160.6,1140.0
3356973,stimulus_Lit_BrokenApril_9_page_10,208.2,160.3,1140.0
3356975,stimulus_Lit_BrokenApril_9_page_10,208.4,160.3,1142.0
3356977,stimulus_Lit_BrokenApril_9_page_10,208.7,160.3,1142.0
3356979,stimulus_Lit_BrokenApril_9_page_10,208.4,160.2,1139.0
3356981,stimulus_Lit_BrokenApril_9_page_10,208.2,160.0,1137.0
3356983,stimulus_Lit_BrokenApril_9_page_10,208.3,160.0,1138.0
3356985,stimulus_Lit_BrokenApril_9_page_10,208.2,159.9,1139.0
3356987,stimulus_Lit_BrokenApril_9_page_10,208.4,159.9,1140.0
3356989,stimulus_Lit_BrokenApril_9_page_10,208.4,160.0,1141.0
3356991,stimulus_Lit_BrokenApril_9_page_10,208.2,160.4,1139.0
3356993,stimulus_Lit_BrokenApril_9_page_10,208.1,160.2,1138.0
3356995,stimulus_Lit_BrokenApril_9_page_10,208.2,160.1,1137.0
3356997,stimulus_Lit_BrokenApril_9_page_10,208.3,160.4,1136.0
3356999,stimulus_Lit_BrokenApril_9_page_10,208.5,160.5,1137.0
3357001,stimulus_Lit_BrokenApril_9_page_10,208.6,160.5,1139.0
3357003,stimulus_Lit_BrokenApril_9_page_10,208.4,160.4,1139.0
3357005,stimulus_Lit_BrokenApril_9_page_10,208.3,160.3,1138.0
3357007,stimulus_Lit_BrokenApril_9_page_10,207.8,160.6,1137.0
3357009,stimulus_Lit_BrokenApril_9_page_10,207.2,160.8,1137.0
3357011,stimulus_Lit_BrokenApril_9_page_10,206.7,160.9,1136.0
3357013,stimulus_Lit_BrokenApril_9_page_10,205.5,161.1,1134.0
3357015,stimulus_Lit_BrokenApril_9_page_10,204.9,161.0,1132.0
3357017,stimulus_Lit_BrokenApril_9_page_10,204.2,161.0,1133.0
3357019,stimulus_Lit_BrokenApril_9_page_10,203.4,161.1,1132.0
3357021,stimulus_Lit_BrokenApril_9_page_10,203.5,160.9,1131.0
3357023,stimulus_Lit_BrokenApril_9_page_10,204.3,160.4,1131.0
3357025,stimulus_Lit_BrokenApril_9_page_10,205.0,160.4,1132.0
3357027,stimulus_Lit_BrokenApril_9_page_10,206.0,160.4,1132.0
3357029,stimulus_Lit_BrokenApril_9_page_10,206.9,160.1,1131.0
3357031,stimulus_Lit_BrokenApril_9_page_10,207.6,160.1,1132.0
3357033,stimulus_Lit_BrokenApril_9_page_10,207.9,160.1,1134.0
3357035,stimulus_Lit_BrokenApril_9_page_10,208.0,159.8,1135.0
3357037,stimulus_Lit_BrokenApril_9_page_10,208.1,159.9,1136.0
3357039,stimulus_Lit_BrokenApril_9_page_10,208.0,160.1,1136.0
3357041,stimulus_Lit_BrokenApril_9_page_10,207.9,160.6,1136.0
3357043,stimulus_Lit_BrokenApril_9_page_10,207.8,160.6,1136.0
3357045,stimulus_Lit_BrokenApril_9_page_10,207.0,160.5,1136.0
3357047,stimulus_Lit_BrokenApril_9_page_10,206.4,160.4,1136.0
3357049,stimulus_Lit_BrokenApril_9_page_10,205.8,160.4,1136.0
3357051,stimulus_Lit_BrokenApril_9_page_10,204.6,160.5,1135.0
3357053,stimulus_Lit_BrokenApril_9_page_10,203.6,160.5,1135.0
3357055,stimulus_Lit_BrokenApril_9_page_10,203.5,160.2,1134.0
3357057,stimulus_Lit_BrokenApril_9_page_10,203.6,160.1,1131.0
3357059,stimulus_Lit_BrokenApril_9_page_10,204.1,160.2,1131.0
3357061,stimulus_Lit_BrokenApril_9_page_10,205.2,160.2,1131.0
3357063,stimulus_Lit_BrokenApril_9_page_10,206.1,160.2,1131.0
