time,screen,pixel_x,pixel_y,pupil
2787853,stimulus_Arg_PISARapaNui_11_page_7,151.8,111.3,1208.0
2787855,stimulus_Arg_PISARapaNui_11_page_7,151.9,111.2,1207.0
2787857,stimulus_Arg_PISARapaNui_11_page_7,151.9,111.5,1208.0
2787859,stimulus_Arg_PISARapaNui_11_page_7,152.1,111.5,1211.0
2787861,stimulus_Arg_PISARapaNui_11_page_7,151.9,111.3,1210.0
2787863,stimulus_Arg_PISARapaNui_11_page_7,152.4,111.5,1208.0
2787865,stimulus_Arg_PISARapaNui_11_page_7,152.1,111.4,1207.0
2787867,stimulus_Arg_PISARapaNui_11_page_7,152.0,111.0,1205.0
2787869,stimulus_Arg_PISARapaNui_11_page_7,151.8,111.0,1205.0
2787871,stimulus_Arg_PISARapaNui_11_page_7,152.2,110.9,1205.0
2787873,stimulus_Arg_PISARapaNui_11_page_7,152.4,110.5,1205.0
2787875,stimulus_Arg_PISARapaNui_11_page_7,152.0,110.6,1203.0
2787877,stimulus_Arg_PISARapaNui_11_page_7,152.2,110.7,1203.0
2787879,stimulus_Arg_PISARapaNui_11_page_7,152.3,110.7,1205.0
2787881,stimulus_Arg_PISARapaNui_11_page_7,152.4,110.8,1206.0
2787883,stimulus_Arg_PISARapaNui_11_page_7,152.6,110.8,1207.0
2787885,stimulus_Arg_PISARapaNui_11_page_7,152.7,110.7,1206.0
2787887,stimulus_Arg_PISARapaNui_11_page_7,152.5,110.9,1207.0
2787889,stimulus_Arg_PISARapaNui_11_page_7,152.4,111.0,1207.0
2787891,stimulus_Arg_PISARapaNui_11_page_7,152.3,111.0,1207.0
2787893,stimulus_Arg_PISARapaNui_11_page_7,152.5,111.4,1207.0
2787895,stimulus_Arg_PISARapaNui_11_page_7,152.8,111.4,1206.0
2787897,stimulus_Arg_PISARapaNui_11_page_7,152.8,111.4,1206.0
2787899,stimulus_Arg_PISARapaNui_11_page_7,152.6,111.4,1206.0
2787901,stimulus_Arg_PISARapaNui_11_page_7,152.6,111.1,1207.0
2787903,stimulus_Arg_PISARapaNui_11_page_7,152.8,110.9,1207.0
2787905,stimulus_Arg_PISARapaNui_11_page_7,152.8,111.9,1207.0
2787907,stimulus_Arg_PISARapaNui_11_page_7,152.6,112.3,1205.0
2787909,stimulus_Arg_PISARapaNui_11_page_7,152.5,112.8,1204.0
2787911,stimulus_Arg_PISARapaNui_11_page_7,152.5,112.9,1204.0
2787913,stimulus_Arg_PISARapaNui_11_page_7,152.7,112.9,1203.0
2787915,stimulus_Arg_PISARapaNui_11_page_7,153.0,112.7,1205.0
2787917,stimulus_Arg_PISARapaNui_11_page_7,153.0,112.8,1207.0
2787919,stimulus_Arg_PISARapaNui_11_page_7,153.1,112.8,1206.0
2787921,stimulus_Arg_PISARapaNui_11_page_7,153.2,112.5,1206.0
2787923,stimulus_Arg_PISARapaNui_11_page_7,153.3,113.2,1205.0
2787925,stimulus_Arg_PISARapaNui_11_page_7,153.6,113.5,1205.0
2787927,stimulus_Arg_PISARapaNui_11_page_7,153.8,113.4,1206.0
2787929,stimulus_Arg_PISARapaNui_11_page_7,153.7,113.2,1209.0
2787931,stimulus_Arg_PISARapaNui_11_page_7,153.7,113.2,1208.0
2787933,stimulus_Arg_PISARapaNui_11_page_7,153.8,113.1,1206.0
2787935,stimulus_Arg_PISARapaNui_11_page_7,154.1,112.9,1205.0
2787937,stimulus_Arg_PISARapaNui_11_page_7,154.0,112.6,1204.0
2787939,stimulus_Arg_PISARapaNui_11_page_7,154.0,112.0,1206.0
2787941,stimulus_Arg_PISARapaNui_11_page_7,153.6,112.4,1206.0
2787943,stimulus_Arg_PISARapaNui_11_page_7,153.8,112.8,1205.0
2787945,stimulus_Arg_PISARapaNui_11_page_7,154.3,112.2,1205.0
2787947,stimulus_Arg_PISARapaNui_11_page_7,154.5,111.9,1204.0
2787949,stimulus_Arg_PISARapaNui_11_page_7,154.4,112.1,1205.0
2787951,stimulus_Arg_PISARapaNui_11_page_7,154.0,112.4,1205.0
2787953,stimulus_Arg_PISARapaNui_11_page_7,154.0,112.9,1203.0
2787955,stimulus_Arg_PISARapaNui_11_page_7,154.1,113.0,1203.0
2787957,stimulus_Arg_PISARapaNui_11_page_7,154.3,113.0,1206.0
2787959,stimulus_Arg_PISARapaNui_11_page_7,154.1,113.1,1206.0
2787961,stimulus_Arg_PISARapaNui_11_page_7,153.8,113.2,1205.0
2787963,stimulus_Arg_PISARapaNui_11_page_7,153.6,113.1,1205.0
2787965,stimulus_Arg_PISARapaNui_11_page_7,153.8,113.3,1205.0
2787967,stimulus_Arg_PISARapaNui_11_page_7,154.1,113.6,1205.0
2787969,stimulus_Arg_PISARapaNui_11_page_7,154.6,113.6,1206.0
2787971,stimulus_Arg_PISARapaNui_11_page_7,154.6,113.6,1207.0
2787973,stimulus_Arg_PISARapaNui_11_page_7,154.2,113.1,1206.0
2787975,stimulus_Arg_PISARapaNui_11_page_7,153.5,112.2,1205.0
2787977,stimulus_Arg_PISARapaNui_11_page_7,151.9,109.6,1206.0
2787979,stimulus_Arg_PISARapaNui_11_page_7,147.1,105.5,1208.0
2787981,stimulus_Arg_PISARapaNui_11_page_7,140.2,102.2,1206.0
2787983,stimulus_Arg_PISARapaNui_11_page_7,130.2,98.6,1203.0
2787985,stimulus_Arg_PISARapaNui_11_page_7,120.1,95.9,1203.0
2787987,stimulus_Arg_PISARapaNui_11_page_7,110.7,94.2,1205.0
2787989,stimulus_Arg_PISARapaNui_11_page_7,102.9,92.5,1205.0
2787991,stimulus_Arg_PISARapaNui_11_page_7,93.9,91.8,1204.0
2787993,stimulus_Arg_PISARapaNui_11_page_7,88.3,91.1,1203.0
2787995,stimulus_Arg_PISARapaNui_11_page_7,85.1,89.8,1203.0
2787997,stimulus_Arg_PISARapaNui_11_page_7,82.7,88.2,1201.0
2787999,stimulus_Arg_PISARapaNui_11_page_7,82.0,87.2,1200.0
2788001,stimulus_Arg_PISARapaNui_11_page_7,82.0,87.2,1200.0
2788003,stimulus_Arg_PISARapaNui_11_page_7,82.5,88.1,1201.0
2788005,stimulus_Arg_PISARapaNui_11_page_7,82.7,89.0,1204.0
2788007,stimulus_Arg_PISARapaNui_11_page_7,82.8,89.5,1205.0
2788009,stimulus_Arg_PISARapaNui_11_page_7,83.2,90.0,1206.0
2788011,stimulus_Arg_PISARapaNui_11_page_7,83.5,90.4,1207.0
2788013,stimulus_Arg_PISARapaNui_11_page_7,83.7,90.9,1207.0
2788015,stimulus_Arg_PISARapaNui_11_page_7,83.7,91.5,1207.0
2788017,stimulus_Arg_PISARapaNui_11_page_7,83.8,91.6,1208.0
2788019,stimulus_Arg_PISARapaNui_11_page_7,84.1,91.8,1209.0
2788021,stimulus_Arg_PISARapaNui_11_page_7,84.3,91.8,1207.0
2788023,stimulus_Arg_PISARapaNui_11_page_7,84.4,91.8,1208.0
2788025,stimulus_Arg_PISARapaNui_11_page_7,84.5,91.7,1208.0
2788027,stimulus_Arg_PISARapaNui_11_page_7,84.0,91.3,1208.0
2788029,stimulus_Arg_PISARapaNui_11_page_7,83.6,91.2,1209.0
2788031,stimulus_Arg_PISARapaNui_11_page_7,83.6,91.5,1210.0
2788033,stimulus_Arg_PISARapaNui_11_page_7,83.6,92.0,1209.0
2788035,stimulus_Arg_PISARapaNui_11_page_7,84.0,92.1,1208.0
2788037,stimulus_Arg_PISARapaNui_11_page_7,84.4,92.2,1208.0
2788039,stimulus_Arg_PISARapaNui_11_page_7,84.3,92.5,1209.0
2788041,stimulus_Arg_PISARapaNui_11_page_7,84.3,93.3,1208.0
2788043,stimulus_Arg_PISARapaNui_11_page_7,84.5,93.5,1207.0
2788045,stimulus_Arg_PISARapaNui_11_page_7,84.4,93.6,1207.0
2788047,stimulus_Arg_PISARapaNui_11_page_7,84.7,93.9,1209.0
2788049,stimulus_Arg_PISARapaNui_11_page_7,85.1,94.3,1209.0
2788051,stimulus_Arg_PISARapaNui_11_page_7,85.3,94.4,1207.0
2788053,stimulus_Arg_PISARapaNui_11_page_7,85.5,94.2,1209.0
2788055,stimulus_Arg_PISARapaNui_11_page_7,85.7,94.2,1210.0
2788057,stimulus_Arg_PISARapaNui_11_page_7,85.8,94.2,1211.0
2788059,stimulus_Arg_PISARapaNui_11_page_7,85.9,94.5,1211.0
2788061,stimulus_Arg_PISARapaNui_11_page_7,85.6,94.9,1211.0
2788063,stimulus_Arg_PISARapaNui_11_page_7,85.7,95.1,1211.0
2788065,stimulus_Arg_PISARapaNui_11_page_7,86.4,95.3,1213.0
2788067,stimulus_Arg_PISARapaNui_11_page_7,86.4,95.0,1215.0
2788069,stimulus_Arg_PISARapaNui_11_page_7,86.4,94.6,1216.0
