time,screen,pixel_x,pixel_y,pupil
2990889,stimulus_Arg_PISARapaNui_11_question_11222,558.2,789.5,1323.0
2990891,stimulus_Arg_PISARapaNui_11_question_11222,558.2,790.0,1324.0
2990893,stimulus_Arg_PISARapaNui_11_question_11222,558.5,789.7,1321.0
2990895,stimulus_Arg_PISARapaNui_11_question_11222,559.0,789.3,1317.0
2990897,stimulus_Arg_PISARapaNui_11_question_11222,559.5,789.3,1316.0
2990899,stimulus_Arg_PISARapaNui_11_question_11222,559.7,789.2,1315.0
2990901,stimulus_Arg_PISARapaNui_11_question_11222,560.6,789.5,1313.0
2990903,stimulus_Arg_PISARapaNui_11_question_11222,560.8,789.5,1312.0
2990905,stimulus_Arg_PISARapaNui_11_question_11222,560.7,788.9,1311.0
2990907,stimulus_Arg_PISARapaNui_11_question_11222,561.0,789.2,1310.0
2990909,stimulus_Arg_PISARapaNui_11_question_11222,561.4,789.9,1311.0
2990911,stimulus_Arg_PISARapaNui_11_question_11222,561.3,789.2,1311.0
2990913,stimulus_Arg_PISARapaNui_11_question_11222,561.4,789.0,1308.0
2990915,stimulus_Arg_PISARapaNui_11_question_11222,561.3,789.2,1308.0
2990917,stimulus_Arg_PISARapaNui_11_question_11222,561.5,789.3,1309.0
2990919,stimulus_Arg_PISARapaNui_11_question_11222,562.1,789.2,1309.0
2990921,stimulus_Arg_PISARapaNui_11_question_11222,562.1,789.7,1308.0
2990923,stimulus_Arg_PISARapaNui_11_question_11222,562.1,790.2,1307.0
2990925,stimulus_Arg_PISARapaNui_11_question_11222,561.8,790.0,1307.0
2990927,stimulus_Arg_PISARapaNui_11_question_11222,561.7,790.4,1306.0
2990929,stimulus_Arg_PISARapaNui_11_question_11222,562.1,790.3,1305.0
2990931,stimulus_Arg_PISARapaNui_11_question_11222,562.0,789.8,1305.0
2990933,stimulus_Arg_PISARapaNui_11_question_11222,562.1,789.2,1305.0
2990935,stimulus_Arg_PISARapaNui_11_question_11222,562.8,789.8,1304.0
2990937,stimulus_Arg_PISARapaNui_11_question_11222,562.8,789.8,1303.0
2990939,stimulus_Arg_PISARapaNui_11_question_11222,562.4,788.9,1302.0
2990941,stimulus_Arg_PISARapaNui_11_question_11222,562.8,788.7,1300.0
2990943,stimulus_Arg_PISARapaNui_11_question_11222,563.4,788.7,1300.0
2990945,stimulus_Arg_PISARapaNui_11_question_11222,563.5,788.8,1299.0
2990947,stimulus_Arg_PISARapaNui_11_question_11222,563.7,788.0,1300.0
2990949,stimulus_Arg_PISARapaNui_11_question_11222,564.1,787.3,1301.0
2990951,stimulus_Arg_PISARapaNui_11_question_11222,564.2,787.6,1302.0
2990953,stimulus_Arg_PISARapaNui_11_question_11222,564.1,788.2,1301.0
2990955,stimulus_Arg_PISARapaNui_11_question_11222,563.5,788.0,1301.0
2990957,stimulus_Arg_PISARapaNui_11_question_11222,563.1,787.8,1300.0
2990959,stimulus_Arg_PISARapaNui_11_question_11222,563.4,787.8,1301.0
2990961,stimulus_Arg_PISARapaNui_11_question_11222,563.5,787.5,1302.0
2990963,stimulus_Arg_PISARapaNui_11_question_11222,563.2,787.4,1299.0
