time,screen,pixel_x,pixel_y,pupil
2964659,subject_difficulty_screen,192.3,232.8,1290.0
2964661,subject_difficulty_screen,192.1,232.8,1290.0
2964663,subject_difficulty_screen,192.3,232.6,1290.0
2964665,subject_difficulty_screen,192.4,233.2,1290.0
2964667,subject_difficulty_screen,192.2,233.6,1289.0
2964669,subject_difficulty_screen,192.2,233.8,1289.0
2964671,subject_difficulty_screen,192.2,233.6,1290.0
2964673,subject_difficulty_screen,192.0,234.2,1290.0
2964675,subject_difficulty_screen,192.0,234.7,1289.0
2964677,subject_difficulty_screen,191.8,234.9,1289.0
2964679,subject_difficulty_screen,191.8,235.0,1289.0
2964681,subject_difficulty_screen,191.8,234.9,1289.0
2964683,subject_difficulty_screen,192.1,234.4,1290.0
2964685,subject_difficulty_screen,192.4,234.0,1289.0
2964687,subject_difficulty_screen,192.6,233.9,1288.0
2964689,subject_difficulty_screen,192.8,233.4,1286.0
2964691,subject_difficulty_screen,193.1,232.8,1286.0
2964693,subject_difficulty_screen,193.5,232.3,1287.0
2964695,subject_difficulty_screen,193.5,232.7,1289.0
2964697,subject_difficulty_screen,193.6,232.6,1290.0
2964699,subject_difficulty_screen,193.6,232.6,1290.0
2964701,subject_difficulty_screen,193.6,233.0,1289.0
2964703,subject_difficulty_screen,193.7,233.0,1291.0
2964705,subject_difficulty_screen,193.9,232.8,1293.0
2964707,subject_difficulty_screen,194.0,232.9,1292.0
2964709,subject_difficulty_screen,194.4,233.0,1290.0
2964711,subject_difficulty_screen,194.8,232.7,1289.0
2964713,subject_difficulty_screen,195.4,232.4,1288.0
2964715,subject_difficulty_screen,196.4,231.7,1288.0
2964717,subject_difficulty_screen,196.7,231.2,1289.0
2964719,subject_difficulty_screen,197.3,231.2,1289.0
2964721,subject_difficulty_screen,198.1,231.3,1289.0
2964723,subject_difficulty_screen,198.0,231.5,1289.0
2964725,subject_difficulty_screen,197.8,232.0,1286.0
2964727,subject_difficulty_screen,197.9,232.7,1285.0
2964729,subject_difficulty_screen,198.0,233.2,1285.0
2964731,subject_difficulty_screen,197.6,233.4,1286.0
2964733,subject_difficulty_screen,197.5,233.1,1287.0
2964735,subject_difficulty_screen,197.6,233.1,1284.0
2964737,subject_difficulty_screen,197.7,232.6,1285.0
2964739,subject_difficulty_screen,198.1,232.3,1287.0
2964741,subject_difficulty_screen,197.4,232.4,1287.0
2964743,subject_difficulty_screen,197.5,232.5,1289.0
2964745,subject_difficulty_screen,197.1,232.5,1290.0
2964747,subject_difficulty_screen,197.0,232.6,1288.0
2964749,subject_difficulty_screen,197.1,232.8,1287.0
2964751,subject_difficulty_screen,197.2,232.8,1286.0
2964753,subject_difficulty_screen,197.0,233.6,1286.0
2964755,subject_difficulty_screen,196.8,234.1,1285.0
2964757,subject_difficulty_screen,197.0,234.3,1284.0
2964759,subject_difficulty_screen,197.1,234.4,1282.0
2964761,subject_difficulty_screen,197.0,234.9,1281.0
2964763,subject_difficulty_screen,197.1,234.8,1280.0
2964765,subject_difficulty_screen,197.2,235.1,1280.0
2964767,subject_difficulty_screen,197.3,235.4,1281.0
2964769,subject_difficulty_screen,197.3,235.8,1281.0
2964771,subject_difficulty_screen,197.7,235.9,1283.0
2964773,subject_difficulty_screen,198.1,236.1,1285.0
2964775,subject_difficulty_screen,198.5,236.5,1283.0
2964777,subject_difficulty_screen,198.8,236.8,1283.0
2964779,subject_difficulty_screen,198.8,236.4,1285.0
2964781,subject_difficulty_screen,199.1,236.0,1287.0
2964783,subject_difficulty_screen,199.7,235.9,1286.0
2964785,subject_difficulty_screen,199.8,235.9,1285.0
2964787,subject_difficulty_screen,200.6,235.9,1282.0
2964789,subject_difficulty_screen,201.3,235.9,1281.0
2964791,subject_difficulty_screen,201.5,235.9,1281.0
2964793,subject_difficulty_screen,201.4,235.4,1281.0
2964795,subject_difficulty_screen,201.2,235.5,1277.0
2964797,subject_difficulty_screen,201.2,236.1,1274.0
2964799,subject_difficulty_screen,201.1,236.1,1274.0
2964801,subject_difficulty_screen,200.8,236.1,1275.0
2964803,subject_difficulty_screen,201.2,236.1,1278.0
2964805,subject_difficulty_screen,201.1,236.4,1277.0
2964807,subject_difficulty_screen,200.8,236.1,1277.0
2964809,subject_difficulty_screen,200.7,236.0,1278.0
2964811,subject_difficulty_screen,200.4,235.9,1280.0
2964813,subject_difficulty_screen,200.4,235.8,1277.0
2964815,subject_difficulty_screen,200.8,236.0,1276.0
2964817,subject_difficulty_screen,201.0,236.1,1276.0
2964819,subject_difficulty_screen,201.1,236.3,1275.0
2964821,subject_difficulty_screen,201.6,236.4,1275.0
2964823,subject_difficulty_screen,201.4,236.3,1276.0
2964825,subject_difficulty_screen,201.3,236.3,1276.0
2964827,subject_difficulty_screen,201.3,236.4,1276.0
2964829,subject_difficulty_screen,201.4,236.4,1275.0
2964831,subject_difficulty_screen,201.5,235.7,1274.0
2964833,subject_difficulty_screen,201.7,235.8,1275.0
2964835,subject_difficulty_screen,201.3,235.9,1273.0
2964837,subject_difficulty_screen,201.0,236.4,1271.0
2964839,subject_difficulty_screen,201.2,237.1,1271.0
2964841,subject_difficulty_screen,201.5,237.2,1271.0
2964843,subject_difficulty_screen,201.5,237.0,1272.0
2964845,subject_difficulty_screen,202.0,236.8,1272.0
2964847,subject_difficulty_screen,201.9,236.7,1272.0
2964849,subject_difficulty_screen,201.3,236.4,1273.0
2964851,subject_difficulty_screen,201.9,236.0,1274.0
2964853,subject_difficulty_screen,202.4,235.7,1273.0
