time,screen,pixel_x,pixel_y,pupil
1012235,stimulus_PopSci_MultiplEYE_1_page_2,83.7,141.4,1238.0
1012237,stimulus_PopSci_MultiplEYE_1_page_2,83.8,141.2,1238.0
1012239,stimulus_PopSci_MultiplEYE_1_page_2,83.9,141.2,1239.0
1012241,stimulus_PopSci_MultiplEYE_1_page_2,83.9,141.1,1240.0
1012243,stimulus_PopSci_MultiplEYE_1_page_2,83.9,140.8,1241.0
1012245,stimulus_PopSci_MultiplEYE_1_page_2,83.6,141.0,1241.0
1012247,stimulus_PopSci_MultiplEYE_1_page_2,83.7,141.4,1241.0
1012249,stimulus_PopSci_MultiplEYE_1_page_2,84.3,141.3,1242.0
1012251,stimulus_PopSci_MultiplEYE_1_page_2,84.5,141.2,1244.0
1012253,stimulus_PopSci_MultiplEYE_1_page_2,84.9,141.3,1245.0
1012255,stimulus_PopSci_MultiplEYE_1_page_2,85.1,141.4,1243.0
1012257,stimulus_PopSci_MultiplEYE_1_page_2,84.8,141.5,1242.0
1012259,stimulus_PopSci_MultiplEYE_1_page_2,85.4,141.4,1244.0
1012261,stimulus_PopSci_MultiplEYE_1_page_2,85.8,141.4,1244.0
1012263,stimulus_PopSci_MultiplEYE_1_page_2,86.1,141.6,1243.0
1012265,stimulus_PopSci_MultiplEYE_1_page_2,86.1,142.1,1242.0
1012267,stimulus_PopSci_MultiplEYE_1_page_2,86.8,142.7,1244.0
1012269,stimulus_PopSci_MultiplEYE_1_page_2,87.2,143.9,1246.0
1012271,stimulus_PopSci_MultiplEYE_1_page_2,87.4,145.4,1244.0
1012273,stimulus_PopSci_MultiplEYE_1_page_2,87.9,146.6,1242.0
1012275,stimulus_PopSci_MultiplEYE_1_page_2,88.1,147.4,1243.0
1012277,stimulus_PopSci_MultiplEYE_1_page_2,88.1,147.3,1243.0
1012279,stimulus_PopSci_MultiplEYE_1_page_2,87.3,146.1,1244.0
1012281,stimulus_PopSci_MultiplEYE_1_page_2,85.6,144.0,1245.0
1012283,stimulus_PopSci_MultiplEYE_1_page_2,82.4,142.3,1245.0
1012285,stimulus_PopSci_MultiplEYE_1_page_2,78.6,140.9,1245.0
1012287,stimulus_PopSci_MultiplEYE_1_page_2,75.6,139.0,1245.0
1012289,stimulus_PopSci_MultiplEYE_1_page_2,70.9,138.4,1241.0
1012291,stimulus_PopSci_MultiplEYE_1_page_2,67.0,138.4,1239.0
1012293,stimulus_PopSci_MultiplEYE_1_page_2,65.1,138.4,1241.0
