time,screen,pixel_x,pixel_y,pupil
1273611,stimulus_PopSci_MultiplEYE_1_question_1111,186.5,150.5,1173.0
1273613,stimulus_PopSci_MultiplEYE_1_question_1111,186.6,150.3,1173.0
1273615,stimulus_PopSci_MultiplEYE_1_question_1111,186.3,150.3,1173.0
1273617,stimulus_PopSci_MultiplEYE_1_question_1111,186.1,150.2,1172.0
1273619,stimulus_PopSci_MultiplEYE_1_question_1111,186.2,149.7,1172.0
1273621,stimulus_PopSci_MultiplEYE_1_question_1111,186.2,149.1,1175.0
1273623,stimulus_PopSci_MultiplEYE_1_question_1111,185.6,148.6,1175.0
1273625,stimulus_PopSci_MultiplEYE_1_question_1111,185.3,148.1,1172.0
1273627,stimulus_PopSci_MultiplEYE_1_question_1111,185.1,147.5,1172.0
1273629,stimulus_PopSci_MultiplEYE_1_question_1111,184.8,147.4,1173.0
1273631,stimulus_PopSci_MultiplEYE_1_question_1111,184.3,147.3,1173.0
1273633,stimulus_PopSci_MultiplEYE_1_question_1111,184.0,147.7,1173.0
1273635,stimulus_PopSci_MultiplEYE_1_question_1111,184.2,148.5,1173.0
1273637,stimulus_PopSci_MultiplEYE_1_question_1111,184.1,148.6,1172.0
1273639,stimulus_PopSci_MultiplEYE_1_question_1111,184.1,149.0,1172.0
1273641,stimulus_PopSci_MultiplEYE_1_question_1111,184.1,150.0,1169.0
1273643,stimulus_PopSci_MultiplEYE_1_question_1111,184.0,150.5,1168.0
1273645,stimulus_PopSci_MultiplEYE_1_question_1111,184.1,150.6,1169.0
1273647,stimulus_PopSci_MultiplEYE_1_question_1111,183.7,150.6,1171.0
1273649,stimulus_PopSci_MultiplEYE_1_question_1111,183.6,150.4,1171.0
1273651,stimulus_PopSci_MultiplEYE_1_question_1111,184.2,150.4,1171.0
1273653,stimulus_PopSci_MultiplEYE_1_question_1111,185.0,150.3,1171.0
1273655,stimulus_PopSci_MultiplEYE_1_question_1111,185.8,149.8,1172.0
1273657,stimulus_PopSci_MultiplEYE_1_question_1111,186.2,149.3,1172.0
1273659,stimulus_PopSci_MultiplEYE_1_question_1111,186.7,148.7,1173.0
