time,screen,pixel_x,pixel_y,pupil
785797,stimulus_Ins_HumanRights_2_page_8,84.6,134.3,1207.0
785799,stimulus_Ins_HumanRights_2_page_8,84.9,134.5,1207.0
785801,stimulus_Ins_HumanRights_2_page_8,85.5,134.7,1208.0
785803,stimulus_Ins_HumanRights_2_page_8,85.3,134.9,1209.0
785805,stimulus_Ins_HumanRights_2_page_8,85.1,135.0,1208.0
785807,stimulus_Ins_HumanRights_2_page_8,85.1,135.6,1209.0
785809,stimulus_Ins_HumanRights_2_page_8,85.5,135.6,1208.0
785811,stimulus_Ins_HumanRights_2_page_8,85.8,135.6,1208.0
785813,stimulus_Ins_HumanRights_2_page_8,86.0,135.6,1209.0
785815,stimulus_Ins_HumanRights_2_page_8,85.9,135.5,1209.0
785817,stimulus_Ins_HumanRights_2_page_8,85.4,135.5,1210.0
785819,stimulus_Ins_HumanRights_2_page_8,85.3,135.7,1209.0
785821,stimulus_Ins_HumanRights_2_page_8,86.0,135.8,1207.0
785823,stimulus_Ins_HumanRights_2_page_8,85.9,136.1,1209.0
785825,stimulus_Ins_HumanRights_2_page_8,85.6,136.7,1211.0
785827,stimulus_Ins_HumanRights_2_page_8,85.6,137.2,1209.0
785829,stimulus_Ins_HumanRights_2_page_8,85.4,137.6,1207.0
785831,stimulus_Ins_HumanRights_2_page_8,85.2,138.1,1208.0
785833,stimulus_Ins_HumanRights_2_page_8,85.3,138.7,1210.0
785835,stimulus_Ins_HumanRights_2_page_8,85.6,138.9,1210.0
785837,stimulus_Ins_HumanRights_2_page_8,85.6,138.9,1209.0
785839,stimulus_Ins_HumanRights_2_page_8,85.8,139.0,1209.0
785841,stimulus_Ins_HumanRights_2_page_8,86.0,139.3,1211.0
785843,stimulus_Ins_HumanRights_2_page_8,85.7,139.6,1213.0
785845,stimulus_Ins_HumanRights_2_page_8,85.6,139.8,1214.0
785847,stimulus_Ins_HumanRights_2_page_8,85.8,139.7,1214.0
785849,stimulus_Ins_HumanRights_2_page_8,86.1,139.8,1216.0
