time,screen,pixel_x,pixel_y,pupil
869793,stimulus_Ins_HumanRights_2_question_2122,351.4,776.4,1294.0
869795,stimulus_Ins_HumanRights_2_question_2122,351.3,776.4,1294.0
869797,stimulus_Ins_HumanRights_2_question_2122,350.9,776.2,1294.0
869799,stimulus_Ins_HumanRights_2_question_2122,351.0,776.1,1295.0
869801,stimulus_Ins_HumanRights_2_question_2122,351.0,776.1,1294.0
869803,stimulus_Ins_HumanRights_2_question_2122,351.0,776.2,1295.0
869805,stimulus_Ins_HumanRights_2_question_2122,351.0,776.2,1296.0
869807,stimulus_Ins_HumanRights_2_question_2122,351.1,776.8,1295.0
869809,stimulus_Ins_HumanRights_2_question_2122,351.6,777.0,1295.0
869811,stimulus_Ins_HumanRights_2_question_2122,351.9,776.8,1296.0
869813,stimulus_Ins_HumanRights_2_question_2122,351.8,776.9,1297.0
869815,stimulus_Ins_HumanRights_2_question_2122,351.5,776.9,1298.0
869817,stimulus_Ins_HumanRights_2_question_2122,351.5,777.4,1298.0
869819,stimulus_Ins_HumanRights_2_question_2122,351.2,777.4,1297.0
869821,stimulus_Ins_HumanRights_2_question_2122,351.2,777.2,1297.0
869823,stimulus_Ins_HumanRights_2_question_2122,351.4,777.5,1297.0
869825,stimulus_Ins_HumanRights_2_question_2122,351.6,777.6,1297.0
869827,stimulus_Ins_HumanRights_2_question_2122,352.0,777.3,1295.0
869829,stimulus_Ins_HumanRights_2_question_2122,352.3,777.2,1297.0
869831,stimulus_Ins_HumanRights_2_question_2122,352.8,777.4,1298.0
869833,stimulus_Ins_HumanRights_2_question_2122,353.1,777.6,1297.0
869835,stimulus_Ins_HumanRights_2_question_2122,352.6,777.5,1298.0
869837,stimulus_Ins_HumanRights_2_question_2122,352.3,777.3,1300.0
869839,stimulus_Ins_HumanRights_2_question_2122,352.1,777.1,1299.0
869841,stimulus_Ins_HumanRights_2_question_2122,352.5,777.0,1298.0
869843,stimulus_Ins_HumanRights_2_question_2122,353.2,777.1,1297.0
869845,stimulus_Ins_HumanRights_2_question_2122,353.3,777.3,1297.0
869847,stimulus_Ins_HumanRights_2_question_2122,353.4,777.2,1299.0
869849,stimulus_Ins_HumanRights_2_question_2122,353.7,777.1,1299.0
869851,stimulus_Ins_HumanRights_2_question_2122,353.8,777.3,1299.0
869853,stimulus_Ins_HumanRights_2_question_2122,353.7,777.3,1298.0
869855,stimulus_Ins_HumanRights_2_question_2122,353.7,777.7,1300.0
869857,stimulus_Ins_HumanRights_2_question_2122,353.3,777.6,1301.0
869859,stimulus_Ins_HumanRights_2_question_2122,353.1,777.3,1300.0
869861,stimulus_Ins_HumanRights_2_question_2122,353.2,777.8,1299.0
869863,stimulus_Ins_HumanRights_2_question_2122,353.4,777.7,1299.0
869865,stimulus_Ins_HumanRights_2_question_2122,353.6,777.2,1299.0
869867,stimulus_Ins_HumanRights_2_question_2122,353.9,776.9,1299.0
869869,stimulus_Ins_HumanRights_2_question_2122,353.9,777.0,1300.0
869871,stimulus_Ins_HumanRights_2_question_2122,353.9,776.8,1301.0
869873,stimulus_Ins_HumanRights_2_question_2122,353.8,776.5,1301.0
869875,stimulus_Ins_HumanRights_2_question_2122,353.7,776.6,1302.0
869877,stimulus_Ins_HumanRights_2_question_2122,353.6,776.8,1300.0
869879,stimulus_Ins_HumanRights_2_question_2122,353.4,776.7,1298.0
869881,stimulus_Ins_HumanRights_2_question_2122,353.2,777.1,1299.0
869883,stimulus_Ins_HumanRights_2_question_2122,353.0,777.2,1300.0
869885,stimulus_Ins_HumanRights_2_question_2122,352.8,776.4,1300.0
869887,stimulus_Ins_HumanRights_2_question_2122,353.4,776.5,1298.0
869889,stimulus_Ins_HumanRights_2_question_2122,353.4,776.6,1297.0
869891,stimulus_Ins_HumanRights_2_question_2122,353.1,776.5,1298.0
869893,stimulus_Ins_HumanRights_2_question_2122,353.2,776.3,1298.0
