time,screen,pupil,subject_id,stimulus_id,pixel
2363319,stimulus_Lit_NorthWind_7_page_1,1589.0,7,practice2,76.5
2363319,stimulus_Lit_NorthWind_7_page_1,1589.0,7,practice2,104.1
2363321,stimulus_Lit_NorthWind_7_page_1,1587.0,7,practice2,76.2
2363321,stimulus_Lit_NorthWind_7_page_1,1587.0,7,practice2,104.5
2363323,stimulus_Lit_NorthWind_7_page_1,1588.0,7,practice2,76.6
2363323,stimulus_Lit_NorthWind_7_page_1,1588.0,7,practice2,104.6
2363325,stimulus_Lit_NorthWind_7_page_1,1590.0,7,practice2,76.6
2363325,stimulus_Lit_NorthWind_7_page_1,1590.0,7,practice2,104.1
2363327,stimulus_Lit_NorthWind_7_page_1,1590.0,7,practice2,76.2
2363327,stimulus_Lit_NorthWind_7_page_1,1590.0,7,practice2,104.3
2363329,stimulus_Lit_NorthWind_7_page_1,1590.0,7,practice2,76.1
2363329,stimulus_Lit_NorthWind_7_page_1,1590.0,7,practice2,104.5
2363331,stimulus_Lit_NorthWind_7_page_1,1588.0,7,practice2,76.6
2363331,stimulus_Lit_NorthWind_7_page_1,1588.0,7,practice2,104.5
2363333,stimulus_Lit_NorthWind_7_page_1,1585.0,7,practice2,77.0
2363333,stimulus_Lit_NorthWind_7_page_1,1585.0,7,practice2,104.6
2363335,stimulus_Lit_NorthWind_7_page_1,1585.0,7,practice2,77.1
2363335,stimulus_Lit_NorthWind_7_page_1,1585.0,7,practice2,104.6
2363337,stimulus_Lit_NorthWind_7_page_1,1587.0,7,practice2,76.7
2363337,stimulus_Lit_NorthWind_7_page_1,1587.0,7,practice2,105.1
2363339,stimulus_Lit_NorthWind_7_page_1,1589.0,7,practice2,76.8
2363339,stimulus_Lit_NorthWind_7_page_1,1589.0,7,practice2,105.2
2363341,stimulus_Lit_NorthWind_7_page_1,1591.0,7,practice2,76.9
2363341,stimulus_Lit_NorthWind_7_page_1,1591.0,7,practice2,105.0
2363343,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,77.1
2363343,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,104.7
2363345,stimulus_Lit_NorthWind_7_page_1,1595.0,7,practice2,77.4
2363345,stimulus_Lit_NorthWind_7_page_1,1595.0,7,practice2,104.4
2363347,stimulus_Lit_NorthWind_7_page_1,1596.0,7,practice2,77.1
2363347,stimulus_Lit_NorthWind_7_page_1,1596.0,7,practice2,104.4
2363349,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,76.7
2363349,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,104.4
2363351,stimulus_Lit_NorthWind_7_page_1,1589.0,7,practice2,76.6
2363351,stimulus_Lit_NorthWind_7_page_1,1589.0,7,practice2,104.7
2363353,stimulus_Lit_NorthWind_7_page_1,1586.0,7,practice2,76.6
2363353,stimulus_Lit_NorthWind_7_page_1,1586.0,7,practice2,104.8
2363355,stimulus_Lit_NorthWind_7_page_1,1588.0,7,practice2,76.6
2363355,stimulus_Lit_NorthWind_7_page_1,1588.0,7,practice2,104.9
2363357,stimulus_Lit_NorthWind_7_page_1,1591.0,7,practice2,76.6
2363357,stimulus_Lit_NorthWind_7_page_1,1591.0,7,practice2,104.9
2363359,stimulus_Lit_NorthWind_7_page_1,1592.0,7,practice2,76.6
2363359,stimulus_Lit_NorthWind_7_page_1,1592.0,7,practice2,105.1
2363361,stimulus_Lit_NorthWind_7_page_1,1592.0,7,practice2,76.7
2363361,stimulus_Lit_NorthWind_7_page_1,1592.0,7,practice2,105.3
2363363,stimulus_Lit_NorthWind_7_page_1,1593.0,7,practice2,76.6
2363363,stimulus_Lit_NorthWind_7_page_1,1593.0,7,practice2,105.3
2363365,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,76.2
2363365,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,105.2
2363367,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,76.3
2363367,stimulus_Lit_NorthWind_7_page_1,1594.0,7,practice2,104.9
