stimulus,word_index,word_index_in_sentence,word,sentence,surprisal
arg_pisarapanui_11_page_1,0,0,Rapa,Rapa Nui - Introducere,7.648465321994529
arg_pisarapanui_11_page_1,1,1,Nui,Rapa Nui - Introducere,10.83511884578395
arg_pisarapanui_11_page_1,2,2,-,Rapa Nui - Introducere,1.7222734554507215
arg_pisarapanui_11_page_1,3,3,Introducere,Rapa Nui - Introducere,11.375260646210902
arg_pisarapanui_11_page_1,4,0,Imaginează-ți,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",14.881227920645214
arg_pisarapanui_11_page_1,5,1,"că,","Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",20.246971413306746
arg_pisarapanui_11_page_1,6,2,săptămâna,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",0.8901245618227349
arg_pisarapanui_11_page_1,7,3,"viitoare,","Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",19.40378316772995
arg_pisarapanui_11_page_1,8,4,se,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",0.601462306516416
arg_pisarapanui_11_page_1,9,5,organizează,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",3.96800389428469
arg_pisarapanui_11_page_1,10,6,o,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",0.0093384614932706
arg_pisarapanui_11_page_1,11,7,conferință,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",5.625066928302507
arg_pisarapanui_11_page_1,12,8,la,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",3.156799666768194
arg_pisarapanui_11_page_1,13,9,biblioteca,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",3.803629904424951
arg_pisarapanui_11_page_1,14,10,locală.,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",11.00562256400488
arg_pisarapanui_11_page_1,15,0,La,La acest eveniment participă o profesoară de la universitatea din apropiere.,0.0016303705087058
arg_pisarapanui_11_page_1,16,1,acest,La acest eveniment participă o profesoară de la universitatea din apropiere.,0.1002805752712663
