page,word_idx,word,question_image_version
question_02111,0,Care,question_images_version_238
question_02111,1,aspecte,question_images_version_238
question_02111,2,sunt,question_images_version_238
question_02111,3,considerate,question_images_version_238
question_02111,4,fundamentul,question_images_version_238
question_02111,5,"libertății,",question_images_version_238
question_02111,6,dreptății,question_images_version_238
question_02111,7,și,question_images_version_238
question_02111,8,păcii,question_images_version_238
question_02111,9,în,question_images_version_238
question_02111,10,lume?,question_images_version_238
Ins_HumanRights_2_question_02111_target,0,Recunoașterea,question_images_version_238
Ins_HumanRights_2_question_02111_target,1,demnității,question_images_version_238
Ins_HumanRights_2_question_02111_target,2,și,question_images_version_238
Ins_HumanRights_2_question_02111_target,3,a,question_images_version_238
Ins_HumanRights_2_question_02111_target,4,drepturilor,question_images_version_238
Ins_HumanRights_2_question_02111_target,5,egale,question_images_version_238
Ins_HumanRights_2_question_02111_target,6,ale,question_images_version_238
Ins_HumanRights_2_question_02111_target,7,fiecărei,question_images_version_238
Ins_HumanRights_2_question_02111_target,8,persoane.,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_a,0,Recunoașterea,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_a,1,egalității,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_a,2,tuturor,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_a,3,oamenilor.,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_b,0,Recunoașterea,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_b,1,necesității,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_b,2,de,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_b,3,a,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_b,4,preda,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_b,5,drepturi,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_b,6,egale,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_b,7,fiecărei,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_b,8,persoane.,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,0,Recunoașterea,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,1,faptului,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,2,că,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,3,fiecare,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,4,persoană,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,5,are,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,6,același,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,7,drept,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,8,la,question_images_version_238
Ins_HumanRights_2_question_02111_distractor_c,9,viață.,question_images_version_238
question_02112,0,Care,question_images_version_238
question_02112,1,este,question_images_version_238
question_02112,2,considerată,question_images_version_238
question_02112,3,cea,question_images_version_238
question_02112,4,mai,question_images_version_238
question_02112,5,înaltă,question_images_version_238
question_02112,6,aspirație,question_images_version_238
question_02112,7,a,question_images_version_238
question_02112,8,omenirii?,question_images_version_238
Ins_HumanRights_2_question_02112_target,0,Trăirea,question_images_version_238
Ins_HumanRights_2_question_02112_target,1,unei,question_images_version_238
Ins_HumanRights_2_question_02112_target,2,vieți,question_images_version_238
Ins_HumanRights_2_question_02112_target,3,cu,question_images_version_238
Ins_HumanRights_2_question_02112_target,4,libertate,question_images_version_238
Ins_HumanRights_2_question_02112_target,5,de,question_images_version_238
Ins_HumanRights_2_question_02112_target,6,"exprimare,",question_images_version_238
Ins_HumanRights_2_question_02112_target,7,fără,question_images_version_238
Ins_HumanRights_2_question_02112_target,8,frică,question_images_version_238
Ins_HumanRights_2_question_02112_target,9,și,question_images_version_238
Ins_HumanRights_2_question_02112_target,10,lipsuri.,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,0,Trăirea,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,1,într-o,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,2,lume,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,3,a,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,4,libertății,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,5,și,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,6,a,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,7,bucuriei,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,8,pentru,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,9,întreaga,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_a,10,omenire.,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_b,0,Trăirea,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_b,1,într-o,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_b,2,lume,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_b,3,a,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_b,4,egalității,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_b,5,între,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_b,6,toate,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_b,7,genurile.,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,0,Trăirea,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,1,unei,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,2,vieți,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,3,de,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,4,"pace,",question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,5,precum,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,6,și,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,7,o,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,8,viață,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,9,lipsită,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,10,de,question_images_version_238
Ins_HumanRights_2_question_02112_distractor_c,11,criză.,question_images_version_238
question_02121,0,Care,question_images_version_238
question_02121,1,este,question_images_version_238
