stimulus,subject_id,word_index,word_index_in_sentence,word_id,word,sentence_index,sentence_id,sentence,fixations_list,fixations_TRT,surprisal
arg_pisarapanui_11_page_1,23,0,0.0,arg_pisarapanui_11_page_1_0,Rapa,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,1,1.0,arg_pisarapanui_11_page_1_1,Nui,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[206, 192]",398,
arg_pisarapanui_11_page_1,23,2,2.0,arg_pisarapanui_11_page_1_2,-,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,3,3.0,arg_pisarapanui_11_page_1_3,Introducere,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[122, 332, 200]",654,
arg_pisarapanui_11_page_1,23,4,4.0,arg_pisarapanui_11_page_1_4,Imaginează-ți,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,5,5.0,arg_pisarapanui_11_page_1_5,"că,",0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[216],216,
arg_pisarapanui_11_page_1,23,6,6.0,arg_pisarapanui_11_page_1_6,săptămâna,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[364, 228]",592,
arg_pisarapanui_11_page_1,23,7,7.0,arg_pisarapanui_11_page_1_7,"viitoare,",0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[122, 184]",306,
arg_pisarapanui_11_page_1,23,8,8.0,arg_pisarapanui_11_page_1_8,se,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,9,9.0,arg_pisarapanui_11_page_1_9,organizează,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[218, 104]",322,
arg_pisarapanui_11_page_1,23,10,10.0,arg_pisarapanui_11_page_1_10,o,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,11,11.0,arg_pisarapanui_11_page_1_11,conferință,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,12,12.0,arg_pisarapanui_11_page_1_12,la,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,13,13.0,arg_pisarapanui_11_page_1_13,biblioteca,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,14,14.0,arg_pisarapanui_11_page_1_14,locală.,0.0,arg_pisarapanui_11_page_1_0,"Rapa Nui - Introducere

Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[160],160,
arg_pisarapanui_11_page_1,23,15,0.0,arg_pisarapanui_11_page_1_15,La,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0,
arg_pisarapanui_11_page_1,23,16,1.0,arg_pisarapanui_11_page_1_16,acest,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,"[112, 242]",354,
arg_pisarapanui_11_page_1,23,17,2.0,arg_pisarapanui_11_page_1_17,eveniment,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,[228],228,
arg_pisarapanui_11_page_1,23,18,3.0,arg_pisarapanui_11_page_1_18,participă,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,[260],260,
arg_pisarapanui_11_page_1,23,19,4.0,arg_pisarapanui_11_page_1_19,o,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0,
arg_pisarapanui_11_page_1,23,20,5.0,arg_pisarapanui_11_page_1_20,profesoară,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,[206],206,
arg_pisarapanui_11_page_1,23,21,6.0,arg_pisarapanui_11_page_1_21,de,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0,
arg_pisarapanui_11_page_1,23,22,7.0,arg_pisarapanui_11_page_1_22,la,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0,
arg_pisarapanui_11_page_1,23,23,8.0,arg_pisarapanui_11_page_1_23,universitatea,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,"[164, 142]",306,
arg_pisarapanui_11_page_1,23,24,9.0,arg_pisarapanui_11_page_1_24,din,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0,
arg_pisarapanui_11_page_1,23,25,10.0,arg_pisarapanui_11_page_1_25,apropiere.,1.0,arg_pisarapanui_11_page_1_1,La acest eveniment participă o profesoară de la universitatea din apropiere.,"[246, 146]",392,
arg_pisarapanui_11_page_1,23,26,0.0,arg_pisarapanui_11_page_1_26,Ea,2.0,arg_pisarapanui_11_page_1_2,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.
",[],0,
arg_pisarapanui_11_page_1,23,27,1.0,arg_pisarapanui_11_page_1_27,își,2.0,arg_pisarapanui_11_page_1_2,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.
",[236],236,
arg_pisarapanui_11_page_1,23,28,2.0,arg_pisarapanui_11_page_1_28,va,2.0,arg_pisarapanui_11_page_1_2,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.
",[],0,
arg_pisarapanui_11_page_1,23,29,3.0,arg_pisarapanui_11_page_1_29,prezenta,2.0,arg_pisarapanui_11_page_1_2,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.
","[236, 282, 230, 220]",968,
