stimulus,subject_id,word_index,word_index_in_sentence,word_id,word,sentence_index,sentence_id,sentence,fixations_list,fixations_TRT,surprisal
arg_pisarapanui_11_page_1,23,0,0.0,arg_pisarapanui_11_page_1_0,Rapa,0.0,arg_pisarapanui_11_page_1_0,Rapa Nui - Introducere,[],0,
arg_pisarapanui_11_page_1,23,1,1.0,arg_pisarapanui_11_page_1_1,Nui,0.0,arg_pisarapanui_11_page_1_0,Rapa Nui - Introducere,"[206, 192]",398,
arg_pisarapanui_11_page_1,23,2,2.0,arg_pisarapanui_11_page_1_2,-,0.0,arg_pisarapanui_11_page_1_0,Rapa Nui - Introducere,[],0,
arg_pisarapanui_11_page_1,23,3,3.0,arg_pisarapanui_11_page_1_3,Introducere,0.0,arg_pisarapanui_11_page_1_0,Rapa Nui - Introducere,"[122, 332, 200]",654,
arg_pisarapanui_11_page_1,23,4,0.0,arg_pisarapanui_11_page_1_4,Imaginează-ți,1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,5,1.0,arg_pisarapanui_11_page_1_5,"că,",1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[216],216,
arg_pisarapanui_11_page_1,23,6,2.0,arg_pisarapanui_11_page_1_6,săptămâna,1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[364, 228]",592,
arg_pisarapanui_11_page_1,23,7,3.0,arg_pisarapanui_11_page_1_7,"viitoare,",1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[122, 184]",306,
arg_pisarapanui_11_page_1,23,8,4.0,arg_pisarapanui_11_page_1_8,se,1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,9,5.0,arg_pisarapanui_11_page_1_9,organizează,1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[218, 104]",322,
arg_pisarapanui_11_page_1,23,10,6.0,arg_pisarapanui_11_page_1_10,o,1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,11,7.0,arg_pisarapanui_11_page_1_11,conferință,1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,12,8.0,arg_pisarapanui_11_page_1_12,la,1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,13,9.0,arg_pisarapanui_11_page_1_13,biblioteca,1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0,
arg_pisarapanui_11_page_1,23,14,10.0,arg_pisarapanui_11_page_1_14,locală.,1.0,arg_pisarapanui_11_page_1_1,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[160],160,
arg_pisarapanui_11_page_1,23,15,0.0,arg_pisarapanui_11_page_1_15,La,2.0,arg_pisarapanui_11_page_1_2,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0,
arg_pisarapanui_11_page_1,23,16,1.0,arg_pisarapanui_11_page_1_16,acest,2.0,arg_pisarapanui_11_page_1_2,La acest eveniment participă o profesoară de la universitatea din apropiere.,"[112, 242]",354,
