stimulus,subject_id,word_index,word,sentence,fixations_list,fixations_TRT,
arg_pisacowsmilk_10_page_1,8,0,Laptele,Laptele de vacă - Introducere,"[197, 305]",502,
arg_pisacowsmilk_10_page_1,8,1,de,Laptele de vacă - Introducere,[163],163,
arg_pisacowsmilk_10_page_1,8,2,vacă,Laptele de vacă - Introducere,[],0,
arg_pisacowsmilk_10_page_1,8,3,-,Laptele de vacă - Introducere,[],0,
arg_pisacowsmilk_10_page_1,8,4,Introducere,Laptele de vacă - Introducere,"[258, 123]",381,
arg_pisacowsmilk_10_page_1,8,5,În,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,6,anumite,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,7,"locuri,","În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[208],208,
arg_pisacowsmilk_10_page_1,8,8,precum,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,9,Statele,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[248],248,
arg_pisacowsmilk_10_page_1,8,10,Unite,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,11,a,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,12,bea,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,13,lapte,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,14,de,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,15,vacă,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[277],277,
arg_pisacowsmilk_10_page_1,8,16,este,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[240],240,
arg_pisacowsmilk_10_page_1,8,17,ceva,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[272],272,
arg_pisacowsmilk_10_page_1,8,18,firesc,"În anumite locuri, precum Statele Unite, a bea lapte de vacă este ceva firesc.",[],0,
arg_pisacowsmilk_10_page_1,8,19,Imaginează-și,"Imaginează-și că trei tineri: Ana, Chris și Sam sunt la o cafenea în SUA.","[137, 263]",400,
arg_pisacowsmilk_10_page_1,8,20,că,"Imaginează-și că trei tineri: Ana, Chris și Sam sunt la o cafenea în SUA.",[212],212,
arg_pisacowsmilk_10_page_1,8,21,trei,"Imaginează-și că trei tineri: Ana, Chris și Sam sunt la o cafenea în SUA.",[261],261,
arg_pisacowsmilk_10_page_1,8,22,tineri:,"Imaginează-și că trei tineri: Ana, Chris și Sam sunt la o cafenea în SUA.",[265],265,
arg_pisacowsmilk_10_page_1,8,23,"Ana,","Imaginează-și că trei tineri: Ana, Chris și Sam sunt la o cafenea în SUA.","[359, 161, 271]",791,
arg_pisacowsmilk_10_page_1,8,24,Chris,"Imaginează-și că trei tineri: Ana, Chris și Sam sunt la o cafenea în SUA.",[218],218,
arg_pisacowsmilk_10_page_1,8,25,și,"Imaginează-și că trei tineri: Ana, Chris și Sam sunt la o cafenea în SUA.",[],0,
arg_pisacowsmilk_10_page_1,8,26,Sam,"Imaginează-și că trei tineri: Ana, Chris și Sam sunt la o cafenea în SUA.","[205, 204]",409,
arg_pisacowsmilk_10_page_1,8,27,sunt,"Imaginează-și că trei tineri: Ana, Chris și Sam sunt la o cafenea în SUA.",[127],127,
