stimulus,subject_id,word_index,word_index_in_sentence,word,sentence,fixations_list,fixations_TRT
arg_pisarapanui_11_page_1,23,0,0.0,Rapa,Rapa Nui - Introducere,[],0
arg_pisarapanui_11_page_1,23,1,1.0,Nui,Rapa Nui - Introducere,"[206, 192]",398
arg_pisarapanui_11_page_1,23,2,2.0,-,Rapa Nui - Introducere,[],0
arg_pisarapanui_11_page_1,23,3,3.0,Introducere,Rapa Nui - Introducere,"[122, 332, 200]",654
arg_pisarapanui_11_page_1,23,4,0.0,Imaginează-ți,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0
arg_pisarapanui_11_page_1,23,5,1.0,"că,","Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[216],216
arg_pisarapanui_11_page_1,23,6,2.0,săptămâna,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[364, 228]",592
arg_pisarapanui_11_page_1,23,7,3.0,"viitoare,","Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[122, 184]",306
arg_pisarapanui_11_page_1,23,8,4.0,se,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0
arg_pisarapanui_11_page_1,23,9,5.0,organizează,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.","[218, 104]",322
arg_pisarapanui_11_page_1,23,10,6.0,o,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0
arg_pisarapanui_11_page_1,23,11,7.0,conferință,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0
arg_pisarapanui_11_page_1,23,12,8.0,la,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0
arg_pisarapanui_11_page_1,23,13,9.0,biblioteca,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[],0
arg_pisarapanui_11_page_1,23,14,10.0,locală.,"Imaginează-ți că, săptămâna viitoare, se organizează o conferință la biblioteca locală.",[160],160
arg_pisarapanui_11_page_1,23,15,0.0,La,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0
arg_pisarapanui_11_page_1,23,16,1.0,acest,La acest eveniment participă o profesoară de la universitatea din apropiere.,"[112, 242]",354
arg_pisarapanui_11_page_1,23,17,2.0,eveniment,La acest eveniment participă o profesoară de la universitatea din apropiere.,[228],228
arg_pisarapanui_11_page_1,23,18,3.0,participă,La acest eveniment participă o profesoară de la universitatea din apropiere.,[260],260
arg_pisarapanui_11_page_1,23,19,4.0,o,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0
arg_pisarapanui_11_page_1,23,20,5.0,profesoară,La acest eveniment participă o profesoară de la universitatea din apropiere.,[206],206
arg_pisarapanui_11_page_1,23,21,6.0,de,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0
arg_pisarapanui_11_page_1,23,22,7.0,la,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0
arg_pisarapanui_11_page_1,23,23,8.0,universitatea,La acest eveniment participă o profesoară de la universitatea din apropiere.,"[164, 142]",306
arg_pisarapanui_11_page_1,23,24,9.0,din,La acest eveniment participă o profesoară de la universitatea din apropiere.,[],0
arg_pisarapanui_11_page_1,23,25,10.0,apropiere.,La acest eveniment participă o profesoară de la universitatea din apropiere.,"[246, 146]",392
arg_pisarapanui_11_page_1,23,26,0.0,Ea,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[],0
arg_pisarapanui_11_page_1,23,27,1.0,își,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[236],236
arg_pisarapanui_11_page_1,23,28,2.0,va,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[],0
arg_pisarapanui_11_page_1,23,29,3.0,prezenta,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.","[236, 282, 230, 220]",968
arg_pisarapanui_11_page_1,23,30,4.0,munca,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.","[238, 168, 212]",618
arg_pisarapanui_11_page_1,23,31,5.0,de,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[],0
arg_pisarapanui_11_page_1,23,32,6.0,teren,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.","[268, 272]",540
arg_pisarapanui_11_page_1,23,33,7.0,din,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[],0
arg_pisarapanui_11_page_1,23,34,8.0,Rapa,"Ea își va prezenta munca de teren din Rapa Nui, o insulă din Oceanul Pacific, la peste 3200 km vest de Chile.",[414],414
